date,starting_equity,ending_equity,net_pnl,net_return,costs,gross_pnl,turnover_dollars,turnover_equity_multiple,fill_count,max_drawdown,max_gross_exposure,max_abs_net_exposure,max_symbol_exposure,min_cash,ending_cash,ending_gross_exposure,ending_net_exposure,SNDK_net_pnl,SNDK_costs,SNDK_fill_count,TSLA_net_pnl,TSLA_costs,TSLA_fill_count,NVDA_net_pnl,NVDA_costs,NVDA_fill_count
2026-08-31,100000.0,100628.5743778917,628.5743778916949,0.006285743778916949,614.3879786758422,1242.962356567537,1228775.9573516846,12.287759573516846,111,-0.01766649592095504,0.9523688973537235,0.7191832661863456,0.7039958315989516,28247.062836235087,100628.5743778917,0.0,0.0,1557.3286732177949,268.9779674072266,52,-979.348655181835,200.11714883422863,46,50.594359855676885,145.2928624343872,13
2026-09-01,100628.5743778917,100284.11990407582,-344.4544738158729,-0.0034230284583217775,386.1728576049808,41.71838378910786,772345.7152099609,7.675212731421214,121,-0.01362621412285081,0.9520228501602337,0.9520228501602337,0.702317441575205,45044.51694136827,100284.11990407582,0.0,0.0,-76.93725677487782,202.58996673583988,45,95.35303129578097,66.58492646789551,33,-362.8702483367524,116.99796440124514,43
2026-09-02,100284.11990407582,99565.12029172532,-718.999612350497,-0.007169625789588995,625.2943511199949,-93.70526123050217,1250588.7022399902,12.47045597484635,135,-0.02691665044671321,0.9540598437575022,0.9540598437575022,0.7020531445016447,23904.060121025264,99565.12029172532,0.0,0.0,-1006.2412719115873,346.61175531005887,59,698.620123367331,184.88411857604976,41,-411.3784638061552,93.79847723388673,35
2026-09-03,99565.12029172532,99546.92179374715,-18.198497978170053,-0.00018277985227003736,344.5101282272342,326.31163024906414,689020.2564544678,6.920297534273466,87,-0.012300704175891575,0.9499360454429511,0.9494986800878893,0.7002310893177838,5067.729296318217,99546.92179374715,0.0,0.0,-235.1571635131586,182.0894144897461,25,213.71354853819867,106.2649365692139,37,3.245116996771685,56.15577716827393,25
2026-09-04,99546.92179374715,100030.7800840304,483.85829028324224,0.004860605245893548,398.04774609375045,881.9060363769927,796095.4921875,7.997188439808745,106,-0.007029681579945102,0.9504357386985103,0.9495477541116216,0.7001702503453228,5028.540185714941,100030.7800840304,0.0,0.0,605.269197265643,179.26840039062498,44,-316.75985563657014,159.4351791229248,41,195.3489486541839,59.344166580200195,21
2026-09-08,100030.7800840304,103000.80959516932,2970.029511138928,0.02969115614857715,354.5788262634278,3324.6083374023556,709157.6525268555,7.089394403713845,104,-0.0029719891874504523,0.9502987494775078,0.936139738993477,0.698280308180757,55084.0577158816,103000.80959516932,0.0,0.0,1001.8766019897485,139.66038531494144,33,1239.9996943512087,135.79306077575686,36,728.1532147979888,79.1253801727295,35
2026-09-09,103000.80959516932,102714.7028667606,-286.1067284087185,-0.0027777133940327468,409.1226891021706,123.01596069345214,818245.3782043457,7.944067443939012,120,-0.009489282052604353,0.9543590205643451,0.904143822366463,0.7021836694689634,49883.995160774575,102714.7028667606,0.0,0.0,-215.3412874145215,148.93222979736325,42,-188.99683830261347,236.80601188659668,44,118.23139730834578,23.384447418212876,34
2026-09-10,102714.7028667606,102435.98533016247,-278.7175365981384,-0.0027135115890826755,469.092612892151,190.37507629401262,938185.2257843018,9.133894170937692,105,-0.011521073723943065,0.9538415202154324,0.9538415202154324,0.702680441801867,55969.71672447241,102435.98533016247,0.0,0.0,-467.2753129272314,178.4995560913086,45,258.1627057037713,212.60356016540527,31,-69.6049293746712,77.98949663543702,29
2026-09-11,102435.98533016247,103328.29897647155,892.3136463090777,0.008710939260583597,621.604459770203,1513.9181060792807,1243208.9195404053,12.136447123863805,155,-0.013250052487182251,0.950179703464644,0.9486404328015353,0.6983766808659571,6332.909448723352,103328.29897647155,0.0,0.0,1687.7415642090346,348.5736213378906,67,-573.4669810638342,173.10666001892088,44,-221.9609368362144,99.9241784133911,44
