date,ticker,fills,duplicates_ignored,recorded_pnl,fifo_realized_before_fees,net_quantity_change,cashflow,net_flat_cashflow_before_fees,recorded_minus_fifo,gross_traded_notional,matched_lots,winning_matched_lots,long_pnl_before_fees,short_pnl_before_fees,assumption
2026-09-03,NVDA,38,0,10.02,-330.389961,0.0,-330.389961,-330.389961,340.409961,1344277.850081,19,5,-284.15993199999997,-46.23002899999999,Opening inventory is zero; all source fills are complete; fees excluded.
2026-09-04,SNDK,11,0,-713.72,-713.719915,20.0,-33830.119915,,-8.5e-05,1052106.319993,6,3,-713.719915,0,Opening inventory is zero; all source fills are complete; fees excluded.
2026-09-04,TSLA,13,0,-1110.21,-445.369967,-105.0,36891.790033,,-664.840033,577066.970027,7,2,0,-445.369967,Opening inventory is zero; all source fills are complete; fees excluded.
2026-09-04,MSTR,4,0,-108.28,-108.280263,0.0,-108.280263,-108.280263,0.000263,144053.039737,2,1,-108.28026300000002,0,Opening inventory is zero; all source fills are complete; fees excluded.
2026-09-04,NVDA,9,0,173.16,-311.179913,0.0,-311.179913,-311.179913,484.339913,303097.360003,5,0,-129.569985,-181.609928,Opening inventory is zero; all source fills are complete; fees excluded.
2026-09-08,SNDK,15,0,-4363.28,-4363.279961,0.0,-4363.279961,-4363.279961,-3.9e-05,878675.979997,11,1,-4363.279961,0,Opening inventory is zero; all source fills are complete; fees excluded.
2026-09-08,TSLA,7,0,749.27,623.560023,0.0,623.560023,623.560023,125.709977,188487.980147,4,3,661.960023,-38.4,Opening inventory is zero; all source fills are complete; fees excluded.
2026-09-08,MSTR,6,0,-515.56,-515.559844,0.0,-515.559844,-515.559844,-0.000156,217652.119844,3,0,-515.559844,0,Opening inventory is zero; all source fills are complete; fees excluded.
2026-09-08,NVDA,6,0,-60.06,-60.060006,0.0,-60.060006,-60.060006,6e-06,182950.000084,3,1,-60.060006,0,Opening inventory is zero; all source fills are complete; fees excluded.
2026-09-09,SNDK,15,0,-345.85,-345.849997,0.0,-345.849997,-345.849997,-3e-06,517624.170003,8,2,-345.8499970000001,0,Opening inventory is zero; all source fills are complete; fees excluded.
2026-09-09,TSLA,9,0,-644.7,-644.70004,0.0,-644.70004,-644.70004,4e-05,319772.57996,5,0,-644.70004,0,Opening inventory is zero; all source fills are complete; fees excluded.
2026-09-09,MSTR,6,0,-475.99,-475.99,0.0,-475.99,-475.99,0.0,184416.99,3,0,-475.99,0,Opening inventory is zero; all source fills are complete; fees excluded.
2026-09-09,NVDA,4,0,-73.5,-73.499871,0.0,-73.499871,-73.499871,-0.000129,135611.019863,2,0,-73.499871,0,Opening inventory is zero; all source fills are complete; fees excluded.
2026-09-10,SNDK,10,0,201.93,185.450002,0.0,185.450002,185.450002,16.479998,222670.92999,7,5,-5.0,190.45000199999998,Opening inventory is zero; all source fills are complete; fees excluded.
2026-09-10,TSLA,7,0,-571.62,-571.620068,0.0,-571.620068,-571.620068,6.8e-05,326035.300068,4,1,-571.620068,0,Opening inventory is zero; all source fills are complete; fees excluded.
2026-09-10,MSTR,8,0,-1331.95,-1331.948966,0.0,-1331.948966,-1331.948966,-0.001034,337835.88947,4,0,-1331.9489660000002,0,Opening inventory is zero; all source fills are complete; fees excluded.
2026-09-10,NVDA,6,0,-185.75,-320.770083,0.0,-320.770083,-320.770083,135.020083,202991.930267,3,0,-68.240063,-252.53001999999998,Opening inventory is zero; all source fills are complete; fees excluded.
2026-09-11,SNDK,98,0,-2031.45,-1029.920018,0.0,-1029.920018,-1029.920018,-1001.529982,1965997.140024,57,15,-476.05000399999994,-553.870014,Opening inventory is zero; all source fills are complete; fees excluded.
2026-09-11,TSLA,84,0,-498.9,-572.620017,0.0,-572.620017,-572.620017,73.720017,1676558.579937,47,15,-305.950006,-266.670011,Opening inventory is zero; all source fills are complete; fees excluded.
2026-09-11,MSTR,134,0,152.12,21.659864,0.0,21.659864,21.659864,130.460136,2978732.23983,82,41,95.28007500000004,-73.62021099999997,Opening inventory is zero; all source fills are complete; fees excluded.
2026-09-11,NVDA,67,0,-577.44,-462.289979,0.0,-462.289979,-462.289979,-115.150021,1267442.090009,34,11,-489.220107,26.930128,Opening inventory is zero; all source fills are complete; fees excluded.
