kind,price,formed_at,available_at
previous_high,1581.83984375,2026-09-14 16:00:00-04:00,2026-09-15 09:30:00-04:00
previous_low,1505.0,2026-09-14 16:00:00-04:00,2026-09-15 09:30:00-04:00
previous_close,1551.2099609375,2026-09-14 16:00:00-04:00,2026-09-15 09:30:00-04:00
opening_15m_high,1579.989990234375,2026-09-15 09:30:00-04:00,2026-09-15 09:45:00-04:00
opening_15m_low,1546.1500244140625,2026-09-15 09:30:00-04:00,2026-09-15 09:45:00-04:00
confirmed_swing_low,1546.1500244140625,2026-09-15 09:40:00-04:00,2026-09-15 09:55:00-04:00
confirmed_swing_high,1565.43994140625,2026-09-15 09:50:00-04:00,2026-09-15 10:05:00-04:00
confirmed_swing_low,1549.0,2026-09-15 09:55:00-04:00,2026-09-15 10:10:00-04:00
confirmed_swing_high,1568.0,2026-09-15 10:05:00-04:00,2026-09-15 10:20:00-04:00
confirmed_swing_high,1568.06005859375,2026-09-15 10:30:00-04:00,2026-09-15 10:45:00-04:00
confirmed_swing_low,1528.0,2026-09-15 11:10:00-04:00,2026-09-15 11:25:00-04:00
