date,symbol,horizon,rows,ic,rank_ic,mse_bps2
2026-08-31,SNDK,1,76,0.10493900335995247,0.12809295967190704,3158.8097481678387
2026-08-31,TSLA,1,76,-0.18102717609029048,-0.10687628161312374,701.6682512812336
2026-08-31,PLTR,1,76,-0.05230431325533044,-0.048940533151059465,385.143899884253
2026-08-31,NVDA,1,76,0.1912076969921269,0.21856459330143538,260.7917277958823
2026-09-01,SNDK,1,76,-0.02937381657771739,0.022556390977443608,1141.5707519097161
2026-09-01,TSLA,1,76,0.2865676802537431,0.16620642515379358,296.4960855039061
2026-09-01,PLTR,1,76,-0.14390091011854209,0.03412166780587833,713.8251745487407
2026-09-01,NVDA,1,76,-0.005944484614006685,-0.008776486671223514,219.5626468689242
2026-09-02,SNDK,1,76,0.08646593183696316,-0.009487354750512645,2000.225835201412
2026-09-02,TSLA,1,76,0.3797405897488648,0.06663021189336978,580.7523672623728
2026-09-02,PLTR,1,76,-0.07860908044213506,-0.05419002050580998,739.7469168349381
2026-09-02,NVDA,1,76,-0.19718579308780362,-0.09566643882433357,305.7490149701381
2026-09-03,SNDK,1,76,-0.08188115886997444,-0.05812713602187287,1216.5073909086561
2026-09-03,TSLA,1,76,0.19836594908255054,0.058783321941216674,700.5544237658879
2026-09-03,PLTR,1,76,0.5864550613737262,0.35830730217721635,821.839095634773
2026-09-03,NVDA,1,76,0.016530600523728192,-0.03529733424470267,306.0254567814943
2026-09-04,SNDK,1,76,0.12024549299133933,0.0789336978810663,1013.1833635658977
2026-09-04,TSLA,1,76,-0.24169880575115138,-0.09022556390977443,469.83186568341023
2026-09-04,PLTR,1,76,-0.12097321332719418,-0.10427887901572111,290.12240507644526
2026-09-04,NVDA,1,76,-0.023321943846980314,0.04850307587149693,252.57782808505328
2026-09-08,SNDK,1,76,-0.201500345900173,-0.20552289815447708,1846.0385164983702
2026-09-08,TSLA,1,76,0.19616118759466827,0.19641831852358171,359.59888828013965
2026-09-08,PLTR,1,76,-0.3602378011072154,-0.08967874231032126,436.21032562331357
2026-09-08,NVDA,1,76,0.012311436139679173,-0.006684939746839328,232.9281279104349
2026-09-09,SNDK,1,76,0.05935182936211506,-0.05826384142173616,1504.3793072382614
2026-09-09,TSLA,1,76,-0.028665888935818527,0.07425837320574163,438.69567661332354
2026-09-09,PLTR,1,76,0.013172091532754292,-0.04607097940148281,384.81597857391955
2026-09-09,NVDA,1,76,0.01834473544320607,-0.009952153110047846,179.57902399264097
2026-09-10,SNDK,1,76,-0.35604503477732846,-0.045112781954887216,806.8596364042543
2026-09-10,TSLA,1,76,-0.05297132956557134,-0.108215994531784,493.55969219155577
2026-09-10,PLTR,1,76,-0.09254226119951586,-0.060642515379357484,625.7556111607149
2026-09-10,NVDA,1,76,-0.032149675729739674,0.0971701982228298,162.97137428241876
2026-09-11,SNDK,1,76,0.31963889361036874,0.06955570745044429,921.6993652504392
2026-09-11,TSLA,1,76,-0.13515562655693614,-0.08822966507177034,660.4775828730149
2026-09-11,PLTR,1,76,0.24628607436966243,0.18006835269993163,389.53585716803
2026-09-11,NVDA,1,76,0.022842630544984772,-0.029883800410116197,207.37300280606215
2026-09-14,SNDK,1,76,0.03965022642717155,0.01369788106630212,1678.1575656235195
2026-09-14,TSLA,1,76,-0.12427131500169548,0.006151742993848257,460.32252389918676
2026-09-14,PLTR,1,76,-0.003588122147600751,0.03729323308270677,648.6916219024532
2026-09-14,NVDA,1,76,0.03946494767480314,-0.07227713298191418,215.51295601221938
