date,fill_time,signal_data_cutoff,symbol,quantity,side,reference_price,fill_price,slippage_cost,commission_cost,cost,notional,shares_after,cash_after,equity_after,gross_exposure_after,net_exposure_after,reason
2026-08-31,2026-08-31T09:35:00-04:00,2026-08-31T09:35:00-04:00,SNDK,46,buy,1516.385009765625,1516.6882867675781,13.95074208984375,0.0,13.95074208984375,69753.71044921875,46,30232.338808691406,99986.04925791016,0.697634429672201,0.697634429672201,policy_rebalance
2026-08-31,2026-08-31T09:35:00-04:00,2026-08-31T09:35:00-04:00,MSTR,139,buy,127.1449966430664,127.17042564239502,3.534630906677246,0.0,3.534630906677246,17673.15453338623,139,12555.649644398498,99982.51462700347,0.8744215456948765,0.8744215456948765,policy_rebalance
2026-08-31,2026-08-31T09:35:00-04:00,2026-08-31T09:35:00-04:00,NVDA,-33,sell,217.13999938964844,217.0965713897705,1.4331239959716797,0.0,1.4331239959716797,7165.619979858398,-33,19719.836500260924,99981.0815030075,0.9461038382508191,0.8027643209713856,policy_rebalance
2026-08-31,2026-08-31T09:40:00-04:00,2026-08-31T09:40:00-04:00,SNDK,-33,sell,1511.5,1511.1977,9.9759,0.0,9.9759,49879.5,13,69589.36060026092,99754.94227292937,0.44586210876163657,0.30239686360737367,policy_rebalance
2026-08-31,2026-08-31T09:40:00-04:00,2026-08-31T09:40:00-04:00,MSTR,-1,sell,127.13500213623047,127.10957513580323,0.025427000427246094,0.0,0.025427000427246094,127.13500213623047,138,69716.47017539672,99754.91684592895,0.4445877488682135,0.3011224671454188,policy_rebalance
2026-08-31,2026-08-31T09:40:00-04:00,2026-08-31T09:40:00-04:00,NVDA,33,buy,216.83889770507812,216.88226548461913,1.4311367248535156,0.0,1.4311367248535156,7155.683624267578,0,62559.355414404294,99753.4857092041,0.37286045725987055,0.37286045725987055,policy_rebalance
2026-08-31,2026-08-31T09:45:00-04:00,2026-08-31T09:45:00-04:00,SNDK,-13,sell,1530.4000244140625,1530.0939444091798,3.9790400634765626,0.0,3.9790400634765626,19895.200317382812,0,82450.57669172363,99919.30656538086,0.17482837375604482,0.17482837375604482,policy_rebalance
2026-08-31,2026-08-31T09:45:00-04:00,2026-08-31T09:45:00-04:00,MSTR,-138,sell,126.58499908447266,126.55968208465576,3.4937459747314454,0.0,3.4937459747314454,17468.729873657227,0,99915.81281940613,99915.81281940613,0.0,0.0,policy_rebalance
2026-08-31,2026-08-31T09:45:00-04:00,2026-08-31T09:45:00-04:00,NVDA,-281,sell,218.0800018310547,218.0363858306885,12.256096102905273,0.0,12.256096102905273,61280.48051452637,-281,161184.0372378296,99903.55672330322,0.6133963847178251,-0.6133963847178251,policy_rebalance
2026-08-31,2026-08-31T09:50:00-04:00,2026-08-31T09:50:00-04:00,NVDA,281,buy,217.8699951171875,217.91356911621094,12.244293725585937,0.0,12.244293725585937,61221.46862792969,0,99950.32431617432,99950.32431617432,0.0,0.0,policy_rebalance
2026-08-31,2026-08-31T09:50:00-04:00,2026-08-31T09:50:00-04:00,MSTR,116,buy,126.9000015258789,126.92538152618408,2.9440800354003906,0.0,2.9440800354003906,14720.400177001953,116,85226.98005913696,99947.38023613891,0.14728150094802944,0.14728150094802944,policy_rebalance
2026-08-31,2026-08-31T10:20:00-04:00,2026-08-31T10:20:00-04:00,MSTR,149,buy,126.61000061035156,126.63532261047364,3.7729780181884767,0.0,3.7729780181884767,18864.890090942383,265,66358.31699017639,99909.96715191955,0.3358188488914796,0.3358188488914796,policy_rebalance
2026-08-31,2026-08-31T10:25:00-04:00,2026-08-31T10:25:00-04:00,MSTR,-265,sell,125.8499984741211,125.82482847442627,6.670049919128418,0.0,6.670049919128418,33350.24959564209,0,99701.89653589934,99701.89653589934,0.0,0.0,policy_rebalance
2026-08-31,2026-08-31T10:30:00-04:00,2026-08-31T10:30:00-04:00,MSTR,359,buy,126.61000061035156,126.63532261047364,9.090598043823242,0.0,9.090598043823242,45452.99021911621,359,54239.81571873931,99692.80593785552,0.45593049359499194,0.45593049359499194,policy_rebalance
2026-08-31,2026-08-31T10:35:00-04:00,2026-08-31T10:35:00-04:00,MSTR,-299,sell,126.62999725341797,126.60467125396728,7.572473835754394,0.0,7.572473835754394,37862.36917877197,60,92094.61242367553,99692.4122588806,0.07621241840828528,0.07621241840828528,policy_rebalance
2026-08-31,2026-08-31T10:40:00-04:00,2026-08-31T10:40:00-04:00,MSTR,102,buy,127.4000015258789,127.42548152618409,2.5989600311279295,0.0,2.5989600311279295,12994.800155639648,162,79097.21330800475,99736.01355519713,0.2069342809232114,0.2069342809232114,policy_rebalance
2026-08-31,2026-08-31T10:50:00-04:00,2026-08-31T10:50:00-04:00,MSTR,-162,sell,128.27000427246094,128.24435027160644,4.155948138427735,0.0,4.155948138427735,20779.740692138672,0,99872.79805200499,99872.79805200499,0.0,0.0,policy_rebalance
2026-08-31,2026-08-31T11:00:00-04:00,2026-08-31T11:00:00-04:00,SNDK,5,buy,1525.31005859375,1525.6151206054687,1.52531005859375,0.0,1.52531005859375,7626.55029296875,5,92244.72244897764,99871.27274194639,0.07636380396067151,0.07636380396067151,policy_rebalance
2026-08-31,2026-08-31T11:10:00-04:00,2026-08-31T11:10:00-04:00,SNDK,-5,sell,1527.0,1526.6946,1.527,0.0,1.527,7635.0,0,99878.19544897764,99878.19544897764,0.0,0.0,policy_rebalance
2026-08-31,2026-08-31T11:30:00-04:00,2026-08-31T11:30:00-04:00,MSTR,160,buy,129.3300018310547,129.3558678314209,4.13856005859375,0.0,4.13856005859375,20692.80029296875,160,79181.2565959503,99874.05688891905,0.20718894313048178,0.20718894313048178,policy_rebalance
2026-08-31,2026-08-31T11:40:00-04:00,2026-08-31T11:40:00-04:00,MSTR,-13,sell,129.3699951171875,129.34412111816405,0.3363619873046875,0.0,0.3363619873046875,1681.8099365234375,147,80862.73017048644,99880.119452713,0.19040214795928542,0.19040214795928542,policy_rebalance
2026-08-31,2026-08-31T11:50:00-04:00,2026-08-31T11:50:00-04:00,MSTR,-147,sell,129.80999755859375,129.78403555908204,3.8164139282226563,0.0,3.8164139282226563,19082.06964111328,0,99940.9833976715,99940.9833976715,0.0,0.0,policy_rebalance
2026-08-31,2026-08-31T11:50:00-04:00,2026-08-31T11:50:00-04:00,SNDK,6,buy,1516.3399658203125,1516.6432338134766,1.819607958984375,0.0,1.819607958984375,9098.039794921875,6,90841.12399479064,99939.16378971252,0.0910357806681829,0.0910357806681829,policy_rebalance
2026-08-31,2026-08-31T11:55:00-04:00,2026-08-31T11:55:00-04:00,SNDK,14,buy,1512.5799560546875,1512.8824720458983,4.235223876953125,0.0,4.235223876953125,21176.119384765625,20,69660.76938614807,99912.36850724182,0.30278132300407895,0.30278132300407895,policy_rebalance
2026-08-31,2026-08-31T11:55:00-04:00,2026-08-31T11:55:00-04:00,TSLA,-174,sell,367.0899963378906,367.01657833862305,12.774731872558593,0.0,12.774731872558593,63873.65936279297,-174,133521.65401706847,99899.59377536926,0.9421986108925877,-0.3365585281287591,policy_rebalance
2026-08-31,2026-08-31T12:00:00-04:00,2026-08-31T12:00:00-04:00,SNDK,-20,sell,1513.47998046875,1513.1772844726563,6.053919921875,0.0,6.053919921875,30269.599609375,0,163785.1997065216,100189.94140574036,0.6347469357551453,-0.6347469357551453,policy_rebalance
2026-08-31,2026-08-31T12:05:00-04:00,2026-08-31T12:05:00-04:00,SNDK,20,buy,1506.47998046875,1506.7812764648438,6.025919921875,0.0,6.025919921875,30129.599609375,20,133649.57417722474,100468.40187497865,0.9300473559564715,-0.33026475670963934,policy_rebalance
2026-08-31,2026-08-31T12:10:00-04:00,2026-08-31T12:10:00-04:00,TSLA,42,buy,364.9602966308594,365.03328869018554,3.065666491699219,0.0,3.065666491699219,15328.332458496094,-132,118318.17605223694,100160.921779776,0.7806663781510259,-0.18128082239881263,policy_rebalance
2026-08-31,2026-08-31T12:10:00-04:00,2026-08-31T12:10:00-04:00,SNDK,11,buy,1500.875244140625,1501.1754191894531,3.301925537109375,0.0,3.301925537109375,16509.627685546875,31,101805.24644115297,100157.6198542389,0.9455285764723053,-0.01645033687214095,policy_rebalance
2026-08-31,2026-08-31T12:15:00-04:00,2026-08-31T12:15:00-04:00,TSLA,1,buy,366.57000732421875,366.6433213256836,0.07331400146484375,0.0,0.07331400146484375,366.57000732421875,-131,101438.60311982728,99803.54397676088,0.9459211468268229,-0.01638277638163959,policy_rebalance
2026-08-31,2026-08-31T12:20:00-04:00,2026-08-31T12:20:00-04:00,SNDK,-30,sell,1499.06005859375,1498.7602465820312,8.9943603515625,0.0,8.9943603515625,44971.8017578125,1,146401.41051728823,99934.82137544252,0.49496970703735516,-0.46496895178585035,policy_rebalance
