day,symbol,model,validation_start,validation_end,mse_bps2,zero_mse_bps2,relative_mse_improvement
2026-08-31,SNDK,market_ridge,2026-08-24,2026-08-28,1632.4350868080448,1545.5418589312926,-0.05622185343905017
2026-08-31,TSLA,context_tree,2026-08-24,2026-08-28,392.90274728768907,397.814689565168,0.012347312470658012
2026-08-31,PLTR,market_tree,2026-08-24,2026-08-28,693.8035047578038,713.9137326735931,0.028168988766299363
2026-08-31,NVDA,market_ridge,2026-08-24,2026-08-28,472.4422173524341,463.0573355237827,-0.020267213385218863
2026-09-01,SNDK,market_ridge,2026-08-25,2026-08-31,1977.6578375666918,1863.8975618376633,-0.06103354500709224
2026-09-01,TSLA,context_tree,2026-08-25,2026-08-31,451.57249910918836,460.9529047533403,0.02035003044220207
2026-09-01,PLTR,market_ridge,2026-08-25,2026-08-31,615.8121916853271,635.1526418283669,0.030450082183970606
2026-09-01,NVDA,market_ridge,2026-08-25,2026-08-31,459.4770926862049,444.7343628132545,-0.03314951824206336
2026-09-02,SNDK,market_ridge,2026-08-26,2026-09-01,1742.1223491581222,1679.118000201456,-0.037522287861309955
2026-09-02,TSLA,context_tree,2026-08-26,2026-09-01,409.58588588157716,424.9434801140461,0.03614032206906037
2026-09-02,PLTR,market_tree,2026-08-26,2026-09-01,591.6279058607907,590.3647330119876,-0.0021396482177358234
2026-09-02,NVDA,market_ridge,2026-08-26,2026-09-01,453.48757714295897,439.7342525433669,-0.03127644598992374
2026-09-03,SNDK,market_ridge,2026-08-27,2026-09-02,1966.425720482094,1891.7590335043794,-0.03946944915040196
2026-09-03,TSLA,market_ridge,2026-08-27,2026-09-02,464.5844329684981,467.792434009484,0.006857744605849758
2026-09-03,PLTR,context_tree,2026-08-27,2026-09-02,650.422112533255,636.2014909500394,-0.022352386445966932
2026-09-03,NVDA,market_tree,2026-08-27,2026-09-02,476.68936173320253,457.79581163628774,-0.04127069234072733
2026-09-04,SNDK,market_tree,2026-08-28,2026-09-03,1948.656320381518,1882.6398715249354,-0.03506589329966192
2026-09-04,TSLA,market_ridge,2026-08-28,2026-09-03,516.8972234202072,516.8389744492866,-0.00011270235760107994
2026-09-04,PLTR,context_tree,2026-08-28,2026-09-03,612.7391881584427,609.3903673494706,-0.005495362231499934
2026-09-04,NVDA,market_tree,2026-08-28,2026-09-03,339.3943200752324,329.30633969108686,-0.03063403028805567
2026-09-08,SNDK,context_tree,2026-08-31,2026-09-04,1713.83676215581,1675.2233679804842,-0.023049698872022573
2026-09-08,TSLA,context_tree,2026-08-31,2026-09-04,548.7270406462045,550.5353947152213,0.0032847189960459877
2026-09-08,PLTR,market_ridge,2026-08-31,2026-09-04,612.1629284705047,603.5556089971739,-0.014261021428716658
2026-09-08,NVDA,market_tree,2026-08-31,2026-09-04,271.3962543956385,263.4019391571295,-0.03035025202961794
2026-09-09,SNDK,market_ridge,2026-09-01,2026-09-08,1473.7520334197202,1400.6364077991188,-0.05220171717190403
2026-09-09,TSLA,market_ridge,2026-09-01,2026-09-08,474.5428954502762,490.57842564890814,0.032686986137682394
2026-09-09,PLTR,market_ridge,2026-09-01,2026-09-08,623.8032219408171,602.003336082534,-0.036212234304453084
2026-09-09,NVDA,market_ridge,2026-09-01,2026-09-08,265.8107093971569,258.5471682784102,-0.028093678871490058
2026-09-10,SNDK,market_ridge,2026-09-02,2026-09-09,1534.6953216415004,1479.6315542585407,-0.03721451277818466
2026-09-10,TSLA,market_ridge,2026-09-02,2026-09-09,507.04030234739867,512.9356539798533,0.011493355134728489
2026-09-10,PLTR,market_ridge,2026-09-02,2026-09-09,558.0929649523268,543.5981585960966,-0.026664561178177504
2026-09-10,NVDA,market_ridge,2026-09-02,2026-09-09,255.73569111416515,251.8005239779126,-0.015628113373575614
2026-09-11,SNDK,context_tree,2026-09-03,2026-09-10,1264.7049668451107,1216.4022506184053,-0.0397094926469832
2026-09-11,TSLA,context_tree,2026-09-03,2026-09-10,485.79324242485,484.19810967873565,-0.003294380366690719
2026-09-11,PLTR,market_ridge,2026-09-03,2026-09-10,517.796564704947,514.0605500327862,-0.007267654893810649
2026-09-11,NVDA,market_ridge,2026-09-03,2026-09-10,226.8480985762091,224.99106839653868,-0.008253795107979522
