candidate,day,day_start_equity,portfolio_net_pnl,sndk_net_pnl,sndk_two_week_net,sndk_mean_notional,sndk_max_notional,portfolio_bar_close_equity_range,portfolio_mean_gross_exposure,long_bars,short_bars,flat_bars
four_tree_control,2026-09-11,107379.84225724448,4379.01817694855,119.91807873536708,-389.86698291005723,5280.955832456931,77105.61706542969,4543.38293946076,0.8857054329164836,0,29,49
market_tree_h1,2026-09-11,108637.19664482171,2017.779705284178,-675.2840356444965,333.9699950563081,8004.965702937199,76598.72045898438,2196.1034052429604,0.8858010832874675,10,16,52
market_curve_ridge,2026-09-11,94637.87304984368,985.014701904438,1471.4901079712254,99.64761322044433,18647.077528733473,64695.14904785156,2826.5791407700453,0.7866338707804208,42,26,10
