candidate,start,end,sessions,starting_equity,ending_equity,net_pnl,net_return,gross_pnl,costs,turnover_dollars,fill_count,max_drawdown,max_gross_exposure,max_symbol_exposure,profitable_sessions,delta_from_control,sndk_net_pnl,sndk_sep4_net_pnl,first_five,last_four
four_tree_control,2026-08-31,2026-09-11,9,100000.0,111758.86043419303,11758.860434193033,0.1175886043419303,15917.425544739146,4158.565110546111,8317130.221092224,900,-0.02529975746090607,0.9585273074213467,0.7078581312019243,6,0.0,-389.86698291005723,-446.8057145995883,7417.355480144761,4341.504954048272
market_tree_h1,2026-08-31,2026-09-11,9,100000.0,110654.97635010589,10654.976350105891,0.10654976350105883,14606.097915650022,3951.121565544131,7902243.131088257,890,-0.039087825344825355,0.9546265057328556,0.7051186441004964,7,-1103.8840840871417,333.9699950563081,-24.04133038328064,5632.461380119639,5022.514969986252
market_tree_h6,2026-08-31,2026-09-11,9,100000.0,89244.40326675432,-10755.596733245678,-0.10755596733245676,-6700.381423950025,4055.2153092956537,8110430.618591309,884,-0.11120780646819917,0.9623325880495217,0.7118000996836868,4,-22514.45716743871,-3535.333548828019,83.12953399658363,-9615.210554153397,-1140.386179092282
market_ridge_h6,2026-08-31,2026-09-11,9,100000.0,95609.26296957882,-4390.73703042118,-0.04390737030421177,4402.969062806214,8793.706093227394,17587412.186454773,1807,-0.05346506928585604,0.9581952213820998,0.7089206952960834,2,-16149.597464614213,69.55954180935441,264.69015710451004,-2421.2963480637554,-1969.4406823574243
market_tree_h12,2026-08-31,2026-09-11,9,100000.0,103017.25496009913,3017.2549600991333,0.03017254960099125,10554.438552857326,7537.183592758189,15074367.185516357,1179,-0.047079766201124196,0.9547145550001871,0.7054617426692883,4,-8741.6054740939,1792.9069052735667,-297.45073052977386,4989.215489067574,-1971.9605289684403
market_curve_ridge,2026-08-31,2026-09-11,9,100000.0,95622.88775174812,-4377.112248251884,-0.0437711224825188,2953.760925293962,7330.873173545846,14661746.347091675,1605,-0.06428441714201993,0.9555661637322621,0.7075585286137113,2,-16135.972682444917,99.64761322044433,76.56562005616593,-4149.492054671791,-227.62019358009275
