candidate,start,end,sessions,starting_equity,ending_equity,net_pnl,net_return,gross_pnl,costs,turnover_dollars,fill_count,max_drawdown,max_gross_exposure,max_symbol_exposure,profitable_sessions,versus_ridge,versus_equal,first_five,last_four
conditional_equal,2026-08-31,2026-09-11,9,100000.0,104221.73243400584,4221.73243400584,0.042217324340058315,5112.365661621196,890.6332276153564,1781266.455230713,54,-0.03875238267241987,0.9491494558332839,0.3384069401781825,4,3052.4870281828335,0.0,7686.99500736242,-3465.26257335658
conditional_ridge_control,2026-08-31,2026-09-11,9,100000.0,101169.245405823,1169.2454058230069,0.011692454058230162,5679.834991455326,4510.5895856323195,9021179.171264648,1098,-0.03214948077306523,0.9545770818608893,0.7024425986702844,6,0.0,-3052.4870281828335,-199.25756587978685,1368.5029717027937
conditional_state_h1,2026-08-31,2026-09-11,9,100000.0,104702.13402156084,4702.134021560836,0.04702134021560833,8916.883300781416,4214.749279220579,8429498.558441162,1046,-0.03584365890876384,0.9537674626691315,0.7018067077889037,6,3532.8886157378292,480.4015875549958,1515.4204544832758,3186.7135670775606
conditional_state_h6,2026-08-31,2026-09-11,9,100000.0,103454.26724942075,3454.267249420751,0.034542672494207505,10912.1870727545,7457.9198233337465,14915839.64666748,1388,-0.028598497280099444,0.9527333660287358,0.7088276568157978,6,2285.021843597744,-767.4651845850894,3104.9297999881237,349.33744943262707
