symbol,available_at,label_mature_at,forecast_bps,realized_next_bar_bps,target_weight,executed_shares,executed_close_weight,marginal_risk_bps,forecast_minus_marginal_risk_bps
SNDK,2026-09-04T09:35:00-04:00,2026-09-04T09:40:00-04:00,1.2980787517492505,50.63628708684931,-1.70083075418118e-09,0,0.0,2.169752713731049,-0.8716739619817981
SNDK,2026-09-04T09:40:00-04:00,2026-09-04T09:45:00-04:00,1.2980787517492505,-8.016113481915665,0.0,0,0.0,2.1697527488246524,-0.8716739970754018
SNDK,2026-09-04T09:45:00-04:00,2026-09-04T09:50:00-04:00,1.2980787517492505,-2.4406912764618482,0.0,0,0.0,0.6526989453827783,0.6453798063664723
SNDK,2026-09-04T09:50:00-04:00,2026-09-04T09:55:00-04:00,1.2980787517492505,48.395299823569275,0.0,0,0.0,0.6526989453827783,0.6453798063664723
SNDK,2026-09-04T09:55:00-04:00,2026-09-04T10:00:00-04:00,1.2980787517492505,67.27319765244432,0.0,0,0.0,0.6534220301286182,0.6446567216206324
SNDK,2026-09-04T10:00:00-04:00,2026-09-04T10:05:00-04:00,1.2980787517492505,12.966528510165443,0.0,0,0.0,2.0189622458576704,-0.7208834941084199
SNDK,2026-09-04T10:05:00-04:00,2026-09-04T10:10:00-04:00,1.2980787517492505,-44.11452043047937,0.0,0,0.0,1.7840101089616696,-0.48593135721241904
SNDK,2026-09-04T10:10:00-04:00,2026-09-04T10:15:00-04:00,1.2980787517492505,77.97385965030213,0.0,0,0.0,1.7840101089616696,-0.48593135721241904
SNDK,2026-09-04T10:15:00-04:00,2026-09-04T10:20:00-04:00,1.2980787517492505,-36.4292986916781,7.910905163943782e-10,0,0.0,1.784987626668702,-0.4869088749194514
SNDK,2026-09-04T10:20:00-04:00,2026-09-04T10:25:00-04:00,-37.10342834059489,11.505648855949513,-0.5869320536721219,-37,-0.5752023572363325,-9.501945009300595,-27.60148333129429
SNDK,2026-09-04T10:25:00-04:00,2026-09-04T10:30:00-04:00,1.2980787517492505,45.72440539036382,-0.06472875491986901,-4,-0.0625536509374762,0.5054663897856593,0.7926123619635913
SNDK,2026-09-04T10:30:00-04:00,2026-09-04T10:35:00-04:00,1.2980787517492505,40.9221136741933,-0.0625536509235773,-3,-0.0471019933839901,0.5420079875316187,0.7560707642176319
SNDK,2026-09-04T10:35:00-04:00,2026-09-04T10:40:00-04:00,1.2980787517492505,55.558215657769416,-0.047101993388233995,-3,-0.0473964134242621,0.809651099033624,0.4884276527156266
SNDK,2026-09-04T10:40:00-04:00,2026-09-04T10:45:00-04:00,1.2980787517492505,-86.18252639103652,-0.04739641399890079,-3,-0.0470409411959387,0.8003915142254685,0.4976872375237821
SNDK,2026-09-04T10:45:00-04:00,2026-09-04T10:50:00-04:00,-37.10342834059489,-32.0696043852875,-0.6999999728732527,-44,-0.6867468757024343,-11.713893596622846,-25.38953474397204
SNDK,2026-09-04T10:50:00-04:00,2026-09-04T10:55:00-04:00,1.2980787517492505,84.94529629285319,-0.24175020468753913,-15,-0.2368077723066387,-3.7019212501654755,5.000000001914726
SNDK,2026-09-04T10:55:00-04:00,2026-09-04T11:00:00-04:00,1.2980787517492505,11.661874034483155,-0.23680777231855357,-15,-0.2373708232427883,-3.6148492982446987,4.91292804999395
SNDK,2026-09-04T11:00:00-04:00,2026-09-04T11:05:00-04:00,1.2980787517492505,24.988341961778016,-0.23737082326864406,-15,-0.2382926275006088,-3.6297495815388476,4.927828333288098
SNDK,2026-09-04T11:05:00-04:00,2026-09-04T11:10:00-04:00,1.2980787517492505,-4.233121935015571,-0.17987398008231717,-11,-0.17463062074936,-1.4400528857871753,2.7381316375364264
SNDK,2026-09-04T11:10:00-04:00,2026-09-04T11:15:00-04:00,1.2980787517492505,8.173015153554175,-0.08086897996210334,-5,-0.079551968999093,0.572401969572736,0.7256767821765144
SNDK,2026-09-04T11:15:00-04:00,2026-09-04T11:20:00-04:00,1.2980787517492505,-11.135265295600938,-0.07955196901344316,-5,-0.0793643449543641,0.5928837529686749,0.7051949987805756
SNDK,2026-09-04T11:20:00-04:00,2026-09-04T11:25:00-04:00,1.2980787517492505,4.402899752091738,-0.07936434495950653,-5,-0.0793036375928836,0.5962936236447266,0.7017851281045239
SNDK,2026-09-04T11:25:00-04:00,2026-09-04T11:30:00-04:00,1.2980787517492505,15.107146802484372,-0.07930363760833124,-5,-0.0792472967341129,0.5899236033475653,0.7081551484016853
SNDK,2026-09-04T11:30:00-04:00,2026-09-04T11:35:00-04:00,1.2980787517492505,-11.936195243381631,-0.07924729661364201,-4,-0.0633315426658025,0.5916612239111146,0.7064175278381358
SNDK,2026-09-04T11:35:00-04:00,2026-09-04T11:40:00-04:00,1.2980787517492505,-11.162986249907414,-0.06333154201992727,-3,-0.0473052092815256,0.8669727434129839,0.43110600833626667
SNDK,2026-09-04T11:40:00-04:00,2026-09-04T11:45:00-04:00,1.2980787517492505,-3.7026066350709375,-0.04730520930191256,-3,-0.0472044696765392,1.1400784537000068,0.15800029804924376
SNDK,2026-09-04T11:45:00-04:00,2026-09-04T11:50:00-04:00,1.2980787517492505,-4.541060691685139,-0.047204469696997764,-3,-0.0472900155475537,1.1426911414732022,0.1553876102760484
