day,symbol,open_to_close_return,low,low_bar,high,high_bar,forecasts,positive_forecasts,negative_forecasts,unique_forecasts,forecast_min_bps,forecast_max_bps,mean_predicted_bps,mean_realized_h1_bps,h1_sign_accuracy,actual_up_fraction,mean_abs_prediction_error_bps,long_intervals,short_intervals,flat_intervals,net_pnl,costs
2026-09-04,SNDK,0.09726361680395934,1581.0,2026-09-04 09:30:00-04:00,1740.0,2026-09-04 15:55:00-04:00,76,74,2,2,-37.10342834059489,1.2980787517492505,0.2875127756349315,7.014750041163473,0.5526315789473685,0.5526315789473685,23.37281460485599,0,60,16,-446.8057145995883,130.11113452148436
2026-09-04,TSLA,-0.022723791223967393,351.3200988769531,2026-09-04 11:55:00-04:00,364.69000244140625,2026-09-04 09:30:00-04:00,76,76,0,4,0.007191689452967368,17.050542703197866,2.789091874100541,-1.4687762361844192,0.4533333333333333,0.4533333333333333,15.452674385665453,17,0,59,-742.0950704498036,186.5450521392822
2026-09-04,MSTR,0.03979005543292735,137.0675048828125,2026-09-04 09:30:00-04:00,144.39999389648438,2026-09-04 15:20:00-04:00,76,74,2,4,-0.010345208506845616,30.343594768128497,1.7451788115802798,3.6761238358042285,0.5921052631578947,0.5657894736842105,23.29492240646764,59,0,17,1799.6343927917624,150.5008305969238
2026-09-04,NVDA,-0.003448084191558509,229.6300048828125,2026-09-04 15:30:00-04:00,234.75999450683594,2026-09-04 10:25:00-04:00,76,7,69,4,-14.538212990892337,17.044806895275297,1.1035442254252203,-0.7369455816312962,0.5394736842105263,0.47368421052631576,11.892795155872694,73,3,0,-722.7412285461178,185.1594109191895
2026-09-08,SNDK,-0.017847599038328,1733.780029296875,2026-09-08 15:55:00-04:00,1807.3499755859375,2026-09-08 11:50:00-04:00,76,72,4,3,-36.03057031755785,1.5136355727705963,-0.062368878748241166,-2.6284245744465378,0.4605263157894737,0.4868421052631579,27.910103359142184,0,6,70,-547.6178000488223,74.46374731445312
2026-09-08,TSLA,0.030145323879520847,355.989990234375,2026-09-08 09:30:00-04:00,370.0,2026-09-08 13:00:00-04:00,76,75,1,3,-11.61072402832343,12.020309276676356,2.040603107594792,2.342612291190164,0.5131578947368421,0.5263157894736842,14.350657509566913,44,28,4,2031.2788037262444,227.59720335388184
2026-09-08,MSTR,-0.0080297274440978,135.3800048828125,2026-09-08 09:40:00-04:00,139.3072967529297,2026-09-08 10:20:00-04:00,76,76,0,3,0.7458131059906737,30.556556863955716,2.1159303628568393,-0.6415112654096982,0.44,0.44,22.505048015316664,53,0,23,129.11288026430248,106.41357847595214
2026-09-08,NVDA,-0.0319025866267163,224.85000610351562,2026-09-08 15:50:00-04:00,233.7100067138672,2026-09-08 09:30:00-04:00,76,1,75,5,-13.125273334064328,14.159962096323438,-0.4029644701154057,-4.035332221608874,0.6133333333333333,0.37333333333333335,11.164442460118735,54,17,5,-482.9990732345541,105.13360997772212
2026-09-09,SNDK,0.008018442683281002,1728.02001953125,2026-09-09 09:35:00-04:00,1807.0,2026-09-09 10:05:00-04:00,76,74,2,2,-39.54126825789944,1.2179661240243143,0.14535469292105746,1.8284074678327253,0.47368421052631576,0.5,27.648613835818068,0,58,18,-1056.85625720213,149.45708728027344
2026-09-09,TSLA,-0.001506761620734376,367.25,2026-09-09 11:20:00-04:00,375.44000244140625,2026-09-09 09:30:00-04:00,76,76,0,2,1.040178974675094,18.877960070355616,1.744301912662483,-2.031160724247536,0.47368421052631576,0.47368421052631576,14.500610136629128,75,0,1,-64.32106442258282,93.99452633666992
2026-09-09,MSTR,-0.06541854789046786,132.58999633789062,2026-09-09 15:55:00-04:00,141.97799682617188,2026-09-09 09:30:00-04:00,76,75,1,4,-20.994121164807506,30.318459617001196,1.7484903725931513,-5.443535636812132,0.4473684210526316,0.4342105263157895,26.941973022362365,64,7,5,-705.6491753768814,245.05718013763425
2026-09-09,NVDA,-0.006969446861286754,223.4600067138672,2026-09-09 15:00:00-04:00,226.17999267578125,2026-09-09 09:35:00-04:00,76,2,74,5,-7.290026584534602,8.813580027806246,-0.703887605916257,-0.7544185538708053,0.4864864864864865,0.4864864864864865,8.945189985506026,0,58,18,-211.58801785277277,126.67596951293942
2026-09-10,SNDK,-0.01838684992832984,1674.0,2026-09-10 12:25:00-04:00,1733.949951171875,2026-09-10 09:30:00-04:00,76,76,0,1,1.1898725177178129,1.1898725177178129,1.1898725177178129,0.634977363964629,0.4342105263157895,0.4342105263157895,18.15409593171884,0,0,76,0.0,0.0
2026-09-10,TSLA,0.008906746696561108,357.67999267578125,2026-09-10 09:30:00-04:00,369.2099914550781,2026-09-10 10:00:00-04:00,76,75,1,4,-11.590124900180793,17.24270420028271,1.14088388476649,1.0230170998782786,0.47368421052631576,0.4868421052631579,15.375907652177151,18,58,0,734.3034221191401,150.16215405273437
2026-09-10,MSTR,0.004607187784970046,126.91000366210938,2026-09-10 09:30:00-04:00,131.87989807128906,2026-09-10 10:55:00-04:00,76,76,0,3,0.5570050851815002,28.055794363253533,1.5492199136974423,-0.15362505218486688,0.4266666666666667,0.4266666666666667,21.26662311683841,76,0,0,184.7642838745296,81.48556353759766
