candidate,start,end,sessions,starting_equity,ending_equity,net_pnl,net_return,gross_pnl,costs,turnover_dollars,fill_count,max_drawdown,max_gross_exposure,max_symbol_exposure,profitable_sessions,improvement
noncrypto_context_tree,2026-08-31,2026-09-11,9,100000.0,99967.76544107062,-32.23455892938364,-0.0003223455892937821,3154.90936279303,3187.143921722414,6374287.843444824,651,-0.05035611667807982,0.9591467833334136,0.7090341960939487,4,0.0
noncrypto_market_tree,2026-08-31,2026-09-11,9,100000.0,100503.66289617178,503.6628961717797,0.0050366289617178595,3754.7477569582184,3251.084860786439,6502169.721572876,645,-0.04517522516506989,0.9524970739799835,0.7066134307017589,6,535.8974551011634
noncrypto_market_ridge,2026-08-31,2026-09-11,9,100000.0,101169.245405823,1169.2454058230069,0.011692454058230162,5679.834991455326,4510.5895856323195,9021179.171264648,1098,-0.03214948077306523,0.9545770818608893,0.7024425986702844,6,1201.4799647523905
noncrypto_stock_selector,2026-08-31,2026-09-11,9,100000.0,95090.98322115347,-4909.016778846533,-0.04909016778846531,-1273.0066375730357,3636.0101412734975,7272020.282546997,841,-0.0697987477758979,0.9609377971031534,0.7130827717379303,2,-4876.78221991715
