candidate,start,end,sessions,starting_equity,ending_equity,net_pnl,net_return,gross_pnl,costs,turnover_dollars,fill_count,max_drawdown,max_gross_exposure,max_symbol_exposure,profitable_sessions,delta_from_four_tree,mean_gross_exposure,first_five,last_four
four_tree_control,2026-08-31,2026-09-11,9,100000.0,111758.86043419303,11758.860434193033,0.1175886043419303,15917.425544739146,4158.565110546111,8317130.221092224,900,-0.02529975746090607,0.9585273074213467,0.7078581312019243,6,0.0,0.8471544807107398,7417.355480144761,4341.504954048272
liquid_dynamic_70,2026-08-31,2026-09-11,9,100000.0,92913.34656779763,-7086.653432202365,-0.07086653432202361,5491.547013284171,12578.200445486536,25156400.89097309,1811,-0.07636214034947486,0.9543266775885718,0.7091272848801486,2,-18845.5138663954,0.8979991306287232,-1979.2906304762,-5107.362801726165
four_concentrated_95,2026-08-31,2026-09-11,9,100000.0,110212.31750586373,10212.317505863728,0.10212317505863733,15335.198616028374,5122.881110164648,10245762.220329285,708,-0.03518349266545073,0.9613171702240487,0.9613171702240487,7,-1546.5429283293051,0.8028109305521612,6423.926462078381,3788.3910437853483
liquid_single_95,2026-08-31,2026-09-11,9,100000.0,90996.62725976158,-9003.372740238425,-0.09003372740238424,5264.623338701021,14267.996078939446,28535992.157878876,474,-0.104073845720559,0.9643833581692437,0.9643833581692437,2,-20762.233174431458,0.9094787699553931,-1882.090743559762,-7121.281996678663
liquid_dynamic_95_g25,2026-08-31,2026-09-11,9,100000.0,90300.82256440347,-9699.177435596532,-0.09699177435596529,4541.467758180545,14240.645193777076,28481290.38755417,1032,-0.10467621612981359,0.9640865622483878,0.9640865622483878,2,-21458.037869789565,0.9119388417393187,-2197.7773622572568,-7501.400073339275
