ticker,side,entry_time,exit_time,entry_price,exit_price,shares,notional,duration_min,pnl,pnl_pct,reason
SNDK,LONG,2026-08-26 09:31:00-04:00,2026-08-26 09:32:00-04:00,1472.0,1474.8092041015625,67,98624.0,1,188.2166748046875,0.19084266994310461,SIGNAL_DECAY
SNDK,LONG,2026-08-26 09:35:00-04:00,2026-08-26 09:36:00-04:00,1468.1500244140625,1483.5279541015625,68,99834.20166015625,1,1045.69921875,1.0474358500002285,SIGNAL_DECAY
SNDK,SHORT,2026-08-26 09:44:00-04:00,2026-08-26 09:45:00-04:00,1482.0,1481.1600341796875,67,99294.0,1,56.2777099609375,0.05667785562162618,SIGNAL_DECAY
SNDK,LONG,2026-08-26 09:50:00-04:00,2026-08-26 09:51:00-04:00,1479.9300537109375,1484.949951171875,67,99155.31359863281,1,336.3331298828125,0.33919829172669774,SIGNAL_DECAY
SNDK,SHORT,2026-08-26 09:57:00-04:00,2026-08-26 09:58:00-04:00,1487.75,1484.8499755859375,67,99679.25,1,194.3016357421875,0.19492686365736853,SIGNAL_DECAY
SNDK,SHORT,2026-08-26 09:59:00-04:00,2026-08-26 10:01:00-04:00,1484.510009765625,1486.8399658203125,67,99462.17065429688,2,-156.1070556640625,-0.15695118519647802,SIGNAL_DECAY
SNDK,LONG,2026-08-26 10:06:00-04:00,2026-08-26 10:07:00-04:00,1474.4100341796875,1471.0,67,98785.47229003906,1,-228.4722900390625,-0.23128126509154756,SIGNAL_DECAY
SNDK,LONG,2026-08-26 10:12:00-04:00,2026-08-26 10:14:00-04:00,1465.0999755859375,1465.8800048828125,68,99626.79833984375,2,53.0419921875,0.05324068731644356,SIGNAL_DECAY
SNDK,LONG,2026-08-26 10:22:00-04:00,2026-08-26 10:23:00-04:00,1462.6727294921875,1467.3699951171875,68,99461.74560546875,1,319.4140625,0.321142626801472,SIGNAL_DECAY
SNDK,LONG,2026-08-26 10:24:00-04:00,2026-08-26 10:25:00-04:00,1467.5,1462.550048828125,68,99790.0,1,-336.5966796875,-0.33730502022998293,SIGNAL_DECAY
SNDK,SHORT,2026-08-26 10:25:00-04:00,2026-08-26 10:26:00-04:00,1462.550048828125,1461.43505859375,68,99453.4033203125,1,75.8193359375,0.07623603959867159,SIGNAL_DECAY
SNDK,LONG,2026-08-26 10:29:00-04:00,2026-08-26 10:30:00-04:00,1462.74853515625,1463.4000244140625,68,99466.900390625,1,44.30126953125,0.044538705194663436,SIGNAL_DECAY
SNDK,LONG,2026-08-26 10:31:00-04:00,2026-08-26 10:33:00-04:00,1464.5,1465.800048828125,68,99586.0,2,88.4033203125,0.08877083155513828,SIGNAL_DECAY
SNDK,SHORT,2026-08-26 10:42:00-04:00,2026-08-26 10:43:00-04:00,1472.1800537109375,1474.25,67,98636.06359863281,1,-138.6864013671875,-0.14060415258614378,SIGNAL_DECAY
SNDK,LONG,2026-08-26 10:44:00-04:00,2026-08-26 10:45:00-04:00,1476.22998046875,1476.5699462890625,67,98907.40869140625,1,22.7777099609375,0.023029326379386365,SIGNAL_DECAY
SNDK,LONG,2026-08-26 10:47:00-04:00,2026-08-26 10:48:00-04:00,1487.0,1485.6500244140625,67,99629.0,1,-90.4483642578125,-0.09078517726546738,SIGNAL_DECAY
SNDK,SHORT,2026-08-26 10:52:00-04:00,2026-08-26 10:53:00-04:00,1488.6400146484375,1485.81005859375,67,99738.88098144531,1,189.6070556640625,0.19010345193198588,SIGNAL_DECAY
SNDK,SHORT,2026-08-26 10:54:00-04:00,2026-08-26 10:55:00-04:00,1486.0001220703125,1488.31494140625,67,99562.00817871094,1,-155.0928955078125,-0.15577517804725796,SIGNAL_DECAY
SNDK,SHORT,2026-08-26 10:56:00-04:00,2026-08-26 10:57:00-04:00,1487.6600341796875,1484.18994140625,67,99673.22229003906,1,232.4962158203125,0.23325845244951735,SIGNAL_DECAY
SNDK,SHORT,2026-08-26 11:05:00-04:00,2026-08-26 11:06:00-04:00,1490.9000244140625,1495.5799560546875,67,99890.30163574219,1,-313.555419921875,-0.31389976282710547,SIGNAL_DECAY
SNDK,SHORT,2026-08-26 11:07:00-04:00,2026-08-26 11:08:00-04:00,1496.93994140625,1493.3399658203125,66,98798.0361328125,1,237.598388671875,0.24048897930772184,SIGNAL_DECAY
