strategy,symbol,net_pnl,gross_pnl,assumed_cost,fills,ending_shares,ending_mark
frozen_5m,SNDK,6.539674011231,16.674926757813033,10.135252746582031,5,1,1542.760009765625
frozen_5m,TSLA,-985.9610425720202,-924.9832763671862,60.977766204833976,8,34,357.6099853515625
frozen_5m,PLTR,0.0,0.0,0.0,0,0,170.8350067138672
frozen_5m,NVDA,38.81113331604138,50.21914672851696,11.408013412475587,5,-49,212.03500366210938
context_curve,SNDK,-342.2140222778289,-301.6905517578094,40.52347052001953,16,0,1542.760009765625
context_curve,TSLA,-718.6441101837181,-626.3471984863304,92.2969116973877,16,0,357.6099853515625
context_curve,PLTR,0.0,0.0,0.0,0,0,170.8350067138672
context_curve,NVDA,79.24219103241194,90.31507873535384,11.072887702941895,6,-98,212.03500366210938
session_context_curve,SNDK,-312.48368511962417,-264.9249267578078,47.55875836181641,16,-1,1542.760009765625
session_context_curve,TSLA,-863.7032547759991,-727.6363220214826,136.06693275451659,18,5,357.6099853515625
session_context_curve,PLTR,0.0,0.0,0.0,0,0,170.8350067138672
session_context_curve,NVDA,50.72599494934184,56.27005004882914,5.544055099487304,5,-44,212.03500366210938
session_context_error_curve,SNDK,-273.08434197997485,-233.30627441405687,39.778067565917965,15,-1,1542.760009765625
session_context_error_curve,TSLA,-732.6578658599792,-635.662872314447,96.99499354553221,21,0,357.6099853515625
session_context_error_curve,PLTR,0.0,0.0,0.0,0,0,170.8350067138672
session_context_error_curve,NVDA,27.809396766663667,31.540054321290132,3.7306575546264646,7,-23,212.03500366210938
