session,symbol,source,feed,events,quotes,trades,quote_trade_ratio,quote_minutes,quote_minute_coverage,duplicate_events,invalid_quotes,crossed_quotes,spread_bps_median,spread_bps_p95,quote_gap_seconds_median,quote_gap_seconds_p99,trade_gap_seconds_median,trade_gap_seconds_p99,latency_ms_median,latency_ms_p95,first_event,last_event,session_open,session_close,expected_session_minutes,sampling_window_start,sampling_window_end,sampling_window_minutes,sampling_window_is_full_session,quote_window_minute_coverage,trade_minutes,trade_minute_coverage,trade_window_minute_coverage,full_quote_minute_coverage,full_trade_minute_coverage,missing_quotes,missing_trades,invalid_trades
2026-09-01,PLTR,alpaca_stock_historical,iex,11903,0,11903,0.0,0,0.0,0,0,0,,,,,0.0671886435,21.07289810457998,,,2026-09-01T09:30:00.091828897-04:00,2026-09-01T15:59:59.721699610-04:00,2026-09-01T09:30:00-04:00,2026-09-01T16:00:00-04:00,390,2026-09-01T09:30:00-04:00,2026-09-01T16:00:00-04:00,390,True,0.0,390,1.0,1.0,False,True,True,False,0
2026-09-01,NVDA,alpaca_stock_historical,iex,35364,0,35364,0.0,0,0.0,0,0,0,,,,,0.079569032,6.176751358859999,,,2026-09-01T09:30:00.255619071-04:00,2026-09-01T15:59:59.951519527-04:00,2026-09-01T09:30:00-04:00,2026-09-01T16:00:00-04:00,390,2026-09-01T09:30:00-04:00,2026-09-01T16:00:00-04:00,390,True,0.0,390,1.0,1.0,False,True,True,False,0
2026-09-02,SNDK,alpaca_stock_historical,iex,6736,0,6736,0.0,0,0.0,0,0,0,,,,,0.469757132,34.700374700939975,,,2026-09-02T09:30:00.098829539-04:00,2026-09-02T15:59:59.673415741-04:00,2026-09-02T09:30:00-04:00,2026-09-02T16:00:00-04:00,390,2026-09-02T09:30:00-04:00,2026-09-02T16:00:00-04:00,390,True,0.0,388,0.9948717948717949,0.9948717948717949,False,False,True,False,0
2026-09-02,TSLA,alpaca_stock_historical,iex,11208,0,11208,0.0,0,0.0,0,0,0,,,,,0.420576991,19.276572187620005,,,2026-09-02T09:30:00.111390257-04:00,2026-09-02T15:59:59.742123657-04:00,2026-09-02T09:30:00-04:00,2026-09-02T16:00:00-04:00,390,2026-09-02T09:30:00-04:00,2026-09-02T16:00:00-04:00,390,True,0.0,390,1.0,1.0,False,True,True,False,0
2026-09-02,PLTR,alpaca_stock_historical,iex,14871,0,14871,0.0,0,0.0,0,0,0,,,,,0.109083668,14.970544743239968,,,2026-09-02T09:30:00.067995426-04:00,2026-09-02T15:59:59.034302458-04:00,2026-09-02T09:30:00-04:00,2026-09-02T16:00:00-04:00,390,2026-09-02T09:30:00-04:00,2026-09-02T16:00:00-04:00,390,True,0.0,390,1.0,1.0,False,True,True,False,0
2026-09-02,NVDA,alpaca_stock_historical,iex,53672,0,53672,0.0,0,0.0,0,0,0,,,,,0.045278162,4.4294810609000095,,,2026-09-02T09:30:00.058533551-04:00,2026-09-02T15:59:59.934217068-04:00,2026-09-02T09:30:00-04:00,2026-09-02T16:00:00-04:00,390,2026-09-02T09:30:00-04:00,2026-09-02T16:00:00-04:00,390,True,0.0,390,1.0,1.0,False,True,True,False,0
2026-09-03,SNDK,alpaca_stock_historical,iex,9304,0,9304,0.0,0,0.0,0,0,0,,,,,0.283145246,23.04805940829988,,,2026-09-03T09:30:00.091105557-04:00,2026-09-03T15:59:59.727581640-04:00,2026-09-03T09:30:00-04:00,2026-09-03T16:00:00-04:00,390,2026-09-03T09:30:00-04:00,2026-09-03T16:00:00-04:00,390,True,0.0,389,0.9974358974358974,0.9974358974358974,False,False,True,False,0
2026-09-03,TSLA,alpaca_stock_historical,iex,22910,0,22910,0.0,0,0.0,0,0,0,,,,,0.128336852,10.717217005039984,,,2026-09-03T09:30:00.110444669-04:00,2026-09-03T15:59:59.906063921-04:00,2026-09-03T09:30:00-04:00,2026-09-03T16:00:00-04:00,390,2026-09-03T09:30:00-04:00,2026-09-03T16:00:00-04:00,390,True,0.0,390,1.0,1.0,False,True,True,False,0
2026-09-03,PLTR,alpaca_stock_historical,iex,13555,0,13555,0.0,0,0.0,0,0,0,,,,,0.1699855635,18.733982388979985,,,2026-09-03T09:30:00.255096139-04:00,2026-09-03T15:59:59.581620387-04:00,2026-09-03T09:30:00-04:00,2026-09-03T16:00:00-04:00,390,2026-09-03T09:30:00-04:00,2026-09-03T16:00:00-04:00,390,True,0.0,390,1.0,1.0,False,True,True,False,0
2026-09-03,NVDA,alpaca_stock_historical,iex,39093,0,39093,0.0,0,0.0,0,0,0,,,,,0.0665998035,6.1414742544099825,,,2026-09-03T09:30:00.076265741-04:00,2026-09-03T15:59:59.779693615-04:00,2026-09-03T09:30:00-04:00,2026-09-03T16:00:00-04:00,390,2026-09-03T09:30:00-04:00,2026-09-03T16:00:00-04:00,390,True,0.0,390,1.0,1.0,False,True,True,False,0
2026-09-04,SNDK,alpaca_stock_historical,iex,12307,0,12307,0.0,0,0.0,0,0,0,,,,,0.294852923,18.588424916400008,,,2026-09-04T09:30:00.090721267-04:00,2026-09-04T15:59:59.171278988-04:00,2026-09-04T09:30:00-04:00,2026-09-04T16:00:00-04:00,390,2026-09-04T09:30:00-04:00,2026-09-04T16:00:00-04:00,390,True,0.0,390,1.0,1.0,False,True,True,False,0
2026-09-04,TSLA,alpaca_stock_historical,iex,27340,0,27340,0.0,0,0.0,0,0,0,,,,,0.10164805,9.289473439639998,,,2026-09-04T09:30:00.087554899-04:00,2026-09-04T15:59:59.798353967-04:00,2026-09-04T09:30:00-04:00,2026-09-04T16:00:00-04:00,390,2026-09-04T09:30:00-04:00,2026-09-04T16:00:00-04:00,390,True,0.0,390,1.0,1.0,False,True,True,False,0
2026-09-04,PLTR,alpaca_stock_historical,iex,11043,0,11043,0.0,0,0.0,0,0,0,,,,,0.31653851,18.266004118280005,,,2026-09-04T09:30:00.603218090-04:00,2026-09-04T15:59:57.140212738-04:00,2026-09-04T09:30:00-04:00,2026-09-04T16:00:00-04:00,390,2026-09-04T09:30:00-04:00,2026-09-04T16:00:00-04:00,390,True,0.0,390,1.0,1.0,False,True,True,False,0
2026-09-04,NVDA,alpaca_stock_historical,iex,42200,0,42200,0.0,0,0.0,0,0,0,,,,,0.069674422,5.526077874139984,,,2026-09-04T09:30:00.108803049-04:00,2026-09-04T15:59:59.909142456-04:00,2026-09-04T09:30:00-04:00,2026-09-04T16:00:00-04:00,390,2026-09-04T09:30:00-04:00,2026-09-04T16:00:00-04:00,390,True,0.0,390,1.0,1.0,False,True,True,False,0
2026-09-08,SNDK,alpaca_stock_historical,iex,7570,0,7570,0.0,0,0.0,0,0,0,,,,,0.532175947,28.76730707663998,,,2026-09-08T09:30:00.092588775-04:00,2026-09-08T15:59:59.652976126-04:00,2026-09-08T09:30:00-04:00,2026-09-08T16:00:00-04:00,390,2026-09-08T09:30:00-04:00,2026-09-08T16:00:00-04:00,390,True,0.0,388,0.9948717948717949,0.9948717948717949,False,False,True,False,0
2026-09-08,TSLA,alpaca_stock_historical,iex,18230,0,18230,0.0,0,0.0,0,0,0,,,,,0.277779226,10.920031209080003,,,2026-09-08T09:30:00.078654538-04:00,2026-09-08T15:59:58.727336159-04:00,2026-09-08T09:30:00-04:00,2026-09-08T16:00:00-04:00,390,2026-09-08T09:30:00-04:00,2026-09-08T16:00:00-04:00,390,True,0.0,390,1.0,1.0,False,True,True,False,0
2026-09-08,PLTR,alpaca_stock_historical,iex,9502,0,9502,0.0,0,0.0,0,0,0,,,,,0.290738021,21.822218462,,,2026-09-08T09:30:00.130036439-04:00,2026-09-08T15:59:58.204895604-04:00,2026-09-08T09:30:00-04:00,2026-09-08T16:00:00-04:00,390,2026-09-08T09:30:00-04:00,2026-09-08T16:00:00-04:00,390,True,0.0,390,1.0,1.0,False,True,True,False,0
2026-09-08,NVDA,alpaca_stock_historical,iex,43633,0,43633,0.0,0,0.0,0,0,0,,,,,0.0577364605,5.445255144510003,,,2026-09-08T09:30:00.081351825-04:00,2026-09-08T15:59:59.556265793-04:00,2026-09-08T09:30:00-04:00,2026-09-08T16:00:00-04:00,390,2026-09-08T09:30:00-04:00,2026-09-08T16:00:00-04:00,390,True,0.0,390,1.0,1.0,False,True,True,False,0
2026-09-09,SNDK,alpaca_stock_historical,iex,8144,0,8144,0.0,0,0.0,0,0,0,,,,,0.425579784,27.13190603497999,,,2026-09-09T09:30:00.115616475-04:00,2026-09-09T15:59:59.762083474-04:00,2026-09-09T09:30:00-04:00,2026-09-09T16:00:00-04:00,390,2026-09-09T09:30:00-04:00,2026-09-09T16:00:00-04:00,390,True,0.0,390,1.0,1.0,False,True,True,False,0
2026-09-09,TSLA,alpaca_stock_historical,iex,12776,0,12776,0.0,0,0.0,0,0,0,,,,,0.429229551,15.340235068240016,,,2026-09-09T09:30:00.150008785-04:00,2026-09-09T15:59:58.281732542-04:00,2026-09-09T09:30:00-04:00,2026-09-09T16:00:00-04:00,390,2026-09-09T09:30:00-04:00,2026-09-09T16:00:00-04:00,390,True,0.0,390,1.0,1.0,False,True,True,False,0
2026-09-09,PLTR,alpaca_stock_historical,iex,7825,0,7825,0.0,0,0.0,0,0,0,,,,,0.4628560655,26.261200885829915,,,2026-09-09T09:30:00.117685643-04:00,2026-09-09T15:59:58.277935639-04:00,2026-09-09T09:30:00-04:00,2026-09-09T16:00:00-04:00,390,2026-09-09T09:30:00-04:00,2026-09-09T16:00:00-04:00,390,True,0.0,390,1.0,1.0,False,True,True,False,0
2026-09-09,NVDA,alpaca_stock_historical,iex,31677,0,31677,0.0,0,0.0,0,0,0,,,,,0.066460856,7.8965923579999995,,,2026-09-09T09:30:00.084214313-04:00,2026-09-09T15:59:59.817400862-04:00,2026-09-09T09:30:00-04:00,2026-09-09T16:00:00-04:00,390,2026-09-09T09:30:00-04:00,2026-09-09T16:00:00-04:00,390,True,0.0,390,1.0,1.0,False,True,True,False,0
2026-09-10,SNDK,alpaca_stock_historical,iex,7978,0,7978,0.0,0,0.0,0,0,0,,,,,0.534225828,25.27299914763995,,,2026-09-10T09:30:00.037642591-04:00,2026-09-10T15:59:57.884779516-04:00,2026-09-10T09:30:00-04:00,2026-09-10T16:00:00-04:00,390,2026-09-10T09:30:00-04:00,2026-09-10T16:00:00-04:00,390,True,0.0,390,1.0,1.0,False,True,True,False,0
2026-09-10,TSLA,alpaca_stock_historical,iex,10743,0,10743,0.0,0,0.0,0,0,0,,,,,0.385404727,20.78030046887002,,,2026-09-10T09:30:00.069375123-04:00,2026-09-10T15:59:58.281400351-04:00,2026-09-10T09:30:00-04:00,2026-09-10T16:00:00-04:00,390,2026-09-10T09:30:00-04:00,2026-09-10T16:00:00-04:00,390,True,0.0,390,1.0,1.0,False,True,True,False,0
2026-09-10,PLTR,alpaca_stock_historical,iex,8785,0,8785,0.0,0,0.0,0,0,0,,,,,0.517723332,22.353874562550004,,,2026-09-10T09:30:00.199130783-04:00,2026-09-10T15:59:59.951990082-04:00,2026-09-10T09:30:00-04:00,2026-09-10T16:00:00-04:00,390,2026-09-10T09:30:00-04:00,2026-09-10T16:00:00-04:00,390,True,0.0,390,1.0,1.0,False,True,True,False,0
2026-09-10,NVDA,alpaca_stock_historical,iex,39208,0,39208,0.0,0,0.0,0,0,0,,,,,0.063563382,5.964968675300015,,,2026-09-10T09:30:00.039570904-04:00,2026-09-10T15:59:59.505756433-04:00,2026-09-10T09:30:00-04:00,2026-09-10T16:00:00-04:00,390,2026-09-10T09:30:00-04:00,2026-09-10T16:00:00-04:00,390,True,0.0,390,1.0,1.0,False,True,True,False,0
2026-09-11,SNDK,alpaca_stock_historical,iex,7905,0,7905,0.0,0,0.0,0,0,0,,,,,0.42316280900000003,28.670023012380017,,,2026-09-11T09:30:00.169123358-04:00,2026-09-11T15:59:57.375782203-04:00,2026-09-11T09:30:00-04:00,2026-09-11T16:00:00-04:00,390,2026-09-11T09:30:00-04:00,2026-09-11T16:00:00-04:00,390,True,0.0,390,1.0,1.0,False,True,True,False,0
2026-09-11,TSLA,alpaca_stock_historical,iex,12661,0,12661,0.0,0,0.0,0,0,0,,,,,0.432856424,15.652861916599994,,,2026-09-11T09:30:00.120835012-04:00,2026-09-11T15:59:59.323030800-04:00,2026-09-11T09:30:00-04:00,2026-09-11T16:00:00-04:00,390,2026-09-11T09:30:00-04:00,2026-09-11T16:00:00-04:00,390,True,0.0,390,1.0,1.0,False,True,True,False,0
2026-09-11,PLTR,alpaca_stock_historical,iex,7355,0,7355,0.0,0,0.0,0,0,0,,,,,0.46441612200000004,27.92539464301,,,2026-09-11T09:30:01.703535245-04:00,2026-09-11T15:59:59.896214055-04:00,2026-09-11T09:30:00-04:00,2026-09-11T16:00:00-04:00,390,2026-09-11T09:30:00-04:00,2026-09-11T16:00:00-04:00,390,True,0.0,390,1.0,1.0,False,True,True,False,0
2026-09-11,NVDA,alpaca_stock_historical,iex,23764,0,23764,0.0,0,0.0,0,0,0,,,,,0.094089583,10.146505198340027,,,2026-09-11T09:30:00.073525009-04:00,2026-09-11T15:59:59.618793139-04:00,2026-09-11T09:30:00-04:00,2026-09-11T16:00:00-04:00,390,2026-09-11T09:30:00-04:00,2026-09-11T16:00:00-04:00,390,True,0.0,390,1.0,1.0,False,True,True,False,0
