session,symbol,source,feed,events,quotes,trades,quote_trade_ratio,quote_minutes,quote_minute_coverage,duplicate_events,invalid_quotes,crossed_quotes,spread_bps_median,spread_bps_p95,quote_gap_seconds_median,quote_gap_seconds_p99,trade_gap_seconds_median,trade_gap_seconds_p99,latency_ms_median,latency_ms_p95,first_event,last_event,session_open,session_close,expected_session_minutes,sampling_window_start,sampling_window_end,sampling_window_minutes,sampling_window_is_full_session,quote_window_minute_coverage,trade_minutes,trade_minute_coverage,trade_window_minute_coverage,full_quote_minute_coverage,full_trade_minute_coverage,missing_quotes,missing_trades,invalid_trades
2026-08-28,SNDK,alpaca_stock_historical,iex,6207,0,6207,0.0,0,0.0,0,0,0,,,,,0.763171651,31.2338216378,,,2026-08-28T09:30:00.138895341-04:00,2026-08-28T15:59:58.154504825-04:00,2026-08-28T09:30:00-04:00,2026-08-28T16:00:00-04:00,390,2026-08-28T09:30:00-04:00,2026-08-28T16:00:00-04:00,390,True,0.0,389,0.9974358974358974,0.9974358974358974,False,False,True,False,0
2026-08-28,TSLA,alpaca_stock_historical,iex,11702,0,11702,0.0,0,0.0,0,0,0,,,,,0.532943247,15.849270165,,,2026-08-28T09:30:00.081619571-04:00,2026-08-28T15:59:59.880837546-04:00,2026-08-28T09:30:00-04:00,2026-08-28T16:00:00-04:00,390,2026-08-28T09:30:00-04:00,2026-08-28T16:00:00-04:00,390,True,0.0,390,1.0,1.0,False,True,True,False,0
2026-08-28,PLTR,alpaca_stock_historical,iex,10833,0,10833,0.0,0,0.0,0,0,0,,,,,0.4494514085,18.775066625730027,,,2026-08-28T09:30:00.073185401-04:00,2026-08-28T15:59:59.594376116-04:00,2026-08-28T09:30:00-04:00,2026-08-28T16:00:00-04:00,390,2026-08-28T09:30:00-04:00,2026-08-28T16:00:00-04:00,390,True,0.0,390,1.0,1.0,False,True,True,False,0
2026-08-28,NVDA,alpaca_stock_historical,iex,59916,0,59916,0.0,0,0.0,0,0,0,,,,,0.049552311,3.814455842260002,,,2026-08-28T09:30:00.156523447-04:00,2026-08-28T15:59:59.943725767-04:00,2026-08-28T09:30:00-04:00,2026-08-28T16:00:00-04:00,390,2026-08-28T09:30:00-04:00,2026-08-28T16:00:00-04:00,390,True,0.0,390,1.0,1.0,False,True,True,False,0
2026-08-31,SNDK,alpaca_stock_historical,iex,14477,0,14477,0.0,0,0.0,0,0,0,,,,,0.096188576,18.37567974375,,,2026-08-31T09:30:00.104060968-04:00,2026-08-31T15:59:59.955009134-04:00,2026-08-31T09:30:00-04:00,2026-08-31T16:00:00-04:00,390,2026-08-31T09:30:00-04:00,2026-08-31T16:00:00-04:00,390,True,0.0,389,0.9974358974358974,0.9974358974358974,False,False,True,False,0
2026-08-31,TSLA,alpaca_stock_historical,iex,22020,0,22020,0.0,0,0.0,0,0,0,,,,,0.239835033,9.438659328139998,,,2026-08-31T09:30:00.092607442-04:00,2026-08-31T15:59:59.935244717-04:00,2026-08-31T09:30:00-04:00,2026-08-31T16:00:00-04:00,390,2026-08-31T09:30:00-04:00,2026-08-31T16:00:00-04:00,390,True,0.0,390,1.0,1.0,False,True,True,False,0
2026-08-31,PLTR,alpaca_stock_historical,iex,9833,0,9833,0.0,0,0.0,0,0,0,,,,,0.324412245,23.21447410776,,,2026-08-31T09:30:00.595428529-04:00,2026-08-31T15:59:59.670386095-04:00,2026-08-31T09:30:00-04:00,2026-08-31T16:00:00-04:00,390,2026-08-31T09:30:00-04:00,2026-08-31T16:00:00-04:00,390,True,0.0,390,1.0,1.0,False,True,True,False,0
2026-08-31,NVDA,alpaca_stock_historical,iex,37899,0,37899,0.0,0,0.0,0,0,0,,,,,0.068128201,6.054793094129987,,,2026-08-31T09:30:00.105235043-04:00,2026-08-31T15:59:59.952737068-04:00,2026-08-31T09:30:00-04:00,2026-08-31T16:00:00-04:00,390,2026-08-31T09:30:00-04:00,2026-08-31T16:00:00-04:00,390,True,0.0,390,1.0,1.0,False,True,True,False,0
2026-09-01,SNDK,alpaca_stock_historical,iex,10733,0,10733,0.0,0,0.0,0,0,0,,,,,0.3734894345,21.04201051108,,,2026-09-01T09:30:00.133745893-04:00,2026-09-01T15:59:58.999169807-04:00,2026-09-01T09:30:00-04:00,2026-09-01T16:00:00-04:00,390,2026-09-01T09:30:00-04:00,2026-09-01T16:00:00-04:00,390,True,0.0,390,1.0,1.0,False,True,True,False,0
2026-09-01,TSLA,alpaca_stock_historical,iex,14236,0,14236,0.0,0,0.0,0,0,0,,,,,0.349941257,14.908859930259998,,,2026-09-01T09:30:00.129440009-04:00,2026-09-01T15:59:58.388194899-04:00,2026-09-01T09:30:00-04:00,2026-09-01T16:00:00-04:00,390,2026-09-01T09:30:00-04:00,2026-09-01T16:00:00-04:00,390,True,0.0,390,1.0,1.0,False,True,True,False,0
