date,symbol,horizon,rows,ic,rank_ic,mse_bps2
2026-09-14,SNDK,1,76,0.01864662394532677,0.13276828434723173,1734.6385615185857
2026-09-14,SNDK,3,74,-0.21071090058780667,-0.1952017771195853,4778.564573542679
2026-09-14,SNDK,6,71,0.034018057951491695,-0.0380617035546613,9481.281380632292
2026-09-14,SNDK,12,65,-0.09474859718878413,-0.09073426573426573,16126.716359286198
2026-09-14,TSLA,1,76,-0.08057017514772448,0.04713602187286398,461.04731808280485
2026-09-14,TSLA,3,74,-0.25353109378758154,-0.032388004442798955,1163.2785200235285
2026-09-14,TSLA,6,71,-0.18389331933129005,-0.12193158953722334,2306.9716454701093
2026-09-14,TSLA,12,65,-0.4255850222754839,-0.26005244755244755,5581.29964485741
2026-09-14,PLTR,1,76,-0.05740218597289947,-0.014299384825700616,660.6394457391411
2026-09-14,PLTR,3,74,-0.0868254030460374,-0.051373565346168076,2033.2435414033516
2026-09-14,PLTR,6,71,-0.03865800068850465,-0.006539235412474848,4156.223136425991
2026-09-14,PLTR,12,65,0.4339210854691307,0.537937062937063,6754.348409944113
2026-09-14,NVDA,1,76,0.23940914146649114,0.1682319649092937,210.37845746095218
2026-09-14,NVDA,3,74,-0.07285725694166018,0.2507663828211773,557.6659565645845
2026-09-14,NVDA,6,71,0.27192349127936016,0.3603621730382293,831.1805264588379
2026-09-14,NVDA,12,65,0.1843074403972878,0.36713286713286714,1603.3814563141902
