date,timestamp,phase,cash,equity,gross_dollars,net_dollars,gross_exposure,net_exposure,costs_to_date,turnover_dollars_to_date,drawdown,SNDK_shares,SNDK_price,SNDK_weight,SNDK_pnl,TSLA_shares,TSLA_price,TSLA_weight,TSLA_pnl,PLTR_shares,PLTR_price,PLTR_weight,PLTR_pnl,NVDA_shares,NVDA_price,NVDA_weight,NVDA_pnl
2026-08-31,2026-08-31T09:30:00-04:00,open_before_orders,47006.42,47006.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1486.2049560546875,0.0,0.0,0,347.1499938964844,0.0,0.0,0,184.4949951171875,0.0,0.0,0,218.86199951171875,0.0,0.0
2026-08-31,2026-08-31T09:35:00-04:00,bar_close,47006.42,47006.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1516.219970703125,0.0,0.0,0,352.55999755859375,0.0,0.0,0,186.1898956298828,0.0,0.0,0,217.1699981689453,0.0,0.0
2026-08-31,2026-08-31T09:35:00-04:00,open_before_orders,47006.42,47006.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1516.385009765625,0.0,0.0,0,352.40008544921875,0.0,0.0,0,186.0500030517578,0.0,0.0,0,217.13999938964844,0.0,0.0
2026-08-31,2026-08-31T09:35:00-04:00,after_fill,58982.0321038208,47000.42919854736,11981.602905273438,-11981.602905273438,0.25492539343967846,-0.25492539343967846,5.990801452636719,11981.602905273438,-0.00012744645205142735,0,1516.385009765625,0.0,0.0,-34,352.40008544921875,-0.25492539343967846,-5.990801452635424,0,186.0500030517578,0.0,0.0,0,217.13999938964844,0.0,0.0
2026-08-31,2026-08-31T09:35:00-04:00,after_fill,90234.55793597412,46984.79511859131,43249.76281738281,-43249.76281738281,0.9205055105214114,-0.9205055105214114,21.624881408691408,43249.76281738281,-0.0004600410201135441,0,1516.385009765625,0.0,0.0,-34,352.40008544921875,-0.25501021926415646,-5.990801452635424,0,186.0500030517578,0.0,0.0,-144,217.13999938964844,-0.6654952912572549,-15.634079956053029
2026-08-31,2026-08-31T09:40:00-04:00,bar_close,90234.55793597412,46986.63862445069,43247.91931152344,-43247.91931152344,0.9204301600970087,-0.9204301600970087,21.624881408691408,43249.76281738281,-0.00042082284822608784,0,1510.89697265625,0.0,0.0,-34,353.67999267578125,-0.2559263676444177,-49.507647155760424,0,185.75999450683594,0.0,0.0,-144,216.8249969482422,-0.664503792452591,29.72627160644697
2026-08-31,2026-08-31T09:40:00-04:00,open_before_orders,90234.55793597412,46979.87641741944,43254.68151855469,-43254.68151855469,0.9207065836920018,-0.9207065836920018,21.624881408691408,43249.76281738281,-0.00056467994330478,0,1511.5,0.0,0.0,-34,353.82000732421875,-0.25606453584801125,-54.268145202635424,0,185.72999572753906,0.0,0.0,-144,216.83889770507812,-0.6646420478439905,27.72456262207197
2026-08-31,2026-08-31T09:40:00-04:00,after_fill,87402.58259735108,46978.46113739014,40424.12145996094,-40424.12145996094,0.8604820268960959,-0.8604820268960959,23.04016143798828,46080.32287597656,-0.0005947881716977799,0,1511.5,0.0,0.0,-26,353.82000732421875,-0.19581995594802384,-55.683425231931324,0,185.72999572753906,0.0,0.0,-144,216.83889770507812,-0.664662070948072,27.72456262207197
2026-08-31,2026-08-31T09:40:00-04:00,after_fill,76338.26942250061,46972.93174549866,29365.337677001953,-29365.337677001953,0.6251544578078414,-0.6251544578078414,28.569553329467773,57139.10665893555,-0.0007124187398517279,0,1511.5,0.0,0.0,-26,353.82000732421875,-0.19584300678254438,-55.683425231931324,0,185.72999572753906,0.0,0.0,-93,216.83889770507812,-0.429311451025297,22.19517073059251
2026-08-31,2026-08-31T09:40:00-04:00,after_fill,61472.44056446839,46965.50254566956,44223.73733520508,-14506.938018798828,0.9416217210111109,-0.30888497370367085,35.998753158569336,71997.50631713867,-0.0008704652328435092,0,1511.5,0.0,0.0,-26,353.82000732421875,-0.195873986049318,-55.683425231931324,80,185.72999572753906,0.31636837365372,-7.42919982910098,-93,216.83889770507812,-0.42937936130807286,22.19517073059251
