date,symbol,horizon,rows,ic,rank_ic,mse_bps2
2026-09-14,SNDK,1,76,0.03965022642717155,0.01369788106630212,1678.1575656235195
2026-09-14,SNDK,3,74,0.07008649095881633,0.06079229914846351,3854.7899669462277
2026-09-14,SNDK,6,71,0.052817541979721015,0.09721663313212608,8405.98331359189
2026-09-14,SNDK,12,65,-0.18343454612565002,-0.13610139860139858,14023.525664727362
2026-09-14,TSLA,1,76,-0.12427131500169548,0.006151742993848257,460.32252389918676
2026-09-14,TSLA,3,74,-0.3465828191937053,-0.06372454646427247,1147.7289231302643
2026-09-14,TSLA,6,71,-0.03767314551638193,0.11431924882629106,2182.983268347494
2026-09-14,TSLA,12,65,0.09018169399474915,0.2495192307692308,4555.600867289237
2026-09-14,PLTR,1,76,-0.003588122147600751,0.03729323308270677,648.6916219024532
2026-09-14,PLTR,3,74,-0.01762740062132657,0.0008441318030359124,2005.2172543057209
2026-09-14,PLTR,6,71,-0.088243425882485,-0.025486250838363513,4428.987260918001
2026-09-14,PLTR,12,65,0.5558091274379265,0.5796765734265734,8482.618557065758
2026-09-14,NVDA,1,76,0.03946494767480314,-0.07227713298191418,215.51295601221938
2026-09-14,NVDA,3,74,-0.2515773995006415,0.24069603850425764,534.8019531178664
2026-09-14,NVDA,6,71,-0.03094385645659323,0.002816901408450704,894.4052715655325
2026-09-14,NVDA,12,65,-0.1237727202582649,0.04383741258741258,1460.0258120377641
