date,starting_equity,ending_equity,net_pnl,net_return,costs,gross_pnl,turnover_dollars,turnover_equity_multiple,fill_count,max_drawdown,max_gross_exposure,max_abs_net_exposure,max_symbol_exposure,min_cash,ending_cash,ending_gross_exposure,ending_net_exposure,SNDK_net_pnl,SNDK_costs,SNDK_fill_count,MSTR_net_pnl,MSTR_costs,MSTR_fill_count,NVDA_net_pnl,NVDA_costs,NVDA_fill_count
2026-08-31,100000.0,103610.74968002326,3610.749680023262,0.03610749680023262,289.0096736145018,3899.759353637764,578019.3472290039,5.780193472290039,54,-0.008703731976584916,0.9521790840933544,0.6996329688545028,0.7019863309215431,30035.286972236645,103610.74968002326,0.0,0.0,1573.9906291504049,84.37802319335937,16,2680.0476562347685,119.28283387756349,20,-643.2886053619332,85.34881654357909,18
2026-09-01,103610.74968002326,103817.91837771614,207.16869769287587,0.0019994903842764024,220.45468487548828,427.62338256836415,440909.36975097656,4.255440396991803,102,-0.01955264704134707,0.9515195446686009,0.6991109749486754,0.7026452040947966,31164.44375373084,103817.91837771614,0.0,0.0,-209.5096607665946,46.289690063476556,9,381.0636881942919,80.40983780670163,54,35.614670265193126,93.75515700531005,39
2026-09-02,103817.91837771614,103822.27858224885,4.3602045327133965,4.199857405009661e-05,359.53717248153737,363.89737701425076,719074.3449630737,6.9263028598483105,101,-0.014091806318373368,0.9498789876234446,0.948621587612603,0.7040906498199629,5387.521216720677,103822.27858224885,0.0,0.0,-75.82839703368336,89.35195660400389,18,-434.26930484386867,119.20319614028932,34,514.457906410234,150.98201973724363,49
2026-09-03,103822.27858224885,108698.3015999033,4876.023017654443,0.04696509346779187,307.96358512878464,5183.986602783228,615927.1702575684,5.932514472504337,88,-0.0052338403843555925,0.9513936701306698,0.9494691252637373,0.7022544572818767,5325.7052884637815,108698.3015999033,0.0,0.0,0.0,0.0,0,4741.041050041227,114.37437049102779,53,134.98196761322697,193.58921463775636,35
2026-09-04,108698.3015999033,108526.09129516246,-172.2103047408309,-0.0015842961868411025,492.7315297164912,320.5212249756603,985463.0594329834,9.066039164625366,94,-0.017962743728835218,0.9570207736761636,0.9491490968886698,0.7049509851335759,5524.045204891445,108526.09129516246,0.0,0.0,-567.958450256328,111.78474420166016,11,1549.2957489013716,152.05187683105467,62,-1153.5476033859122,228.8949086837769,21
2026-09-08,108526.09129516246,107580.22637672072,-945.8649184417445,-0.00871555316471539,331.32213279724283,-614.5427856445017,662644.2655944824,6.105852129072483,94,-0.01814938668957533,0.953766872549599,0.9491814064433972,0.6995491907442991,5510.498944095903,107580.22637672072,0.0,0.0,-552.34513812255,74.4661098022461,5,17.43078905488801,105.8009766921997,25,-410.950569374083,151.05504630279535,64
2026-09-09,107580.22637672072,105222.13295130571,-2358.093425415005,-0.0219193945284844,575.1487232666011,-1782.944702148404,1150297.4465332031,10.692461665818877,74,-0.027764191602903554,0.9507865689240358,0.948886045534211,0.7000258666613296,5475.219602253266,105222.13295130571,0.0,0.0,-955.4327397460702,145.86047412109377,12,-1159.5324554748004,232.56483462524417,28,-243.12823019409188,196.7234145202637,34
2026-09-10,105222.13295130571,105381.67319432483,159.54024301911704,0.0015162232369205864,129.72695363616913,289.26719665528617,259453.90727233887,2.465773122014243,115,-0.011251742454114089,0.9503807106417569,0.6998732801161964,0.7017345256220464,31568.926497783992,105381.67319432483,0.0,0.0,0.0,0.0,0,272.70420981598,76.02532814788819,58,-113.16396679683749,53.70162548828125,57
2026-09-11,105381.67319432483,108690.21613221406,3308.5429378892295,0.031395809514129125,430.5436862564061,3739.086624145635,861087.3725128174,8.17113020140574,60,-0.020531603778634278,0.9515347089952242,0.9505898453827776,0.7052886215971139,5459.553593075147,108690.21613221406,0.0,0.0,137.1173090210068,150.6257329711914,13,3361.6488839950835,177.4285238418579,32,-190.2232551269335,102.48942944335936,15
