date,starting_equity,ending_equity,net_pnl,net_return,costs,gross_pnl,turnover_dollars,turnover_equity_multiple,fill_count,max_drawdown,max_gross_exposure,max_abs_net_exposure,max_symbol_exposure,min_cash,ending_cash,ending_gross_exposure,ending_net_exposure,SNDK_net_pnl,SNDK_costs,SNDK_fill_count,TSLA_net_pnl,TSLA_costs,TSLA_fill_count,PLTR_net_pnl,PLTR_costs,PLTR_fill_count,NVDA_net_pnl,NVDA_costs,NVDA_fill_count
2026-08-31,47006.42,47209.295508750925,202.8755087509271,0.004315910651160567,143.85262540435795,346.72813415528503,287705.2508087158,6.120552273683378,39,-0.011710967813895579,0.9359711775167158,0.9359711775167158,0.23820539397667642,3019.970738578795,47209.295508750925,0.0,0.0,52.16871551513759,31.51597686767578,6,486.6136911621106,11.173296142578124,3,-153.07561688994792,33.73707013702393,12,-182.8312810363659,67.42628225708009,18
2026-09-01,47209.295508750925,46723.219168884316,-486.0763398666095,-0.010296199818879064,155.71490493011456,-330.3614349364949,311429.8098602295,6.596790028406619,36,-0.015581932025861445,0.9433033727847058,0.47706480665988377,0.2386200783977005,24799.413808197045,46723.219168884316,0.0,0.0,-70.55299316406126,10.7727197265625,2,-5.766374633787564,11.035844848632813,2,-286.5205919494547,89.50499746704101,22,-123.23638011931689,44.40134288787842,10
2026-09-02,46723.219168884316,46909.02042516331,185.80125627899542,0.003976636447232026,87.87591352081296,273.67716979980844,175751.82704162598,3.761552182574553,29,-0.012066013565167677,0.9403489094640508,0.4701544493769229,0.2384009374269615,35842.09101611332,46909.02042516331,0.0,0.0,-336.84448181151856,53.69311462402343,10,3.8300803680431272,11.050260208129883,2,300.47367557525286,12.024813804626465,14,218.34198214721982,11.107724884033203,3
2026-09-03,46909.02042516331,46608.352762374925,-300.6676627883862,-0.006409591589490956,144.6020957717895,-156.06556701659673,289204.1915435791,6.165214897313052,48,-0.014850230964901234,0.9439008035593845,0.9439008035593845,0.24038960796158323,2637.7339141388443,46608.352762374925,0.0,0.0,-710.4138321533101,64.73390051269531,12,193.28453709411951,11.599038345336915,5,325.3168225402842,12.083690155029295,14,-108.85519026947259,56.185466758728026,17
2026-09-04,46608.352762374925,47283.681811851566,675.3290494766406,0.01448944254519561,99.8860841903687,775.2151336670095,199772.1683807373,4.286188130253027,28,-0.003537481329422665,0.9270217837411718,0.7031092407276872,0.23782485109733084,36804.133278244066,47283.681811851566,0.0,0.0,563.5437480468754,10.086134765625001,2,107.46400724792693,11.78706086730957,7,213.61813986206107,11.442315460205077,6,-209.29684568023367,66.57057309722902,13
2026-09-08,47283.681811851566,47500.21838419351,216.53657234194543,0.004579520122895146,109.50624382019043,326.04281616213586,219012.48764038086,4.631883120097593,35,-0.008738197023861694,0.9364684537659186,0.6981772168138359,0.23811279868657936,14266.312236656255,47500.21838419351,0.0,0.0,-375.004331542963,63.48480029296875,12,189.67659503174218,11.30668133544922,3,81.71875911712777,23.30048221588135,16,320.1455497360239,11.414279975891112,4
2026-09-09,47500.21838419351,46596.00242046367,-904.2159637298391,-0.019036038032842647,232.01592100524874,-672.2000427245904,464031.84201049805,9.769046496950683,54,-0.022096305335253086,0.9389064550641545,0.48169716002785457,0.2393879432759134,25129.798977134786,46596.00242046367,0.0,0.0,-178.7465375976517,42.04438916015625,8,-432.78760925292045,99.91761413574221,21,-210.44661660003112,56.07477516937254,14,-82.23520027923223,33.97914253997803,11
2026-09-10,46596.00242046367,45981.29143038953,-614.7109900741416,-0.013192354668695304,164.7001715927123,-450.0108184814293,329400.3431854248,7.069283330639568,48,-0.014638935736801306,0.9339322206662329,0.9270661184979302,0.23929487803622376,45491.245147102476,45981.29143038953,0.0,0.0,-26.122585327148045,10.162380249023439,2,-78.18984747314062,22.82455206298828,11,-515.7262588043068,120.12649684143067,26,5.327701530459308,11.586742439270019,9
2026-09-11,45981.29143038953,45672.56637126935,-308.72505912018096,-0.006714145025429652,150.13956412506127,-158.5854949951197,300279.12825012207,6.530463127698592,35,-0.012934800917211664,0.9212465486822669,0.9151309154085178,0.23980359362425513,23421.99230419173,45672.56637126935,0.0,0.0,247.76511694336114,9.934590087890625,2,-230.64074934386372,52.90689314270019,10,-171.77014543914265,33.22856523895263,13,-154.07928128051026,54.06951565551758,10
2026-09-14,45672.56637126935,45039.424228759875,-633.1421425094741,-0.013862635555941884,160.36530229949904,-472.77684020997503,320730.604598999,7.022390683978663,49,-0.01845363073775641,0.9448700232773385,0.9113181883956313,0.23943528136544112,4022.6916359711718,45039.424228759875,0.0,0.0,-170.29689959716416,21.557519714355468,6,-342.83525823974196,52.96184515380859,14,107.55135533142311,22.13910487365723,15,-227.56134000395468,63.70683255767822,14
