ticker,date,selected_candidate,selection_data_cutoff,validation_start_date,validation_end_date,available_prior_sessions,selection_mode,selection_score,bar_data_start,bar_data_end,candidate,is_selected,status,validation_score,model_train_sessions,model_train_last_date,net_return,gross_return,cost_fraction_of_day_start_equity,slippage_cost_fraction,commission_cost_fraction,max_drawdown,trade_count,fill_count,turnover,exposed_bars
SNDK,2026-08-31,ml_ridge,2026-08-28T16:00:00-0400,2026-08-26,2026-08-28,25,fixed_external_daily_choices,,2026-08-31T09:30:00-04:00,2026-08-31T16:00:00-04:00,flat,False,ok,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
SNDK,2026-08-31,ml_ridge,2026-08-28T16:00:00-0400,2026-08-26,2026-08-28,25,fixed_external_daily_choices,,2026-08-31T09:30:00-04:00,2026-08-31T16:00:00-04:00,trend_3,False,ok,-0.08436287203403925,0,,0.10567285085838773,0.1223910987385115,0.015206776303974899,0.015206776303974899,0.0,-0.015635812523920323,15,16,30.0,74
SNDK,2026-08-31,ml_ridge,2026-08-28T16:00:00-0400,2026-08-26,2026-08-28,25,fixed_external_daily_choices,,2026-08-31T09:30:00-04:00,2026-08-31T16:00:00-04:00,trend_12,False,ok,-0.0938076109945184,0,,-0.06247509524935124,-0.05210041279208111,0.010801034987562588,0.010801034987562588,0.0,-0.08218348392480801,11,12,22.0,65
SNDK,2026-08-31,ml_ridge,2026-08-28T16:00:00-0400,2026-08-26,2026-08-28,25,fixed_external_daily_choices,,2026-08-31T09:30:00-04:00,2026-08-31T16:00:00-04:00,reversal_3,False,ok,-0.046790152487512504,0,,-0.12448873624651269,-0.11125063031137383,0.014593837138257891,0.014593837138257891,0.0,-0.12708585115344329,15,16,30.0,74
SNDK,2026-08-31,ml_ridge,2026-08-28T16:00:00-0400,2026-08-26,2026-08-28,25,fixed_external_daily_choices,,2026-08-31T09:30:00-04:00,2026-08-31T16:00:00-04:00,ml_ridge,True,ok,-0.021430378685144857,25,2026-08-28,0.08716306449973943,0.09480346409270801,0.007075079223198946,0.007075079223198946,0.0,-0.028560061472978293,7,8,14.0,77
SNDK,2026-08-31,ml_ridge,2026-08-28T16:00:00-0400,2026-08-26,2026-08-28,25,fixed_external_daily_choices,,2026-08-31T09:30:00-04:00,2026-08-31T16:00:00-04:00,buy_hold_session,False,ok,,0,,0.05506361109928082,0.05611946653595057,0.001027795703401341,0.001027795703401341,0.0,-0.053400208251770165,1,2,2.0,78
SNDK,2026-09-01,ml_ridge,2026-08-31T16:00:00-0400,2026-08-27,2026-08-31,26,fixed_external_daily_choices,,2026-09-01T09:30:00-04:00,2026-09-01T16:00:00-04:00,flat,False,ok,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
SNDK,2026-09-01,ml_ridge,2026-08-31T16:00:00-0400,2026-08-27,2026-08-31,26,fixed_external_daily_choices,,2026-09-01T09:30:00-04:00,2026-09-01T16:00:00-04:00,trend_3,False,ok,0.019619378870393334,0,,0.004340471581852912,0.023614852225144256,0.019232963423769227,0.019232963423769227,0.0,-0.025177007185125833,19,20,38.0,74
SNDK,2026-09-01,ml_ridge,2026-08-31T16:00:00-0400,2026-08-27,2026-08-31,26,fixed_external_daily_choices,,2026-09-01T09:30:00-04:00,2026-09-01T16:00:00-04:00,trend_12,False,ok,-0.11565125320227398,0,,0.02663529480213267,0.030751864957071717,0.004091698294350633,0.004091698294350633,0.0,-0.024759488397244178,4,5,8.0,65
SNDK,2026-09-01,ml_ridge,2026-08-31T16:00:00-0400,2026-08-27,2026-08-31,26,fixed_external_daily_choices,,2026-09-01T09:30:00-04:00,2026-09-01T16:00:00-04:00,reversal_3,False,ok,-0.13707653005410914,0,,-0.042244904319502674,-0.02386454745892308,0.01842951517063188,0.018429515170631884,0.0,-0.056543770014284345,19,20,38.0,74
SNDK,2026-09-01,ml_ridge,2026-08-31T16:00:00-0400,2026-08-27,2026-08-31,26,fixed_external_daily_choices,,2026-09-01T09:30:00-04:00,2026-09-01T16:00:00-04:00,ml_ridge,True,ok,0.06032358940877525,26,2026-08-31,-0.010875863489029802,6.98178204729949e-05,0.011053902874761736,0.011053902874761734,0.0,-0.0347405644595421,11,12,22.0,77
SNDK,2026-09-01,ml_ridge,2026-08-31T16:00:00-0400,2026-08-27,2026-08-31,26,fixed_external_daily_choices,,2026-09-01T09:30:00-04:00,2026-09-01T16:00:00-04:00,buy_hold_session,False,ok,,0,,0.0058455156619965365,0.006852116065031666,0.0010031743450035,0.0010031743450035,0.0,-0.04683510924054757,1,2,2.0,78
SNDK,2026-09-02,ml_ridge,2026-09-01T16:00:00-0400,2026-08-28,2026-09-01,27,fixed_external_daily_choices,,2026-09-02T09:30:00-04:00,2026-09-02T16:00:00-04:00,flat,False,ok,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
