ticker,date,candidate,is_selected,fill_time,signal_data_cutoff,reference_price,from_position,to_position,turnover,cost_fraction_of_day_start_equity,slippage_bps_per_side,commission_bps_per_side
SNDK,2026-08-31,trend_3,False,2026-08-31T09:50:00-04:00,2026-08-31T09:50:00-04:00,1523.625,0.0,1.0,1.0,0.0005,5.0,0.0
SNDK,2026-08-31,trend_3,False,2026-08-31T10:10:00-04:00,2026-08-31T10:10:00-04:00,1518.2850341796875,1.0,-1.0,2.0,0.0009959969754123209,5.0,0.0
SNDK,2026-08-31,trend_3,False,2026-08-31T10:30:00-04:00,2026-08-31T10:30:00-04:00,1513.8199462890625,-1.0,1.0,2.0,0.0009978702697767542,5.0,0.0
SNDK,2026-08-31,trend_3,False,2026-08-31T10:50:00-04:00,2026-08-31T10:50:00-04:00,1521.2349853515625,1.0,-1.0,2.0,0.001001755310318658,5.0,0.0
SNDK,2026-08-31,trend_3,False,2026-08-31T10:55:00-04:00,2026-08-31T10:55:00-04:00,1526.93505859375,-1.0,1.0,2.0,0.0009970037276536858,5.0,0.0
SNDK,2026-08-31,trend_3,False,2026-08-31T11:00:00-04:00,2026-08-31T11:00:00-04:00,1525.31005859375,1.0,-1.0,2.0,0.0009949467502766809,5.0,0.0
SNDK,2026-08-31,trend_3,False,2026-08-31T11:05:00-04:00,2026-08-31T11:05:00-04:00,1524.0,-1.0,1.0,2.0,0.0009948054890407997,5.0,0.0
SNDK,2026-08-31,trend_3,False,2026-08-31T11:30:00-04:00,2026-08-31T11:30:00-04:00,1532.010009765625,1.0,-1.0,2.0,0.000999034064969365,5.0,0.0
SNDK,2026-08-31,trend_3,False,2026-08-31T12:30:00-04:00,2026-08-31T12:30:00-04:00,1496.25,-1.0,1.0,2.0,0.0010217898637920207,5.0,0.0
SNDK,2026-08-31,trend_3,False,2026-08-31T12:55:00-04:00,2026-08-31T12:55:00-04:00,1502.25,1.0,-1.0,2.0,0.0010248613794878402,5.0,0.0
SNDK,2026-08-31,trend_3,False,2026-08-31T13:00:00-04:00,2026-08-31T13:00:00-04:00,1505.8199462890625,-1.0,1.0,2.0,0.0010214034734230952,5.0,0.0
SNDK,2026-08-31,trend_3,False,2026-08-31T13:15:00-04:00,2026-08-31T13:15:00-04:00,1504.25244140625,1.0,-1.0,2.0,0.0010193198885906577,5.0,0.0
SNDK,2026-08-31,trend_3,False,2026-08-31T13:45:00-04:00,2026-08-31T13:45:00-04:00,1500.486572265625,-1.0,1.0,2.0,0.0010208396514513453,5.0,0.0
SNDK,2026-08-31,trend_3,False,2026-08-31T14:45:00-04:00,2026-08-31T14:45:00-04:00,1504.800048828125,1.0,-1.0,2.0,0.0010227505038416646,5.0,0.0
SNDK,2026-08-31,trend_3,False,2026-08-31T15:30:00-04:00,2026-08-31T15:30:00-04:00,1475.989990234375,-1.0,1.0,2.0,0.0010412859740198573,5.0,0.0
SNDK,2026-08-31,trend_3,False,2026-08-31T16:00:00-04:00,,1569.6099853515625,1.0,0.0,1.0,0.0005531129819201539,5.0,0.0
SNDK,2026-08-31,trend_12,False,2026-08-31T10:35:00-04:00,2026-08-31T10:35:00-04:00,1520.489990234375,0.0,1.0,1.0,0.0005,5.0,0.0
SNDK,2026-08-31,trend_12,False,2026-08-31T10:50:00-04:00,2026-08-31T10:50:00-04:00,1521.2349853515625,1.0,-1.0,2.0,0.0009999897254335192,5.0,0.0
SNDK,2026-08-31,trend_12,False,2026-08-31T10:55:00-04:00,2026-08-31T10:55:00-04:00,1526.93505859375,-1.0,1.0,2.0,0.00099524651739102,5.0,0.0
SNDK,2026-08-31,trend_12,False,2026-08-31T11:00:00-04:00,2026-08-31T11:00:00-04:00,1525.31005859375,1.0,-1.0,2.0,0.000993193165418471,5.0,0.0
SNDK,2026-08-31,trend_12,False,2026-08-31T11:10:00-04:00,2026-08-31T11:10:00-04:00,1527.0,-1.0,1.0,2.0,0.000991097326081132,5.0,0.0
SNDK,2026-08-31,trend_12,False,2026-08-31T11:40:00-04:00,2026-08-31T11:40:00-04:00,1521.989990234375,1.0,-1.0,2.0,0.0009868577402972452,5.0,0.0
SNDK,2026-08-31,trend_12,False,2026-08-31T13:10:00-04:00,2026-08-31T13:10:00-04:00,1505.18994140625,-1.0,1.0,2.0,0.0009967910619181307,5.0,0.0
SNDK,2026-08-31,trend_12,False,2026-08-31T13:35:00-04:00,2026-08-31T13:35:00-04:00,1498.5899658203125,1.0,-1.0,2.0,0.000991427899745516,5.0,0.0
SNDK,2026-08-31,trend_12,False,2026-08-31T14:20:00-04:00,2026-08-31T14:20:00-04:00,1506.6099853515625,-1.0,1.0,2.0,0.000985151791615306,5.0,0.0
SNDK,2026-08-31,trend_12,False,2026-08-31T14:55:00-04:00,2026-08-31T14:55:00-04:00,1481.219970703125,1.0,-1.0,2.0,0.0009675810565310139,5.0,0.0
SNDK,2026-08-31,trend_12,False,2026-08-31T15:55:00-04:00,2026-08-31T15:55:00-04:00,1545.8199462890625,-1.0,1.0,2.0,0.000924701752280482,5.0,0.0
SNDK,2026-08-31,trend_12,False,2026-08-31T16:00:00-04:00,,1569.6099853515625,1.0,0.0,1.0,0.00046899695085074976,5.0,0.0
SNDK,2026-08-31,reversal_3,False,2026-08-31T09:50:00-04:00,2026-08-31T09:50:00-04:00,1523.625,0.0,-1.0,1.0,0.0005,5.0,0.0
SNDK,2026-08-31,reversal_3,False,2026-08-31T10:10:00-04:00,2026-08-31T10:10:00-04:00,1518.2850341796875,-1.0,1.0,2.0,0.0010029752237495089,5.0,0.0
SNDK,2026-08-31,reversal_3,False,2026-08-31T10:30:00-04:00,2026-08-31T10:30:00-04:00,1513.8199462890625,1.0,-1.0,2.0,0.0009990255724715812,5.0,0.0
SNDK,2026-08-31,reversal_3,False,2026-08-31T10:50:00-04:00,2026-08-31T10:50:00-04:00,1521.2349853515625,-1.0,1.0,2.0,0.0009930718450736585,5.0,0.0
SNDK,2026-08-31,reversal_3,False,2026-08-31T10:55:00-04:00,2026-08-31T10:55:00-04:00,1526.93505859375,1.0,-1.0,2.0,0.0009957960961431084,5.0,0.0
SNDK,2026-08-31,reversal_3,False,2026-08-31T11:00:00-04:00,2026-08-31T11:00:00-04:00,1525.31005859375,-1.0,1.0,2.0,0.0009958589897918094,5.0,0.0
SNDK,2026-08-31,reversal_3,False,2026-08-31T11:05:00-04:00,2026-08-31T11:05:00-04:00,1524.0,1.0,-1.0,2.0,0.0009940086625666782,5.0,0.0
SNDK,2026-08-31,reversal_3,False,2026-08-31T11:30:00-04:00,2026-08-31T11:30:00-04:00,1532.010009765625,-1.0,1.0,2.0,0.000987766866000373,5.0,0.0
SNDK,2026-08-31,reversal_3,False,2026-08-31T12:30:00-04:00,2026-08-31T12:30:00-04:00,1496.25,1.0,-1.0,2.0,0.0009637458095366379,5.0,0.0
SNDK,2026-08-31,reversal_3,False,2026-08-31T12:55:00-04:00,2026-08-31T12:55:00-04:00,1502.25,-1.0,1.0,2.0,0.0009589283019154878,5.0,0.0
SNDK,2026-08-31,reversal_3,False,2026-08-31T13:00:00-04:00,2026-08-31T13:00:00-04:00,1505.8199462890625,1.0,-1.0,2.0,0.000960245891643439,5.0,0.0
SNDK,2026-08-31,reversal_3,False,2026-08-31T13:15:00-04:00,2026-08-31T13:15:00-04:00,1504.25244140625,-1.0,1.0,2.0,0.0009602846209597522,5.0,0.0
SNDK,2026-08-31,reversal_3,False,2026-08-31T13:45:00-04:00,2026-08-31T13:45:00-04:00,1500.486572265625,1.0,-1.0,2.0,0.0009569226849838566,5.0,0.0
SNDK,2026-08-31,reversal_3,False,2026-08-31T14:45:00-04:00,2026-08-31T14:45:00-04:00,1504.800048828125,-1.0,1.0,2.0,0.0009532082520028899,5.0,0.0
SNDK,2026-08-31,reversal_3,False,2026-08-31T15:30:00-04:00,2026-08-31T15:30:00-04:00,1475.989990234375,1.0,-1.0,2.0,0.000934023702232775,5.0,0.0
SNDK,2026-08-31,reversal_3,False,2026-08-31T16:00:00-04:00,,1569.6099853515625,-1.0,0.0,1.0,0.00043797461918633685,5.0,0.0
SNDK,2026-08-31,ml_ridge,True,2026-08-31T09:35:00-04:00,2026-08-31T09:35:00-04:00,1516.385009765625,0.0,1.0,1.0,0.0005,5.0,0.0
SNDK,2026-08-31,ml_ridge,True,2026-08-31T13:25:00-04:00,2026-08-31T13:25:00-04:00,1502.0,1.0,-1.0,2.0,0.000990018359672413,5.0,0.0
SNDK,2026-08-31,ml_ridge,True,2026-08-31T13:35:00-04:00,2026-08-31T13:35:00-04:00,1498.5899658203125,-1.0,1.0,2.0,0.0009912732264111836,5.0,0.0
SNDK,2026-08-31,ml_ridge,True,2026-08-31T14:35:00-04:00,2026-08-31T14:35:00-04:00,1508.429931640625,1.0,-1.0,2.0,0.0009967842925798429,5.0,0.0
SNDK,2026-08-31,ml_ridge,True,2026-08-31T15:00:00-04:00,2026-08-31T15:00:00-04:00,1472.2099609375,-1.0,1.0,2.0,0.0010200487907377357,5.0,0.0
