ticker,date,selected_candidate,selection_data_cutoff,validation_start_date,validation_end_date,available_prior_sessions,selection_mode,selection_score,bar_data_start,bar_data_end,status,net_return,gross_return,cost_fraction_of_day_start_equity,slippage_cost_fraction,commission_cost_fraction,max_drawdown,trade_count,fill_count,turnover,exposed_bars,ml_model_train_sessions,ml_model_train_last_date
SNDK,2026-08-31,ml_ridge,2026-08-28T16:00:00-0400,2026-08-26,2026-08-28,25,fixed_external_daily_choices,,2026-08-31T09:30:00-04:00,2026-08-31T16:00:00-04:00,ok,0.08716306449973943,0.09480346409270801,0.007075079223198946,0.007075079223198946,0.0,-0.028560061472978293,7,8,14.0,77,25,2026-08-28
SNDK,2026-09-01,ml_ridge,2026-08-31T16:00:00-0400,2026-08-27,2026-08-31,26,fixed_external_daily_choices,,2026-09-01T09:30:00-04:00,2026-09-01T16:00:00-04:00,ok,-0.010875863489029802,6.98178204729949e-05,0.011053902874761736,0.011053902874761734,0.0,-0.0347405644595421,11,12,22.0,77,26,2026-08-31
SNDK,2026-09-02,ml_ridge,2026-09-01T16:00:00-0400,2026-08-28,2026-09-01,27,fixed_external_daily_choices,,2026-09-02T09:30:00-04:00,2026-09-02T16:00:00-04:00,ok,-0.04305539330809616,-0.028585980289768664,0.014467388570404475,0.014467388570404475,0.0,-0.06499470903540217,15,16,30.0,77,27,2026-09-01
SNDK,2026-09-03,trend_3,2026-09-02T16:00:00-0400,2026-08-31,2026-09-02,28,fixed_external_daily_choices,,2026-09-03T09:30:00-04:00,2026-09-03T16:00:00-04:00,ok,-0.031642261152674656,-0.011081580173291972,0.02045725398496271,0.02045725398496271,0.0,-0.0547535479182818,21,22,42.0,74,0,
SNDK,2026-09-04,flat,2026-09-03T16:00:00-0400,2026-09-01,2026-09-03,29,fixed_external_daily_choices,,2026-09-04T09:30:00-04:00,2026-09-04T16:00:00-04:00,ok,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,
SNDK,2026-09-08,flat,2026-09-04T16:00:00-0400,2026-09-02,2026-09-04,30,fixed_external_daily_choices,,2026-09-08T09:30:00-04:00,2026-09-08T16:00:00-04:00,ok,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,
SNDK,2026-09-09,ml_ridge,2026-09-08T16:00:00-0400,2026-09-03,2026-09-08,31,fixed_external_daily_choices,,2026-09-09T09:30:00-04:00,2026-09-09T16:00:00-04:00,ok,-0.0019208355925028897,0.011145221658128479,0.01320707401411461,0.01320707401411461,0.0,-0.04671129091404769,13,14,26.0,77,31,2026-09-08
SNDK,2026-09-10,ml_ridge,2026-09-09T16:00:00-0400,2026-09-04,2026-09-09,32,fixed_external_daily_choices,,2026-09-10T09:30:00-04:00,2026-09-10T16:00:00-04:00,ok,-0.012945655029040437,-0.004017834369732132,0.008845687562707113,0.008845687562707113,0.0,-0.027093024628914497,9,10,18.0,77,32,2026-09-09
SNDK,2026-09-11,trend_12,2026-09-10T16:00:00-0400,2026-09-08,2026-09-10,33,fixed_external_daily_choices,,2026-09-11T09:30:00-04:00,2026-09-11T16:00:00-04:00,ok,-0.038190356378111634,-0.018750939293608604,0.01948023077453214,0.01948023077453214,0.0,-0.04381178334924296,20,21,40.0,65,0,
TSLA,2026-08-31,trend_3,2026-08-28T16:00:00-0400,2026-08-26,2026-08-28,25,fixed_external_daily_choices,,2026-08-31T09:30:00-04:00,2026-08-31T16:00:00-04:00,ok,-0.051092487672516396,-0.027058853304979702,0.024490215775241506,0.024490215775241506,0.0,-0.06527243524750048,25,26,50.0,74,0,
