date,starting_equity,ending_equity,net_pnl,net_return,costs,gross_pnl,turnover_dollars,turnover_equity_multiple,fill_count,max_drawdown,max_gross_exposure,max_abs_net_exposure,max_symbol_exposure,min_cash,ending_cash,ending_gross_exposure,ending_net_exposure,AAPL_net_pnl,AAPL_costs,AAPL_fill_count,AMD_net_pnl,AMD_costs,AMD_fill_count,AMZN_net_pnl,AMZN_costs,AMZN_fill_count,AVGO_net_pnl,AVGO_costs,AVGO_fill_count,COIN_net_pnl,COIN_costs,COIN_fill_count,COST_net_pnl,COST_costs,COST_fill_count,CRM_net_pnl,CRM_costs,CRM_fill_count,GOOGL_net_pnl,GOOGL_costs,GOOGL_fill_count,HOOD_net_pnl,HOOD_costs,HOOD_fill_count,INTC_net_pnl,INTC_costs,INTC_fill_count,JNJ_net_pnl,JNJ_costs,JNJ_fill_count,JPM_net_pnl,JPM_costs,JPM_fill_count,MA_net_pnl,MA_costs,MA_fill_count,MARA_net_pnl,MARA_costs,MARA_fill_count,META_net_pnl,META_costs,META_fill_count,MSFT_net_pnl,MSFT_costs,MSFT_fill_count,MSTR_net_pnl,MSTR_costs,MSTR_fill_count,MU_net_pnl,MU_costs,MU_fill_count,NFLX_net_pnl,NFLX_costs,NFLX_fill_count,NVDA_net_pnl,NVDA_costs,NVDA_fill_count,ORCL_net_pnl,ORCL_costs,ORCL_fill_count,PG_net_pnl,PG_costs,PG_fill_count,PLTR_net_pnl,PLTR_costs,PLTR_fill_count,SMCI_net_pnl,SMCI_costs,SMCI_fill_count,SNDK_net_pnl,SNDK_costs,SNDK_fill_count,TSLA_net_pnl,TSLA_costs,TSLA_fill_count,TSM_net_pnl,TSM_costs,TSM_fill_count,UBER_net_pnl,UBER_costs,UBER_fill_count,UNH_net_pnl,UNH_costs,UNH_fill_count,V_net_pnl,V_costs,V_fill_count,WMT_net_pnl,WMT_costs,WMT_fill_count,XOM_net_pnl,XOM_costs,XOM_fill_count
2026-08-31,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
2026-09-01,100000.0,99522.14792399979,-477.85207600021386,-0.004778520760002139,82.39465565109253,-395.4574203491213,164789.31130218506,1.6478931130218506,76,-0.020649460869047953,0.8262650596196128,0.8262650596196128,0.6982789021481691,17366.319446552283,99522.14792399979,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,-274.1861128921737,69.69680930328369,13,0.0,0,0,-203.66596310805835,12.697846347808838,63,0.0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
2026-09-02,99522.14792399979,97859.63534724044,-1662.5125767593418,-0.01670495072141049,93.7063176040649,-1568.8062591552768,187412.63520812988,1.8831249035264772,42,-0.024968485465311052,0.9334913194605512,0.9334913194605512,0.697834214148856,6566.380325229649,97859.63534724044,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,-1893.5318638610333,68.51160018920898,18,0.0,0,0,0.0,0.0,0,239.38852519988723,20.535562324523923,20,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,-8.369238098144706,4.659155090332032,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
2026-09-03,97859.63534724044,101453.79822346495,3594.162876224509,0.03672773624662665,94.59778203964225,3688.7606582641515,189195.56407928467,1.933336082930947,102,-0.012581476194746477,0.9343230695874858,0.762620610750242,0.6836900552779286,23221.00606201934,101453.79822346495,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,27.418280838012947,1.3887565155029298,5,0.0,0,0,0.0,0,0,-7.876580871583428,8.23253790283203,32,0.0,0,0,3688.01108855056,68.24709778976441,53,0.0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,-113.38991229247767,16.729389831542967,12,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
2026-09-04,101453.79822346495,101684.47801009365,230.67978662869427,0.0022737422419670536,177.62120824432338,408.3009948730177,355242.41648864746,3.501519141808576,184,-0.014232328071475897,0.9493039352745785,0.5724388582518897,0.7015359790737058,43890.29536531449,101684.47801009365,0.0,0.0,0.0,0,0,-188.586307159419,21.152042022705075,46,0.0,0,0,-3.873276245117154,0.3567967529296875,2,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,717.2518351517001,71.35401506805425,28,321.7900857925197,41.86735439300537,59,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,-5.542748657226298,2.9975826416015625,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,-60.82695191192511,4.755830696105956,21,0.0,0,0,-549.5328503417918,35.13758666992187,24,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
2026-09-08,101684.47801009365,100385.35847515104,-1299.1195349426125,-0.012775986663506855,97.02676150512679,-1202.0927734374857,194053.5230102539,1.9083888397498712,80,-0.019080980290850036,0.9542569597266986,0.5258541748621406,0.5349748703138858,100385.35847515104,100385.35847515104,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,137.0639854888866,54.82074961853029,53,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,-1436.1835204315003,42.20601188659667,27,0.0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
2026-09-09,100385.35847515104,100039.43573741146,-345.92273773957277,-0.0034459481242496235,32.97661652374234,-312.94612121583043,65953.23304748535,0.6570005232766204,73,-0.003752152726798741,0.292915487726007,0.15504054735540673,0.2130819050756213,91615.79230487059,100039.43573741146,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,-297.7569221878041,8.620615425109863,56,-13.099557128905758,3.06537744140625,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,-35.06625842284848,21.29062365722656,13,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
2026-09-10,100039.43573741146,100039.43573741146,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,100039.43573741146,100039.43573741146,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
2026-09-11,100039.43573741146,99788.26630238717,-251.16943502429058,-0.0025107042355134103,35.48308706283569,-215.68634796145489,70966.17412567139,0.7093819912374053,78,-0.005020880786864135,0.3501070768249543,0.3501070768249543,0.1823399187095226,65172.279067916854,99788.26630238717,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,86.22242914581875,18.291776786804203,28,0.0,0,0,-337.3918641700693,17.191310276031494,50,0.0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
