candidate,net_pnl,delta,costs,max_drawdown,earlier_net_pnl,earlier_delta
incremental_equal,4221.73243400584,-480.4015875549958,890.6332276153564,-0.03875238267241987,-3965.6347787475243,-4561.459012870982
incremental_control,4702.134021560836,0.0,4214.749279220579,-0.03584365890876384,595.8242341234582,0.0
incremental_slot,2858.147097938694,-1843.986923622142,4937.968945152284,-0.03293768428607169,-4514.853931960839,-5110.678166084297
incremental_gap,3328.2989764715458,-1373.8350450892904,4222.811649749755,-0.03263273910337994,-1176.5512378766289,-1772.375472000087
incremental_range,-875.7498854518635,-5577.8839070127,4682.755317581177,-0.05878343874163028,-3249.3820188289974,-3845.2062529524555
incremental_all,-846.6485035164224,-5548.7825250772585,4639.61519358063,-0.057484819758711,-4237.768900825147,-4833.593134948605
