Datetime,bars,volume,positive_volume_bars
2026-07-27,65,0,0
2026-07-28,65,0,0
2026-07-29,65,0,0
2026-07-30,65,0,0
2026-07-31,65,0,0
2026-08-03,65,0,0
2026-08-04,65,0,0
2026-08-05,65,0,0
2026-08-06,65,0,0
2026-08-07,65,0,0
2026-08-10,65,0,0
2026-08-11,65,0,0
2026-08-12,65,0,0
2026-08-13,65,0,0
2026-08-14,65,0,0
2026-08-17,65,0,0
2026-08-18,65,0,0
2026-08-19,65,0,0
2026-08-20,65,0,0
2026-08-21,65,0,0
2026-08-24,65,0,0
2026-08-25,65,0,0
2026-08-26,65,0,0
2026-08-27,65,0,0
2026-08-28,65,0,0
2026-08-31,65,0,0
2026-09-01,65,0,0
2026-09-02,65,0,0
2026-09-03,65,0,0
2026-09-04,65,0,0
2026-09-08,65,0,0
2026-09-09,65,0,0
2026-09-10,65,0,0
2026-09-11,65,0,0
