candidate,start,end,sessions,starting_equity,ending_equity,net_pnl,net_return,gross_pnl,costs,turnover_dollars,fill_count,max_drawdown,max_gross_exposure,max_symbol_exposure,profitable_sessions,improvement,first_five,last_four,daily_difference_standard_error
four_tree_control,2026-08-31,2026-09-11,9,100000.0,111758.86043419303,11758.860434193033,0.1175886043419303,15917.425544739146,4158.565110546111,8317130.221092224,900,-0.02529975746090607,0.9585273074213467,0.7078581312019243,6,0.0,7417.355480144761,4341.504954048272,0.0
largecap_four_tree,2026-08-31,2026-09-11,9,100000.0,111758.86043419303,11758.860434193033,0.1175886043419303,15917.425544739146,4158.565110546111,8317130.221092224,900,-0.02529975746090607,0.9585273074213467,0.7078581312019243,6,0.0,7417.355480144761,4341.504954048272,0.0
largecap_equal,2026-08-31,2026-09-11,9,100000.0,100405.3819127656,405.38191276560246,0.004053819127656011,1222.0796051026384,816.697692337036,1633395.3846740723,522,-0.019353547612129263,0.9048190124306742,0.0353518732367099,4,-11353.47852142743,2234.3608056946396,-1828.978892929037,706.6072522887381
largecap_tree,2026-08-31,2026-09-11,9,100000.0,90982.02570599895,-9017.974294001047,-0.09017974294001052,2461.2509078994335,11479.22520190048,22958450.403800964,1819,-0.091891448906127,0.9576489311167448,0.7089563216102039,3,-20776.83472819408,-2994.792508261802,-6023.181785739245,795.8610833083352
largecap_calibrated,2026-08-31,2026-09-11,9,100000.0,99788.26630238717,-211.7336976128281,-0.002117336976128259,402.0727310180001,613.8064286308279,1227612.8572616577,635,-0.03776032182592215,0.9542569597266986,0.7015359790737058,2,-11970.594131805861,1684.4780100936478,-1896.2117077064756,600.3362706912727
largecap_integrated,2026-08-31,2026-09-11,9,100000.0,98947.08128196721,-1052.9187180327863,-0.010529187180327915,-491.3267974853012,561.5919205474847,1123183.8410949707,659,-0.03680171894871309,0.9502134395314832,0.6997483266261997,2,-12811.77915222582,665.763389717089,-1718.6821077498753,613.7117880781781
largecap_integrated_25pct,2026-08-31,2026-09-11,9,100000.0,99653.71991839231,-346.2800816076924,-0.003462800816076972,109.05689239514595,455.33697400283825,910673.9480056763,880,-0.018636400097823858,0.9366457317886385,0.25201263559771725,1,-12105.140515800726,985.5838370972342,-1331.8639187049266,665.82596954068
