day,symbol,eligible,reason,last_price,adv,history_start,history_end,sessions,dollar_volume_method,instrument_admitted,market_cap,metadata_known_at,membership_basis
2026-08-31,SNDK,True,admitted,1485.469970703125,18354765429.57018,2026-08-03,2026-08-28,20,sum_5min_close_times_volume_proxy,True,239153479680,2026-09-13T19:07:20.750549+00:00,contemporary_selected_panel_not_historical_proof
2026-08-31,TSLA,True,admitted,348.760009765625,10097269044.42464,2026-08-03,2026-08-28,20,sum_5min_close_times_volume_proxy,True,1443322658816,2026-09-13T19:07:20.861480+00:00,contemporary_selected_panel_not_historical_proof
2026-08-31,TSM,True,admitted,417.55999755859375,3707995093.221982,2026-08-03,2026-08-28,20,sum_5min_close_times_volume_proxy,True,2246988005376,2026-09-13T19:07:20.932748+00:00,contemporary_selected_panel_not_historical_proof
2026-08-31,UBER,True,admitted,78.79499816894531,1240795790.2992408,2026-08-03,2026-08-28,20,sum_5min_close_times_volume_proxy,True,146390286336,2026-09-13T19:07:20.959860+00:00,contemporary_selected_panel_not_historical_proof
2026-08-31,UNH,True,admitted,392.9599914550781,1208838366.2145889,2026-08-03,2026-08-28,20,sum_5min_close_times_volume_proxy,True,340269203456,2026-09-13T19:07:21.027665+00:00,contemporary_selected_panel_not_historical_proof
2026-08-31,V,True,admitted,381.5799865722656,1452564769.9907546,2026-08-03,2026-08-28,20,sum_5min_close_times_volume_proxy,True,691647676416,2026-09-13T19:07:21.073699+00:00,contemporary_selected_panel_not_historical_proof
2026-08-31,WMT,True,admitted,103.11000061035156,2317380959.8741393,2026-08-03,2026-08-28,20,sum_5min_close_times_volume_proxy,True,852708163584,2026-09-13T19:07:21.142965+00:00,contemporary_selected_panel_not_historical_proof
2026-08-31,XOM,True,admitted,156.69000244140625,1589372016.6606407,2026-08-03,2026-08-28,20,sum_5min_close_times_volume_proxy,True,682536271872,2026-09-13T19:07:21.171450+00:00,contemporary_selected_panel_not_historical_proof
2026-09-01,AAPL,True,admitted,317.2300109863281,9308125417.46295,2026-08-04,2026-08-31,20,sum_5min_close_times_volume_proxy,True,4849207869440,2026-09-13T19:07:19.364156+00:00,contemporary_selected_panel_not_historical_proof
2026-09-01,AMD,True,admitted,469.95001220703125,9038827768.560463,2026-08-04,2026-08-31,20,sum_5min_close_times_volume_proxy,True,842569351168,2026-09-13T19:07:19.365309+00:00,contemporary_selected_panel_not_historical_proof
