candidate,window,start,end,sessions,starting_equity,ending_equity,net_pnl,net_return,gross_pnl,costs,turnover_dollars,fill_count,max_drawdown,max_gross_exposure,max_symbol_exposure,profitable_sessions
frozen_price_volume_h1_g50,validation,2026-08-24,2026-08-28,5,100000.0,100993.68733199962,993.687331999623,0.009936873319996264,3365.4710006718033,2371.7836686721807,11858918.3433609,855,-0.03531432035822457,0.956332043231555,0.7036603699286246,2
frozen_price_volume_h1_g50,evaluation_retrospective,2026-08-31,2026-09-11,9,100000.0,104102.0487855257,4102.048785525694,0.041020487855256915,7593.741149902525,3491.6923643768305,17458461.821884155,1326,-0.02886409812190438,0.9590156154670525,0.7048854560683943,4
exploratory_price_volume_peer_h1_g50,validation,2026-08-24,2026-08-28,5,100000.0,101596.80661127664,1596.8066112766392,0.015968066112766355,4217.8681030277385,2621.0614917510998,13105307.458755493,909,-0.0341707799772788,0.9574695154581718,0.7028087676483316,3
exploratory_price_volume_peer_h1_g50,evaluation_retrospective,2026-08-31,2026-09-11,9,100000.0,105654.15995424728,5654.159954247283,0.05654159954247273,9402.254402161407,3748.094447914124,18740472.239570618,1361,-0.034304422904775755,0.959175164899639,0.7026427085403059,5
