date,hour,symbol,direction,gross_pnl,costs,net_pnl
2026-09-03,11,SOXX,short,19.000244140625,0.0,19.000244140625
2026-09-03,11,SOXX,short,-1.71002197265625,0.0,-1.71002197265625
2026-09-03,11,SOXX,short,-1.2601318359375,0.0,-1.2601318359375
2026-09-04,12,SOXX,short,-6.301025390625,0.0,-6.301025390625
2026-09-04,12,SOXX,short,-1.960205078125,0.0,-1.960205078125
2026-09-04,12,SOXX,short,7.0966796875,0.0,7.0966796875
2026-09-04,12,SOXX,short,-1.5064697265625,0.0,-1.5064697265625
2026-09-04,12,SOXX,short,-6.87884521484375,0.0,-6.87884521484375
2026-09-04,12,SOXX,short,3.01031494140625,0.0,3.01031494140625
2026-09-04,12,SOXX,short,-33.11083984375,0.0,-33.11083984375
2026-09-04,12,SOXX,short,-1.07342529296875,0.0,-1.07342529296875
2026-09-04,12,SOXX,short,12.37335205078125,0.0,12.37335205078125
2026-09-04,12,SOXX,short,1.50146484375,0.0,1.50146484375
2026-09-04,13,SOXX,short,-7.87811279296875,0.0,-7.87811279296875
2026-09-04,13,SOXX,short,-1.87225341796875,0.0,-1.87225341796875
2026-09-04,13,SOXX,short,65.625,0.0,65.625
2026-09-04,13,SOXX,short,1.87225341796875,0.0,1.87225341796875
2026-09-04,13,SOXX,short,45.7489013671875,0.0,45.7489013671875
2026-09-04,13,SOXX,short,-0.74615478515625,0.0,-0.74615478515625
2026-09-04,13,SOXX,short,9.620361328125,0.0,9.620361328125
2026-09-04,13,SOXX,short,2.2176513671875,0.0,2.2176513671875
2026-09-04,13,SOXX,short,4.4398193359375,0.0,4.4398193359375
2026-09-04,13,SOXX,short,42.1805419921875,0.0,42.1805419921875
2026-09-04,13,SOXX,short,1.851806640625,0.0,1.851806640625
2026-09-04,13,SOXX,short,27.7188720703125,0.0,27.7188720703125
2026-09-04,13,SOXX,short,3.6295166015625,0.0,3.6295166015625
2026-09-04,13,SOXX,short,15.83935546875,0.0,15.83935546875
2026-09-04,13,SOXX,short,-30.357421875,0.0,-30.357421875
