strategy,date,fill_time,signal_data_cutoff,symbol,quantity,side,reference_price,fill_price,slippage_cost,commission_cost,cost,notional,shares_after,cash_after,equity_after,gross_exposure_after,net_exposure_after,reason
deployed_frozen,2026-09-14,2026-09-14T09:35:00-04:00,2026-09-14T09:35:00-04:00,SNDK,-7,sell,1519.0,1518.2405,5.3165,0.0,5.3165,10633.0,-7,90326.26895449829,46984.74924014282,0.9224593174443368,-0.9224593174443368,policy_rebalance
deployed_frozen,2026-09-14,2026-09-14T09:40:00-04:00,2026-09-14T09:40:00-04:00,SNDK,4,buy,1513.1199951171875,1513.876555114746,3.026239990234375,0.0,3.026239990234375,6052.47998046875,-3,58308.30746398925,47072.30734191894,0.2386966086122658,-0.2386966086122658,policy_rebalance
deployed_frozen,2026-09-14,2026-09-14T09:45:00-04:00,2026-09-14T09:45:00-04:00,SNDK,1,buy,1518.7099609375,1519.4693159179687,0.75935498046875,0.0,0.75935498046875,1518.7099609375,-2,89687.08190835571,47016.710967193605,0.9075575484413574,-0.9075575484413574,policy_rebalance
deployed_frozen,2026-09-14,2026-09-14T09:50:00-04:00,2026-09-14T09:50:00-04:00,SNDK,2,buy,1546.699951171875,1547.473301147461,1.546699951171875,0.0,1.546699951171875,3093.39990234375,0,21505.776892761227,46784.68576727295,0.8474565567400016,0.5403244343728166,policy_rebalance
deployed_frozen,2026-09-14,2026-09-14T09:50:00-04:00,2026-09-14T09:50:00-04:00,SNDK,3,buy,1546.699951171875,1547.473301147461,2.3200499267578123,0.0,2.3200499267578123,4640.099853515625,3,16863.356989318843,46782.36571734618,0.9466833898395688,0.6395360360524444,policy_rebalance
deployed_frozen,2026-09-14,2026-09-14T09:55:00-04:00,2026-09-14T09:55:00-04:00,SNDK,-1,sell,1524.7900390625,1524.0276440429689,0.76239501953125,0.0,0.76239501953125,1524.7900390625,2,18387.384633361813,46837.53499346924,0.913278425979508,0.607422025178617,policy_rebalance
deployed_frozen,2026-09-14,2026-09-14T10:05:00-04:00,2026-09-14T10:05:00-04:00,SNDK,-2,sell,1545.6500244140625,1544.8771994018557,1.5456500244140623,0.0,1.5456500244140623,3091.300048828125,0,7355.191709907531,46718.7372268753,0.8425644153396252,0.8425644153396252,policy_rebalance
deployed_frozen,2026-09-14,2026-09-14T10:05:00-04:00,2026-09-14T10:05:00-04:00,SNDK,-3,sell,1545.6500244140625,1544.8771994018557,2.3184750366210936,0.0,2.3184750366210936,4636.950073242188,-3,11989.823308113097,46716.41875183868,0.9418636266607696,0.7433488347682645,policy_rebalance
deployed_frozen,2026-09-14,2026-09-14T10:10:00-04:00,2026-09-14T10:10:00-04:00,SNDK,3,buy,1553.205078125,1553.9816806640624,2.3298076171875,0.0,2.3298076171875,4659.615234375,0,14294.653176383972,46777.45438488007,0.6944114774017192,0.6944114774017192,policy_rebalance
deployed_frozen,2026-09-14,2026-09-14T10:10:00-04:00,2026-09-14T10:10:00-04:00,SNDK,7,buy,1553.205078125,1553.9816806640624,5.4362177734375,0.0,5.4362177734375,10872.435546875,7,3839.01019417572,46771.80694710541,0.9359842951400404,0.9179204216224256,policy_rebalance
deployed_frozen,2026-09-14,2026-09-14T10:15:00-04:00,2026-09-14T10:15:00-04:00,SNDK,-1,sell,1558.18994140625,1557.410846435547,0.779094970703125,0.0,0.779094970703125,1558.18994140625,6,5396.421040611267,46795.61046321869,0.9027532500728652,0.8846810419354856,policy_rebalance
deployed_frozen,2026-09-14,2026-09-14T10:30:00-04:00,2026-09-14T10:30:00-04:00,SNDK,-4,sell,1556.3699951171875,1555.591810119629,3.112739990234375,0.0,3.112739990234375,6225.47998046875,2,78227.22698146058,46570.46732264711,0.8134391131793557,-0.6797604035083168,policy_rebalance
deployed_frozen,2026-09-14,2026-09-14T10:35:00-04:00,2026-09-14T10:35:00-04:00,SNDK,-2,sell,1553.39501953125,1552.6183220214846,1.55339501953125,0.0,1.55339501953125,3106.7900390625,0,71801.666749321,46499.21627935029,0.8529703002238403,-0.5441478909657924,policy_rebalance
deployed_frozen,2026-09-14,2026-09-14T10:35:00-04:00,2026-09-14T10:35:00-04:00,SNDK,-6,sell,1553.39501953125,1552.6183220214846,4.66018505859375,0.0,4.66018505859375,9320.3701171875,-6,76263.67597372438,46492.13045675661,0.9492261396370194,-0.6403566630412638,policy_rebalance
deployed_frozen,2026-09-14,2026-09-14T10:40:00-04:00,2026-09-14T10:40:00-04:00,SNDK,-1,sell,1548.9599609375,1548.1854809570314,0.77447998046875,0.0,0.77447998046875,1548.9599609375,-7,75075.1637420502,46568.06382749941,0.91983855204942,-0.6121598703383657,policy_rebalance
deployed_frozen,2026-09-14,2026-09-14T10:50:00-04:00,2026-09-14T10:50:00-04:00,SNDK,6,buy,1546.630126953125,1547.4034420166015,4.639890380859375,0.0,4.639890380859375,9279.78076171875,-1,64714.07505059817,46552.05411553958,0.7450747707346631,-0.3901443508804462,policy_rebalance
deployed_frozen,2026-09-14,2026-09-14T11:00:00-04:00,2026-09-14T11:00:00-04:00,SNDK,-5,sell,1543.6700439453125,1542.89820892334,3.859175109863281,0.0,3.859175109863281,7718.350219726562,-6,44914.58532803348,46552.04415982059,0.7043535972210518,0.0351747997610041,policy_rebalance
deployed_frozen,2026-09-14,2026-09-14T11:05:00-04:00,2026-09-14T11:05:00-04:00,SNDK,4,buy,1532.7850341796875,1533.5514266967773,3.065570068359375,0.0,3.065570068359375,6131.14013671875,-2,29093.068781951933,46606.38817892459,0.7781214358056441,0.3757707919725085,policy_rebalance
deployed_frozen,2026-09-14,2026-09-14T11:20:00-04:00,2026-09-14T11:20:00-04:00,SNDK,2,buy,1531.5999755859375,1532.3657755737304,1.5315999755859375,0.0,1.5315999755859375,3063.199951171875,0,22479.745765480075,46647.945457252536,0.8530399196910342,0.5180978380691992,policy_rebalance
deployed_frozen,2026-09-14,2026-09-14T11:20:00-04:00,2026-09-14T11:20:00-04:00,SNDK,2,buy,1531.5999755859375,1532.3657755737304,1.5315999755859375,0.0,1.5315999755859375,3063.199951171875,2,19415.014214332616,46646.41385727695,0.9187364269609918,0.5837833477673905,policy_rebalance
deployed_frozen,2026-09-14,2026-09-14T11:25:00-04:00,2026-09-14T11:25:00-04:00,SNDK,5,buy,1529.8199462890625,1530.584856262207,3.824549865722656,0.0,3.824549865722656,7649.099731445312,7,32646.722959144627,46706.90308914951,0.635739425215902,0.3010300234029262,policy_rebalance
deployed_frozen,2026-09-14,2026-09-14T11:40:00-04:00,2026-09-14T11:40:00-04:00,SNDK,1,buy,1542.5899658203125,1543.3612608032226,0.7712949829101563,0.0,0.7712949829101563,1542.5899658203125,8,66317.09097040561,46743.131162056,0.9467786637579636,-0.4187558539989054,policy_rebalance
deployed_frozen,2026-09-14,2026-09-14T11:50:00-04:00,2026-09-14T11:50:00-04:00,SNDK,-1,sell,1533.4649658203125,1532.6982333374024,0.7667324829101563,0.0,0.7667324829101563,1533.4649658203125,7,67849.78920374301,46621.434360603365,0.9158204793609754,-0.4553346574226876,policy_rebalance
deployed_frozen,2026-09-14,2026-09-14T12:00:00-04:00,2026-09-14T12:00:00-04:00,SNDK,-5,sell,1535.2239990234375,1534.4563870239258,3.838059997558594,0.0,3.838059997558594,7676.1199951171875,2,75522.07113886264,46653.909883979824,0.7503992127999135,-0.6187726029109439,policy_rebalance
deployed_frozen,2026-09-14,2026-09-14T12:05:00-04:00,2026-09-14T12:05:00-04:00,SNDK,1,buy,1531.77001953125,1532.5359045410155,0.765885009765625,0.0,0.765885009765625,1531.77001953125,3,81380.8213139725,46599.98116504672,0.9435939493274944,-0.746370261947957,policy_rebalance
deployed_frozen,2026-09-14,2026-09-14T12:40:00-04:00,2026-09-14T12:40:00-04:00,SNDK,-2,sell,1545.925048828125,1545.152086303711,1.545925048828125,0.0,1.545925048828125,3091.85009765625,1,72528.96354630282,46707.91444351962,0.6190149901769143,-0.5528195683839976,policy_rebalance
deployed_frozen,2026-09-14,2026-09-14T13:00:00-04:00,2026-09-14T13:00:00-04:00,SNDK,-1,sell,1554.5999755859375,1553.8226755981443,0.7772999877929687,0.0,0.7772999877929687,1554.5999755859375,0,74082.78622190097,46688.6339697037,0.5867413527235206,-0.5867413527235206,policy_rebalance
deployed_frozen,2026-09-14,2026-09-14T13:25:00-04:00,2026-09-14T13:25:00-04:00,SNDK,-1,sell,1570.943359375,1570.1578876953126,0.7854716796875,0.0,0.7854716796875,1570.943359375,-1,50980.414424842864,46669.520839637786,0.6210626010033211,-0.0923706416446365,policy_rebalance
deployed_frozen,2026-09-14,2026-09-14T13:30:00-04:00,2026-09-14T13:30:00-04:00,SNDK,-6,sell,1571.199951171875,1570.414351196289,4.713599853515625,0.0,4.713599853515625,9427.19970703125,-7,60402.9005320206,46647.85063578036,0.8238220706072539,-0.2948699609685699,policy_rebalance
deployed_frozen,2026-09-14,2026-09-14T13:35:00-04:00,2026-09-14T13:35:00-04:00,SNDK,3,buy,1568.8699951171875,1569.654430114746,2.353304992675781,0.0,2.353304992675781,4706.6099853515625,-4,55693.93724167636,46664.69726670077,0.72185960049053,-0.1934918793830623,policy_rebalance
deployed_frozen,2026-09-14,2026-09-14T13:40:00-04:00,2026-09-14T13:40:00-04:00,SNDK,-2,sell,1570.77001953125,1569.9846345214844,1.57077001953125,0.0,1.57077001953125,3141.5400390625,-6,58833.90651071933,46660.335999855066,0.7896426351707868,-0.2608976178590328,policy_rebalance
deployed_frozen,2026-09-14,2026-09-14T14:00:00-04:00,2026-09-14T14:00:00-04:00,SNDK,1,buy,1578.5250244140625,1579.3142869262697,0.7892625122070313,0.0,0.7892625122070313,1578.5250244140625,-5,57254.59222379306,46596.990676551846,0.7573726956287896,-0.228718666001842,policy_rebalance
deployed_frozen,2026-09-14,2026-09-14T14:15:00-04:00,2026-09-14T14:15:00-04:00,SNDK,4,buy,1572.81005859375,1573.5964636230467,3.1456201171875,0.0,3.1456201171875,6291.240234375,-1,51321.47065412143,46591.68536054232,0.6135248286421895,-0.1015156514940039,policy_rebalance
deployed_frozen,2026-09-14,2026-09-14T14:20:00-04:00,2026-09-14T14:20:00-04:00,SNDK,1,buy,1570.0,1570.785,0.785,0.0,0.785,1570.0,0,49750.68565412142,46597.83136029818,0.5790785603485783,-0.0676609662249111,policy_rebalance
deployed_frozen,2026-09-14,2026-09-14T14:40:00-04:00,2026-09-14T14:40:00-04:00,SNDK,5,buy,1564.550048828125,1565.332323852539,3.911375122070313,0.0,3.911375122070313,7822.750244140625,5,41924.024034858725,46570.71939313509,0.7474573049012949,0.099777186584782,policy_rebalance
deployed_frozen,2026-09-14,2026-09-14T15:20:00-04:00,2026-09-14T15:20:00-04:00,SNDK,-4,sell,1562.1300048828125,1561.3489398803713,3.124260009765625,0.0,3.124260009765625,6248.52001953125,1,48169.41979438021,46527.67417365268,0.6125514651686803,-0.0352853575831051,policy_rebalance
deployed_frozen,2026-09-14,2026-09-14T15:30:00-04:00,2026-09-14T15:30:00-04:00,SNDK,6,buy,1558.9200439453125,1559.6995039672852,4.6767601318359375,0.0,4.6767601318359375,9353.520263671877,7,50695.01334597018,46548.35322023776,0.5579475737430639,-0.0890828533957584,policy_rebalance
deployed_frozen,2026-09-14,2026-09-14T15:40:00-04:00,2026-09-14T15:40:00-04:00,SNDK,-3,sell,1559.7899169921875,1559.0100220336917,2.339684875488281,0.0,2.339684875488281,4679.3697509765625,4,58613.077205360445,46569.4822651749,0.5265661777490013,-0.2586156073543437,policy_rebalance
deployed_frozen,2026-09-14,2026-09-14T15:55:00-04:00,,SNDK,-4,sell,1553.010009765625,1552.2335047607423,3.10602001953125,0.0,3.10602001953125,6212.0400390625,0,64822.01122440342,46555.91071475986,0.3923476144964029,-0.3923476144964029,scheduled_1555_liquidation
calibrated_legacy_curve,2026-09-14,2026-09-14T10:10:00-04:00,2026-09-14T10:10:00-04:00,SNDK,1,buy,1553.205078125,1553.9816806640624,0.7766025390625,0.0,0.7766025390625,1553.205078125,1,74162.20917353823,47200.71408686831,0.63702225325623,-0.5712094744382452,policy_rebalance
calibrated_legacy_curve,2026-09-14,2026-09-14T10:25:00-04:00,2026-09-14T10:25:00-04:00,SNDK,2,buy,1557.844970703125,1558.6238931884766,1.557844970703125,0.0,1.557844970703125,3115.68994140625,3,81516.64904546356,47409.99395513153,0.916552002847228,-0.7193980054629476,policy_rebalance
calibrated_legacy_curve,2026-09-14,2026-09-14T10:30:00-04:00,2026-09-14T10:30:00-04:00,SNDK,-1,sell,1556.3699951171875,1555.591810119629,0.7781849975585937,0.0,0.7781849975585937,1556.3699951171875,2,83072.2408555832,47358.90943468476,0.8855527270788885,-0.7540995315813307,policy_rebalance
calibrated_legacy_curve,2026-09-14,2026-09-14T10:35:00-04:00,2026-09-14T10:35:00-04:00,SNDK,-1,sell,1553.39501953125,1552.6183220214846,0.776697509765625,0.0,0.776697509765625,1553.39501953125,1,79586.83950403595,47267.359050544736,0.7494869864565754,-0.6837589639592683,policy_rebalance
calibrated_legacy_curve,2026-09-14,2026-09-14T10:45:00-04:00,2026-09-14T10:45:00-04:00,SNDK,-1,sell,1555.6650390625,1554.887206542969,0.77783251953125,0.0,0.77783251953125,1555.6650390625,0,84260.63742928315,47324.567452476505,0.7804840480348387,-0.7804840480348387,policy_rebalance
calibrated_legacy_curve,2026-09-14,2026-09-14T10:50:00-04:00,2026-09-14T10:50:00-04:00,SNDK,3,buy,1546.630126953125,1547.4034420166015,2.319945190429688,0.0,2.319945190429688,4639.890380859375,3,79407.50168590547,47262.92607860567,0.876466181973654,-0.6801224188667102,policy_rebalance
calibrated_legacy_curve,2026-09-14,2026-09-14T11:05:00-04:00,2026-09-14T11:05:00-04:00,SNDK,1,buy,1532.7850341796875,1533.5514266967773,0.7663925170898438,0.0,0.7663925170898438,1532.7850341796875,4,79226.55480960847,47280.92254642488,0.9350052866082212,-0.6756558574299466,policy_rebalance
calibrated_legacy_curve,2026-09-14,2026-09-14T11:10:00-04:00,2026-09-14T11:10:00-04:00,SNDK,-1,sell,1532.989990234375,1532.223495239258,0.7664949951171875,0.0,0.7664949951171875,1532.989990234375,3,80758.77830484773,47165.66741922761,0.9072499800900118,-0.7122365212609185,policy_rebalance
