feature,horizon_minutes,rows,pearson,spearman,min_time,max_time
momentum_1,5,75,-0.1388546034000804,0.05300142247510668,2026-09-14T09:50:00-04:00,2026-09-14T09:45:00-04:00
momentum_1,15,73,-0.0025575914767683406,0.15216586449463165,2026-09-14T09:50:00-04:00,2026-09-14T09:45:00-04:00
momentum_1,30,70,-0.0006385606449590012,0.09614206981016535,2026-09-14T09:50:00-04:00,2026-09-14T09:45:00-04:00
momentum_1,60,64,-0.050431147240935406,-0.02234432234432234,2026-09-14T09:50:00-04:00,2026-09-14T09:45:00-04:00
SPY_return_1,5,75,-0.05748104424716984,-0.05610281723340502,2026-09-14T10:20:00-04:00,2026-09-14T11:30:00-04:00
SPY_return_1,15,73,0.018793386322498964,0.0351721584598297,2026-09-14T10:20:00-04:00,2026-09-14T11:30:00-04:00
SPY_return_1,30,70,0.12376767370141767,0.03861429446242673,2026-09-14T10:20:00-04:00,2026-09-14T11:30:00-04:00
SPY_return_1,60,64,0.17507646722629788,0.09995421245421245,2026-09-14T10:20:00-04:00,2026-09-14T11:30:00-04:00
SPY_relative_1,5,75,-0.13724094848858298,0.05274537695590327,2026-09-14T09:50:00-04:00,2026-09-14T09:45:00-04:00
SPY_relative_1,15,73,-0.005257920880378365,0.14753794890781194,2026-09-14T09:50:00-04:00,2026-09-14T09:45:00-04:00
SPY_relative_1,30,70,-0.01766912912094587,0.06919779546846296,2026-09-14T09:50:00-04:00,2026-09-14T09:45:00-04:00
SPY_relative_1,60,64,-0.07680808295093798,-0.06652930402930403,2026-09-14T09:50:00-04:00,2026-09-14T09:45:00-04:00
QQQ_return_1,5,75,-0.09203349745073945,-0.0343954480796586,2026-09-14T10:35:00-04:00,2026-09-14T11:30:00-04:00
QQQ_return_1,15,73,-0.02738124527652699,0.04313217326915958,2026-09-14T10:35:00-04:00,2026-09-14T11:30:00-04:00
QQQ_return_1,30,70,0.09245487416577414,0.024757239086694076,2026-09-14T10:35:00-04:00,2026-09-14T11:30:00-04:00
QQQ_return_1,60,64,0.07964988298256252,0.013919413919413919,2026-09-14T10:35:00-04:00,2026-09-14T11:30:00-04:00
QQQ_relative_1,5,75,-0.13397641171790167,0.06330014224751067,2026-09-14T09:50:00-04:00,2026-09-14T09:45:00-04:00
QQQ_relative_1,15,73,0.003320584472495872,0.14278662223867705,2026-09-14T09:50:00-04:00,2026-09-14T09:45:00-04:00
QQQ_relative_1,30,70,-0.021486557207729934,0.06387892572828273,2026-09-14T09:50:00-04:00,2026-09-14T09:45:00-04:00
QQQ_relative_1,60,64,-0.07401810635943327,-0.05453296703296703,2026-09-14T09:50:00-04:00,2026-09-14T09:45:00-04:00
SOXX_return_1,5,75,-0.0800869795126793,-0.08588904694167851,2026-09-14T09:50:00-04:00,2026-09-14T09:45:00-04:00
SOXX_return_1,15,73,-0.06594827277444498,-0.005584351474762435,2026-09-14T09:50:00-04:00,2026-09-14T09:45:00-04:00
SOXX_return_1,30,70,0.04793185832146438,-0.09075321494182487,2026-09-14T09:50:00-04:00,2026-09-14T09:45:00-04:00
SOXX_return_1,60,64,0.03684152343599192,-0.08443223443223442,2026-09-14T09:50:00-04:00,2026-09-14T09:45:00-04:00
SOXX_relative_1,5,75,-0.13541955743108486,0.06073968705547653,2026-09-14T09:50:00-04:00,2026-09-14T09:45:00-04:00
SOXX_relative_1,15,73,0.03834611960611358,0.10335678143897326,2026-09-14T09:50:00-04:00,2026-09-14T09:45:00-04:00
SOXX_relative_1,30,70,-0.030934681977561187,0.05793018983466013,2026-09-14T09:50:00-04:00,2026-09-14T09:45:00-04:00
SOXX_relative_1,60,64,-0.09082109058135523,-0.08576007326007325,2026-09-14T09:50:00-04:00,2026-09-14T09:45:00-04:00
momentum_3,5,73,0.005618836089054813,0.14744539059607556,2026-09-14T11:45:00-04:00,2026-09-14T10:05:00-04:00
momentum_3,15,71,0.12834471219581853,0.18621730382293758,2026-09-14T11:45:00-04:00,2026-09-14T10:05:00-04:00
momentum_3,30,68,0.047399705698009074,0.04630301179524372,2026-09-14T11:45:00-04:00,2026-09-14T10:05:00-04:00
momentum_3,60,62,-0.058824993628752424,0.01619198710684697,2026-09-14T11:45:00-04:00,2026-09-14T10:05:00-04:00
SPY_return_3,5,73,-0.04259702919196568,0.1238738738738739,2026-09-14T10:20:00-04:00,2026-09-14T11:40:00-04:00
SPY_return_3,15,71,0.19120959581728028,0.20922199865861832,2026-09-14T10:20:00-04:00,2026-09-14T11:40:00-04:00
