bar_open_et,open,high,low,close,volume
2026-09-15 09:30:00-04:00,358.7250061035156,360.69000244140625,354.63128662109375,355.4849853515625,2022902.0
2026-09-15 09:35:00-04:00,355.54998779296875,361.7200012207031,355.54998779296875,361.6000061035156,1135113.0
2026-09-15 09:40:00-04:00,361.6400146484375,362.1099853515625,360.1499938964844,361.04998779296875,941432.0
2026-09-15 09:45:00-04:00,361.0799865722656,361.75,360.3299865722656,361.4778137207031,530020.0
2026-09-15 09:50:00-04:00,361.4056091308594,362.0,360.0801086425781,360.5899963378906,694269.0
2026-09-15 09:55:00-04:00,360.6567077636719,361.29998779296875,358.6300048828125,359.1499938964844,537794.0
2026-09-15 10:00:00-04:00,359.1000061035156,360.19000244140625,359.010009765625,359.70361328125,413305.0
2026-09-15 10:05:00-04:00,359.7099914550781,359.8800048828125,358.1600036621094,358.3450012207031,367792.0
2026-09-15 10:10:00-04:00,358.3450012207031,359.659912109375,358.32000732421875,359.07000732421875,295905.0
2026-09-15 10:15:00-04:00,359.04998779296875,359.9649963378906,358.95001220703125,359.44500732421875,260093.0
2026-09-15 10:20:00-04:00,359.3800964355469,359.54998779296875,358.6700134277344,358.92999267578125,227066.0
2026-09-15 10:25:00-04:00,358.92999267578125,359.54998779296875,358.79998779296875,359.2900085449219,261245.0
2026-09-15 10:30:00-04:00,359.25,359.2900085449219,358.1099853515625,358.875,271401.0
2026-09-15 10:35:00-04:00,358.875,358.94000244140625,358.1000061035156,358.4200134277344,195090.0
2026-09-15 10:40:00-04:00,358.3699951171875,358.3999938964844,357.6300048828125,357.77801513671875,343932.0
2026-09-15 10:45:00-04:00,357.8258056640625,358.4200134277344,357.1449890136719,357.1499938964844,266475.0
2026-09-15 10:50:00-04:00,357.19500732421875,357.19500732421875,355.8900146484375,356.04998779296875,440753.0
2026-09-15 10:55:00-04:00,356.11199951171875,357.8096923828125,355.8800048828125,357.6099853515625,414168.0
