strategy,bar_open,available_at,has_observed_next_open,TSLA_price,TSLA_shares_before,TSLA_target_shares,TSLA_target_weight,forecast_5m_bps,forecast_15m_bps,forecast_30m_bps,forecast_60m_bps
frozen_5m,2026-09-15T09:30:00-04:00,2026-09-15T09:35:00-04:00,True,355.4849853515625,0,-94,-0.6999999999999994,-6.786718306373769,,,
frozen_5m,2026-09-15T09:35:00-04:00,2026-09-15T09:40:00-04:00,True,361.6000061035156,-94,-91,-0.7,-11.970986913423946,,,
frozen_5m,2026-09-15T09:40:00-04:00,2026-09-15T09:45:00-04:00,True,361.04998779296875,-91,91,0.7,9.351255520821777,,,
frozen_5m,2026-09-15T09:45:00-04:00,2026-09-15T09:50:00-04:00,True,361.4778137207031,91,91,0.6999999999999998,7.807232216983606,,,
frozen_5m,2026-09-15T09:50:00-04:00,2026-09-15T09:55:00-04:00,True,360.5899963378906,91,91,0.6999999999999997,7.252673707083751,,,
frozen_5m,2026-09-15T09:55:00-04:00,2026-09-15T10:00:00-04:00,True,359.1499938964844,91,92,0.7,5.3326783300606,,,
frozen_5m,2026-09-15T10:00:00-04:00,2026-09-15T10:05:00-04:00,True,359.70361328125,92,91,0.6999999999999998,7.766940346838023,,,
frozen_5m,2026-09-15T10:05:00-04:00,2026-09-15T10:10:00-04:00,True,358.3450012207031,91,91,0.6917697567850571,3.5756655499847945,,,
frozen_5m,2026-09-15T10:10:00-04:00,2026-09-15T10:15:00-04:00,True,359.07000732421875,91,92,0.7,6.89046418616156,,,
frozen_5m,2026-09-15T10:15:00-04:00,2026-09-15T10:20:00-04:00,True,359.44500732421875,92,92,0.7,7.0696692311834095,,,
frozen_5m,2026-09-15T10:20:00-04:00,2026-09-15T10:25:00-04:00,True,358.92999267578125,92,92,0.7,5.376337417167623,,,
frozen_5m,2026-09-15T10:25:00-04:00,2026-09-15T10:30:00-04:00,True,359.2900085449219,92,92,0.7,5.641119127938757,,,
frozen_5m,2026-09-15T10:30:00-04:00,2026-09-15T10:35:00-04:00,True,358.875,92,92,0.7,5.152728662037437,,,
frozen_5m,2026-09-15T10:35:00-04:00,2026-09-15T10:40:00-04:00,True,358.4200134277344,92,92,0.6993140781999345,1.493739647065814,,,
frozen_5m,2026-09-15T10:40:00-04:00,2026-09-15T10:45:00-04:00,True,357.77801513671875,92,92,0.698864256771334,0.49050496214116707,,,
frozen_5m,2026-09-15T10:45:00-04:00,2026-09-15T10:50:00-04:00,True,357.1499938964844,92,92,0.6981525886635255,1.9405336557760124,,,
frozen_5m,2026-09-15T10:50:00-04:00,2026-09-15T10:55:00-04:00,True,356.04998779296875,92,34,0.26361855970710296,-1.4163102611356875,,,
frozen_5m,2026-09-15T10:55:00-04:00,2026-09-15T11:00:00-04:00,False,357.6099853515625,34,34,0.2586005191005116,-0.5909152338438187,,,
context_curve,2026-09-15T09:30:00-04:00,2026-09-15T09:35:00-04:00,True,355.4849853515625,0,-94,-0.699999999890881,-9.646323526032669,-11.439084425960557,-14.581110544433919,-30.183103507564862
