date,starting_equity,ending_equity,net_pnl,net_return,costs,gross_pnl,turnover_dollars,turnover_equity_multiple,fill_count,max_drawdown,max_gross_exposure,max_abs_net_exposure,max_symbol_exposure,min_cash,ending_cash,ending_gross_exposure,ending_net_exposure,AAPL_net_pnl,AAPL_costs,AAPL_fill_count,AMD_net_pnl,AMD_costs,AMD_fill_count,AMZN_net_pnl,AMZN_costs,AMZN_fill_count,AVGO_net_pnl,AVGO_costs,AVGO_fill_count,COIN_net_pnl,COIN_costs,COIN_fill_count,CRM_net_pnl,CRM_costs,CRM_fill_count,GOOGL_net_pnl,GOOGL_costs,GOOGL_fill_count,HOOD_net_pnl,HOOD_costs,HOOD_fill_count,INTC_net_pnl,INTC_costs,INTC_fill_count,JPM_net_pnl,JPM_costs,JPM_fill_count,MARA_net_pnl,MARA_costs,MARA_fill_count,META_net_pnl,META_costs,META_fill_count,MSFT_net_pnl,MSFT_costs,MSFT_fill_count,MSTR_net_pnl,MSTR_costs,MSTR_fill_count,MU_net_pnl,MU_costs,MU_fill_count,NFLX_net_pnl,NFLX_costs,NFLX_fill_count,NVDA_net_pnl,NVDA_costs,NVDA_fill_count,ORCL_net_pnl,ORCL_costs,ORCL_fill_count,PLTR_net_pnl,PLTR_costs,PLTR_fill_count,SMCI_net_pnl,SMCI_costs,SMCI_fill_count,SNDK_net_pnl,SNDK_costs,SNDK_fill_count,TSLA_net_pnl,TSLA_costs,TSLA_fill_count,TSM_net_pnl,TSM_costs,TSM_fill_count,UBER_net_pnl,UBER_costs,UBER_fill_count
2026-08-31,100000.0,100314.27194627358,314.27194627358404,0.0031427194627358405,139.51440016174317,453.78634643532723,279028.8003234863,2.7902880032348634,138,-0.005357938209760604,0.9499024773661051,0.9499024773661051,0.7003310900219336,100000.0,100314.27194627358,0.0,0.0,0.0,0,0,0.0,0,0,163.02987931824373,69.81622053527835,72,0.0,0.0,0,0.0,0.0,0,0.0,0,0,151.2420669555795,69.69817962646482,66,0.0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0
2026-09-01,100314.27194627358,98855.58343279993,-1458.6885134736513,-0.014541186265648192,216.13837309265128,-1242.550140381,432276.74618530273,4.309224777276178,144,-0.015921066146740492,0.9530820569817489,0.9530820569817489,0.7031392421360075,98855.58343279993,98855.58343279993,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,-856.8365382690026,69.93028826904296,69,0.0,0.0,0,0.0,0,0,-258.49813899229525,70.07159480285647,71,0.0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,-304.87860379026097,69.98157009887694,2,0.0,0.0,0,0.0,0,0,0.0,0,0,-38.47523242187435,6.154919921875,2,0.0,0,0,0.0,0.0,0,0.0,0,0
2026-09-02,98855.58343279993,98251.98369990499,-603.5997328949452,-0.00610587396214459,69.28848411560074,-534.3112487793444,138576.96823120117,1.4018122539876876,74,-0.009263733052205292,0.7026890122615067,0.7026890122615067,0.7026890122615067,98251.98369990499,98251.98369990499,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,-603.5997328948968,69.2884841156006,74,0.0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0
2026-09-03,98251.98369990499,98712.39687255249,460.4131726475025,0.0046860445490216375,190.08046062278748,650.49363327029,380160.92124557495,3.869244232327317,23,-0.011757922213590732,0.9496200007794271,0.9458917744613685,0.7041030816508792,42449.8337493244,98712.39687255249,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,-90.65314720153583,12.995829086303711,2,0.0,0,0,44.063133499148535,24.710212448120117,5,1538.0458888206485,69.52209671401977,4,0.0,0,0,0.0,0,0,-108.1704004840849,6.810495241165161,4,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,12.364176452637366,6.195760070800781,3,0.0,0,0,-935.2364784393212,69.84606706237793,5,0.0,0,0
2026-09-04,98712.39687255249,99292.09306147393,579.6961889214435,0.00587257737921093,81.04421616125057,660.740405082694,162088.43232250214,1.6420271157205757,92,-0.0019916882565861327,0.6998636887900692,0.6998636887900692,0.6998636887900692,98712.39687255249,99292.09306147393,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,460.91327185057526,68.79620080566409,66,0.0,0.0,0,0.0,0,0,0.0,0,0,-54.26957131719519,4.1705904135704035,13,0.0,0,0,0.0,0,0,13.150887130737601,1.40907991027832,8,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,159.90160125732564,6.668345031738281,5,0.0,0,0,0.0,0.0,0,0.0,0,0
2026-09-08,99292.09306147393,99292.09306147393,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,99292.09306147393,99292.09306147393,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0
2026-09-09,99292.09306147393,99163.74960389338,-128.3434575805586,-0.0012925848738136513,69.37568414306622,-58.96777343749238,138751.3682861328,1.3974060170151592,74,-0.006561211487841279,0.6986500382878523,0.6986500382878523,0.6986500382878523,99163.74960389338,99163.74960389338,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,-128.3434575805768,69.3756841430664,74,0.0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0
2026-09-10,99163.74960389338,99163.74960389338,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,99163.74960389338,99163.74960389338,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0
2026-09-11,99163.74960389338,97029.2275353509,-2134.522068542472,-0.02152522546866931,68.44470648193351,-2066.0773620605387,136889.4129638672,1.3804380482854657,7,-0.026560081233370614,0.7007587107986203,0.7007587107986203,0.7007587107986203,29807.478233425238,97029.2275353509,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,-2134.5220685424792,68.4447064819336,7,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0
