time,action,shares,price,shares_after,realized_pnl
2026-09-15T09:50:04.294906-04:00,X,7.0,1563.82,-7.0,0.0
2026-09-15T09:55:01.934306-04:00,C,3.0,1555.95,-4.0,23.61
2026-09-15T09:55:02.690524-04:00,C,1.0,1556.5,-3.0,7.32
2026-09-15T09:55:03.426830-04:00,C,2.0,1556.43,-1.0,14.78
2026-09-15T09:55:04.097900-04:00,C,1.0,1556.0,0.0,7.82
2026-09-15T09:55:06.379077-04:00,B,1.0,1556.24,1.0,0.0
2026-09-15T09:55:07.187058-04:00,B,1.0,1555.96,2.0,0.0
2026-09-15T10:00:02.337267-04:00,S,1.0,1556.05,1.0,-0.19
2026-09-15T10:05:01.281289-04:00,S,1.0,1558.75,0.0,2.79
2026-09-15T10:55:04.670039-04:00,B,2.0,1542.38,2.0,0.0
2026-09-15T11:00:01.671037-04:00,S,1.0,1542.45,1.0,0.07
2026-09-15T11:10:05.316390-04:00,B,1.0,1537.0,2.0,0.0
2026-09-15T11:15:01.398627-04:00,B,3.0,1537.49,5.0,0.0
2026-09-15T11:20:04.021630-04:00,B,3.0,1534.18,8.0,0.0
2026-09-15T11:20:04.492479-04:00,B,1.0,1535.0,9.0,0.0
2026-09-15T12:05:02.350711-04:00,S,3.0,1533.19,6.0,-17.3
2026-09-15T12:05:03.045429-04:00,S,1.0,1533.19,5.0,-4.3
2026-09-15T12:15:02.378464-04:00,B,3.0,1518.55,8.0,0.0
2026-09-15T12:15:03.331399-04:00,B,1.0,1518.49,9.0,0.0
2026-09-15T12:15:04.018653-04:00,B,3.0,1518.49,12.0,0.0
2026-09-15T12:20:01.633570-04:00,S,1.0,1522.38,11.0,-15.11
2026-09-15T12:20:02.590069-04:00,S,10.0,1522.5,1.0,-23.66
2026-09-15T12:20:02.984191-04:00,S,1.0,1522.5,0.0,4.01
2026-09-15T12:20:06.036028-04:00,X,1.0,1522.5,-1.0,0.0
2026-09-15T12:30:01.898199-04:00,C,1.0,1524.65,0.0,-2.15
2026-09-15T12:30:04.074540-04:00,B,11.0,1524.52,11.0,0.0
2026-09-15T12:35:02.389491-04:00,S,1.0,1524.5,10.0,-0.02
2026-09-15T12:35:03.155674-04:00,S,1.0,1524.5,9.0,-0.02
2026-09-15T12:35:03.402665-04:00,S,1.0,1524.5,8.0,-0.02
2026-09-15T12:55:02.348844-04:00,S,1.0,1529.52,7.0,5.0
2026-09-15T13:00:02.948467-04:00,S,3.0,1530.7,4.0,18.54
2026-09-15T13:00:03.391204-04:00,S,1.0,1530.7,3.0,6.18
2026-09-15T13:00:04.177477-04:00,S,1.0,1530.7,2.0,6.18
2026-09-15T13:00:04.695418-04:00,S,1.0,1530.7,1.0,6.18
2026-09-15T13:00:06.077250-04:00,S,1.0,1530.7,0.0,6.18
2026-09-15T13:05:04.804653-04:00,B,8.0,1527.36,8.0,0.0
2026-09-15T13:10:02.677159-04:00,S,4.0,1531.76,4.0,17.6
2026-09-15T13:10:03.648766-04:00,S,4.0,1531.76,0.0,17.6
2026-09-15T13:25:01.945341-04:00,B,1.0,1531.94,1.0,0.0
2026-09-15T13:35:02.244966-04:00,S,1.0,1534.01,0.0,2.07
2026-09-15T13:35:04.201953-04:00,X,2.0,1534.09,-2.0,0.0
2026-09-15T13:40:03.226355-04:00,C,2.0,1534.8,0.0,-1.42
2026-09-15T13:40:05.404361-04:00,B,1.0,1534.8,1.0,0.0
2026-09-15T14:00:03.400565-04:00,S,1.0,1522.79,0.0,-12.01
2026-09-15T14:15:04.166882-04:00,B,1.0,1518.0,1.0,0.0
2026-09-15T14:15:05.085825-04:00,B,1.0,1518.0,2.0,0.0
2026-09-15T14:15:08.639339-04:00,B,2.0,1517.99,4.0,0.0
2026-09-15T14:30:02.876075-04:00,S,1.0,1517.36,3.0,-0.64
2026-09-15T14:35:06.194772-04:00,B,9.0,1514.74,12.0,0.0
2026-09-15T14:40:01.523441-04:00,S,2.0,1515.03,10.0,-5.93
2026-09-15T14:40:02.586787-04:00,S,1.0,1515.03,9.0,-2.96
2026-09-15T15:05:03.197417-04:00,S,1.0,1520.2,8.0,5.46
2026-09-15T15:05:03.613173-04:00,S,3.0,1520.2,5.0,16.38
2026-09-15T15:05:04.708469-04:00,S,1.0,1520.21,4.0,5.47
2026-09-15T15:15:02.279385-04:00,B,1.0,1518.56,5.0,0.0
2026-09-15T15:15:03.099772-04:00,B,1.0,1518.56,6.0,0.0
2026-09-15T15:20:00.933667-04:00,S,3.0,1518.03,3.0,9.87
2026-09-15T15:20:02.530712-04:00,S,1.0,1518.13,2.0,3.39
2026-09-15T15:55:02.670746-04:00,S,1.0,1531.28,1.0,12.72
2026-09-15T15:55:03.446159-04:00,S,1.0,1531.28,0.0,12.72
