symbol,feed,horizon,model,split,rows,mse_bps2,rmse_bps,mae_bps,mean_error_bps,ic,rank_ic,target_zero_fraction,forecast_zero_fraction,directional_rows,direction_accuracy_nonzero,forecast_direction_coverage,sign_match_including_zeros,predicted_abs_bps_p50,target_abs_bps_p50
SNDK,iex,1s,zero,2026-09-11_intraday,592,1215.8581378222696,34.86915740052044,23.958676426742638,-2.866013171818627,,,0.13006756756756757,1.0,0,,0.0,0.13006756756756757,0.0,14.627820215987185
SNDK,iex,1s,past_mid_ridge,2026-09-11_intraday,592,1134.2791998669138,33.67906174267498,25.29801417262923,1.019159854210455,0.26762780626615096,0.2476846488277445,0.13006756756756757,0.0,515,0.5359223300970873,1.0,0.46621621621621623,3.685964925335934,14.627820215987185
SNDK,iex,1s,qi_ridge,2026-09-11_intraday,592,1213.2868062917294,34.8322667406491,25.608710606447797,1.5561203861191737,0.006014685757349546,-0.01228606238538648,0.13006756756756757,0.0,515,0.5087378640776699,1.0,0.44256756756756754,4.520283360571056,14.627820215987185
SNDK,iex,1s,l1_ridge,2026-09-11_intraday,592,1168.9978874560657,34.190611100945034,24.572869187048248,-0.8276421175195056,0.18173725742866906,0.16136899722097733,0.13006756756756757,0.0,515,0.5611650485436893,1.0,0.48817567567567566,3.1069444951542025,14.627820215987185
SNDK,iex,1s,past_mid_plus_l1_ridge,2026-09-11_intraday,592,1097.6807167922605,33.131264944041305,24.870909999504036,-0.31153859153760854,0.3125523554882032,0.25718460072669214,0.13006756756756757,0.0,515,0.5883495145631068,1.0,0.5118243243243243,5.657865972484072,14.627820215987185
SNDK,iex,5s,zero,2026-09-11_intraday,489,1719.7628947793296,41.4700240508651,29.919790867968832,-0.882446168150471,,,0.10429447852760736,1.0,0,,0.0,0.10429447852760736,0.0,28.85163155670223
SNDK,iex,5s,past_mid_ridge,2026-09-11_intraday,489,1505.6189971095953,38.80230659522183,30.218706062370977,1.190559863685331,0.3538497506309161,0.28407656411135274,0.10429447852760736,0.0,438,0.5821917808219178,1.0,0.5214723926380368,6.096871359968817,28.85163155670223
SNDK,iex,5s,qi_ridge,2026-09-11_intraday,489,1723.0113292467213,41.50917162804772,30.814365013234983,2.3905601670393013,0.033084614359504216,0.027610311172221118,0.10429447852760736,0.0,438,0.5091324200913242,1.0,0.4560327198364008,3.454187466112209,28.85163155670223
SNDK,iex,5s,l1_ridge,2026-09-11_intraday,489,1695.524162200918,41.17674297708499,30.55643317459339,1.1991470598281333,0.12206621782892169,0.022212492404342164,0.10429447852760736,0.0,438,0.4931506849315068,1.0,0.44171779141104295,2.992728429850556,28.85163155670223
SNDK,iex,5s,past_mid_plus_l1_ridge,2026-09-11_intraday,489,1490.3877165820775,38.6055399726785,30.237274714938685,1.4799504417044542,0.36688421008598404,0.2680803523955612,0.10429447852760736,0.0,438,0.58675799086758,1.0,0.5255623721881391,6.651704408637466,28.85163155670223
SNDK,iex,30s,zero,2026-09-11_intraday,455,1770.9630609810108,42.08281194241909,31.18265278785988,-2.7801655809317154,,,0.07032967032967033,1.0,0,,0.0,0.07032967032967033,0.0,31.173247685620797
SNDK,iex,30s,past_mid_ridge,2026-09-11_intraday,455,1501.4725161189265,38.74883890026805,30.664660318466478,-2.443607280992195,0.3897647344603689,0.3368269139043878,0.07032967032967033,0.0,423,0.5981087470449172,1.0,0.5560439560439561,9.3678932092944,31.173247685620797
SNDK,iex,30s,qi_ridge,2026-09-11_intraday,455,1765.4717323212915,42.01751696996494,31.251673262354156,-1.5793265715029299,0.01593477094868502,0.02482273820305526,0.07032967032967033,0.0,423,0.5224586288416075,1.0,0.4857142857142857,1.2145123107837992,31.173247685620797
SNDK,iex,30s,l1_ridge,2026-09-11_intraday,455,1754.4085471005237,41.885660399479484,31.45551399891975,-1.1924769918504887,0.07727835330330003,0.13074712815552,0.07032967032967033,0.0,423,0.5295508274231678,1.0,0.49230769230769234,1.9176995812613622,31.173247685620797
SNDK,iex,30s,past_mid_plus_l1_ridge,2026-09-11_intraday,455,1538.491601803346,39.22361025968092,31.154316847224468,0.03284947634653053,0.36155589827657564,0.30761098893887107,0.07032967032967033,0.0,423,0.6028368794326241,1.0,0.5604395604395604,11.383779940081968,31.173247685620797
SNDK,iex,1min,zero,2026-09-11_intraday,468,1926.3734996310777,43.890471626892754,33.401313500011,0.3200425687732711,,,0.049145299145299144,1.0,0,,0.0,0.049145299145299144,0.0,32.86073552113855
SNDK,iex,1min,past_mid_ridge,2026-09-11_intraday,468,1540.7827317268143,39.25280539944647,31.414922917941674,-3.120465590920932,0.4643172942118895,0.39618812062010017,0.049145299145299144,0.0,445,0.6157303370786517,1.0,0.5854700854700855,11.286137546202282,32.86073552113855
