candidate,selection_before,validation_start,validation_end,validation_dates,score,selected
price_volume_h3_g10,2026-09-02,2026-08-26,2026-09-01,"['2026-08-26', '2026-08-27', '2026-08-28', '2026-08-31', '2026-09-01']",0.00837024944897169,False
price_volume_h3_g50,2026-09-02,2026-08-26,2026-09-01,"['2026-08-26', '2026-08-27', '2026-08-28', '2026-08-31', '2026-09-01']",0.01850419517981572,False
price_volume_h6_g10,2026-09-02,2026-08-26,2026-09-01,"['2026-08-26', '2026-08-27', '2026-08-28', '2026-08-31', '2026-09-01']",0.017400190107191404,False
price_volume_h6_g50,2026-09-02,2026-08-26,2026-09-01,"['2026-08-26', '2026-08-27', '2026-08-28', '2026-08-31', '2026-09-01']",0.01078512162647649,False
price_h1_g10,2026-09-03,2026-08-27,2026-09-02,"['2026-08-27', '2026-08-28', '2026-08-31', '2026-09-01', '2026-09-02']",0.0687013425211247,True
price_h1_g50,2026-09-03,2026-08-27,2026-09-02,"['2026-08-27', '2026-08-28', '2026-08-31', '2026-09-01', '2026-09-02']",0.04408723906680856,False
price_h3_g10,2026-09-03,2026-08-27,2026-09-02,"['2026-08-27', '2026-08-28', '2026-08-31', '2026-09-01', '2026-09-02']",-0.002646125944125277,False
price_h3_g50,2026-09-03,2026-08-27,2026-09-02,"['2026-08-27', '2026-08-28', '2026-08-31', '2026-09-01', '2026-09-02']",0.009385082584641324,False
price_h6_g10,2026-09-03,2026-08-27,2026-09-02,"['2026-08-27', '2026-08-28', '2026-08-31', '2026-09-01', '2026-09-02']",0.004103120791377757,False
price_h6_g50,2026-09-03,2026-08-27,2026-09-02,"['2026-08-27', '2026-08-28', '2026-08-31', '2026-09-01', '2026-09-02']",0.015343638275082672,False
price_volume_h1_g10,2026-09-03,2026-08-27,2026-09-02,"['2026-08-27', '2026-08-28', '2026-08-31', '2026-09-01', '2026-09-02']",0.03420158469857282,False
price_volume_h1_g50,2026-09-03,2026-08-27,2026-09-02,"['2026-08-27', '2026-08-28', '2026-08-31', '2026-09-01', '2026-09-02']",0.04135802646941089,False
price_volume_h3_g10,2026-09-03,2026-08-27,2026-09-02,"['2026-08-27', '2026-08-28', '2026-08-31', '2026-09-01', '2026-09-02']",0.01914946508401627,False
price_volume_h3_g50,2026-09-03,2026-08-27,2026-09-02,"['2026-08-27', '2026-08-28', '2026-08-31', '2026-09-01', '2026-09-02']",0.022915300114577875,False
price_volume_h6_g10,2026-09-03,2026-08-27,2026-09-02,"['2026-08-27', '2026-08-28', '2026-08-31', '2026-09-01', '2026-09-02']",0.024713160759714636,False
price_volume_h6_g50,2026-09-03,2026-08-27,2026-09-02,"['2026-08-27', '2026-08-28', '2026-08-31', '2026-09-01', '2026-09-02']",0.025845976197418352,False
price_h1_g10,2026-09-04,2026-08-28,2026-09-03,"['2026-08-28', '2026-08-31', '2026-09-01', '2026-09-02', '2026-09-03']",0.024464762902371318,False
price_h1_g50,2026-09-04,2026-08-28,2026-09-03,"['2026-08-28', '2026-08-31', '2026-09-01', '2026-09-02', '2026-09-03']",0.010263404691962297,False
price_h3_g10,2026-09-04,2026-08-28,2026-09-03,"['2026-08-28', '2026-08-31', '2026-09-01', '2026-09-02', '2026-09-03']",-0.0005321931579179706,False
price_h3_g50,2026-09-04,2026-08-28,2026-09-03,"['2026-08-28', '2026-08-31', '2026-09-01', '2026-09-02', '2026-09-03']",0.003988924387916759,False
price_h6_g10,2026-09-04,2026-08-28,2026-09-03,"['2026-08-28', '2026-08-31', '2026-09-01', '2026-09-02', '2026-09-03']",-0.002082553087828898,False
price_h6_g50,2026-09-04,2026-08-28,2026-09-03,"['2026-08-28', '2026-08-31', '2026-09-01', '2026-09-02', '2026-09-03']",0.028178475297161665,True
price_volume_h1_g10,2026-09-04,2026-08-28,2026-09-03,"['2026-08-28', '2026-08-31', '2026-09-01', '2026-09-02', '2026-09-03']",-0.006212602376791221,False
price_volume_h1_g50,2026-09-04,2026-08-28,2026-09-03,"['2026-08-28', '2026-08-31', '2026-09-01', '2026-09-02', '2026-09-03']",0.004561600238804475,False
price_volume_h3_g10,2026-09-04,2026-08-28,2026-09-03,"['2026-08-28', '2026-08-31', '2026-09-01', '2026-09-02', '2026-09-03']",-0.011690792021951668,False
price_volume_h3_g50,2026-09-04,2026-08-28,2026-09-03,"['2026-08-28', '2026-08-31', '2026-09-01', '2026-09-02', '2026-09-03']",-0.0008341189996171616,False
price_volume_h6_g10,2026-09-04,2026-08-28,2026-09-03,"['2026-08-28', '2026-08-31', '2026-09-01', '2026-09-02', '2026-09-03']",-0.0010053367036282346,False
price_volume_h6_g50,2026-09-04,2026-08-28,2026-09-03,"['2026-08-28', '2026-08-31', '2026-09-01', '2026-09-02', '2026-09-03']",0.023147060075662473,False
price_h1_g10,2026-09-08,2026-08-31,2026-09-04,"['2026-08-31', '2026-09-01', '2026-09-02', '2026-09-03', '2026-09-04']",0.058828776921878934,True
price_h1_g50,2026-09-08,2026-08-31,2026-09-04,"['2026-08-31', '2026-09-01', '2026-09-02', '2026-09-03', '2026-09-04']",0.011828942797564412,False
price_h3_g10,2026-09-08,2026-08-31,2026-09-04,"['2026-08-31', '2026-09-01', '2026-09-02', '2026-09-03', '2026-09-04']",0.04662137234154251,False
price_h3_g50,2026-09-08,2026-08-31,2026-09-04,"['2026-08-31', '2026-09-01', '2026-09-02', '2026-09-03', '2026-09-04']",0.0069586459299804115,False
price_h6_g10,2026-09-08,2026-08-31,2026-09-04,"['2026-08-31', '2026-09-01', '2026-09-02', '2026-09-03', '2026-09-04']",0.025192513949895856,False
price_h6_g50,2026-09-08,2026-08-31,2026-09-04,"['2026-08-31', '2026-09-01', '2026-09-02', '2026-09-03', '2026-09-04']",0.023445083346211426,False
price_volume_h1_g10,2026-09-08,2026-08-31,2026-09-04,"['2026-08-31', '2026-09-01', '2026-09-02', '2026-09-03', '2026-09-04']",0.03874917718474036,False
price_volume_h1_g50,2026-09-08,2026-08-31,2026-09-04,"['2026-08-31', '2026-09-01', '2026-09-02', '2026-09-03', '2026-09-04']",0.0222370197381605,False
price_volume_h3_g10,2026-09-08,2026-08-31,2026-09-04,"['2026-08-31', '2026-09-01', '2026-09-02', '2026-09-03', '2026-09-04']",0.018269519899666076,False
price_volume_h3_g50,2026-09-08,2026-08-31,2026-09-04,"['2026-08-31', '2026-09-01', '2026-09-02', '2026-09-03', '2026-09-04']",0.006934165031222461,False
price_volume_h6_g10,2026-09-08,2026-08-31,2026-09-04,"['2026-08-31', '2026-09-01', '2026-09-02', '2026-09-03', '2026-09-04']",0.017889473844732162,False
price_volume_h6_g50,2026-09-08,2026-08-31,2026-09-04,"['2026-08-31', '2026-09-01', '2026-09-02', '2026-09-03', '2026-09-04']",0.023631137238909528,False
price_h1_g10,2026-09-09,2026-09-01,2026-09-08,"['2026-09-01', '2026-09-02', '2026-09-03', '2026-09-04', '2026-09-08']",-0.014256341899521074,False
price_h1_g50,2026-09-09,2026-09-01,2026-09-08,"['2026-09-01', '2026-09-02', '2026-09-03', '2026-09-04', '2026-09-08']",0.005685678342790101,False
price_h3_g10,2026-09-09,2026-09-01,2026-09-08,"['2026-09-01', '2026-09-02', '2026-09-03', '2026-09-04', '2026-09-08']",-0.027766186628114253,False
price_h3_g50,2026-09-09,2026-09-01,2026-09-08,"['2026-09-01', '2026-09-02', '2026-09-03', '2026-09-04', '2026-09-08']",-0.016581783202869516,False
price_h6_g10,2026-09-09,2026-09-01,2026-09-08,"['2026-09-01', '2026-09-02', '2026-09-03', '2026-09-04', '2026-09-08']",-0.0344054163098676,False
price_h6_g50,2026-09-09,2026-09-01,2026-09-08,"['2026-09-01', '2026-09-02', '2026-09-03', '2026-09-04', '2026-09-08']",0.009348166345698239,False
price_volume_h1_g10,2026-09-09,2026-09-01,2026-09-08,"['2026-09-01', '2026-09-02', '2026-09-03', '2026-09-04', '2026-09-08']",0.0018575385031820435,False
price_volume_h1_g50,2026-09-09,2026-09-01,2026-09-08,"['2026-09-01', '2026-09-02', '2026-09-03', '2026-09-04', '2026-09-08']",0.004589033139550391,False
price_volume_h3_g10,2026-09-09,2026-09-01,2026-09-08,"['2026-09-01', '2026-09-02', '2026-09-03', '2026-09-04', '2026-09-08']",-0.027841803411749466,False
price_volume_h3_g50,2026-09-09,2026-09-01,2026-09-08,"['2026-09-01', '2026-09-02', '2026-09-03', '2026-09-04', '2026-09-08']",-0.005791062165322658,False
price_volume_h6_g10,2026-09-09,2026-09-01,2026-09-08,"['2026-09-01', '2026-09-02', '2026-09-03', '2026-09-04', '2026-09-08']",-0.0069945068656219744,False
price_volume_h6_g50,2026-09-09,2026-09-01,2026-09-08,"['2026-09-01', '2026-09-02', '2026-09-03', '2026-09-04', '2026-09-08']",0.01812354880338507,True
price_h1_g10,2026-09-10,2026-09-02,2026-09-09,"['2026-09-02', '2026-09-03', '2026-09-04', '2026-09-08', '2026-09-09']",-0.014564309916581086,False
price_h1_g50,2026-09-10,2026-09-02,2026-09-09,"['2026-09-02', '2026-09-03', '2026-09-04', '2026-09-08', '2026-09-09']",-0.00563359438599631,False
price_h3_g10,2026-09-10,2026-09-02,2026-09-09,"['2026-09-02', '2026-09-03', '2026-09-04', '2026-09-08', '2026-09-09']",-0.039831595691193766,False
price_h3_g50,2026-09-10,2026-09-02,2026-09-09,"['2026-09-02', '2026-09-03', '2026-09-04', '2026-09-08', '2026-09-09']",-0.03386456516953229,False
price_h6_g10,2026-09-10,2026-09-02,2026-09-09,"['2026-09-02', '2026-09-03', '2026-09-04', '2026-09-08', '2026-09-09']",-0.03726617861386183,False
price_h6_g50,2026-09-10,2026-09-02,2026-09-09,"['2026-09-02', '2026-09-03', '2026-09-04', '2026-09-08', '2026-09-09']",-0.013322407994447172,False
price_volume_h1_g10,2026-09-10,2026-09-02,2026-09-09,"['2026-09-02', '2026-09-03', '2026-09-04', '2026-09-08', '2026-09-09']",0.000859915962420077,False
price_volume_h1_g50,2026-09-10,2026-09-02,2026-09-09,"['2026-09-02', '2026-09-03', '2026-09-04', '2026-09-08', '2026-09-09']",0.005291261058062657,True
price_volume_h3_g10,2026-09-10,2026-09-02,2026-09-09,"['2026-09-02', '2026-09-03', '2026-09-04', '2026-09-08', '2026-09-09']",-0.029912520743527127,False
price_volume_h3_g50,2026-09-10,2026-09-02,2026-09-09,"['2026-09-02', '2026-09-03', '2026-09-04', '2026-09-08', '2026-09-09']",-0.023181127089583864,False
price_volume_h6_g10,2026-09-10,2026-09-02,2026-09-09,"['2026-09-02', '2026-09-03', '2026-09-04', '2026-09-08', '2026-09-09']",-0.014802764236557575,False
price_volume_h6_g50,2026-09-10,2026-09-02,2026-09-09,"['2026-09-02', '2026-09-03', '2026-09-04', '2026-09-08', '2026-09-09']",-0.004250383616122955,False
price_h1_g10,2026-09-11,2026-09-03,2026-09-10,"['2026-09-03', '2026-09-04', '2026-09-08', '2026-09-09', '2026-09-10']",-0.020381516908188013,False
price_h1_g50,2026-09-11,2026-09-03,2026-09-10,"['2026-09-03', '2026-09-04', '2026-09-08', '2026-09-09', '2026-09-10']",-0.005086246987114351,False
price_h3_g10,2026-09-11,2026-09-03,2026-09-10,"['2026-09-03', '2026-09-04', '2026-09-08', '2026-09-09', '2026-09-10']",-0.029573029214529756,False
price_h3_g50,2026-09-11,2026-09-03,2026-09-10,"['2026-09-03', '2026-09-04', '2026-09-08', '2026-09-09', '2026-09-10']",-0.033330917850911135,False
price_h6_g10,2026-09-11,2026-09-03,2026-09-10,"['2026-09-03', '2026-09-04', '2026-09-08', '2026-09-09', '2026-09-10']",-0.035959809325340375,False
price_h6_g50,2026-09-11,2026-09-03,2026-09-10,"['2026-09-03', '2026-09-04', '2026-09-08', '2026-09-09', '2026-09-10']",-0.02914922020090882,False
price_volume_h1_g10,2026-09-11,2026-09-03,2026-09-10,"['2026-09-03', '2026-09-04', '2026-09-08', '2026-09-09', '2026-09-10']",-0.006514469823285296,False
price_volume_h1_g50,2026-09-11,2026-09-03,2026-09-10,"['2026-09-03', '2026-09-04', '2026-09-08', '2026-09-09', '2026-09-10']",0.00016116763799334244,True
price_volume_h3_g10,2026-09-11,2026-09-03,2026-09-10,"['2026-09-03', '2026-09-04', '2026-09-08', '2026-09-09', '2026-09-10']",-0.02791724506775284,False
price_volume_h3_g50,2026-09-11,2026-09-03,2026-09-10,"['2026-09-03', '2026-09-04', '2026-09-08', '2026-09-09', '2026-09-10']",-0.023728344752898645,False
price_volume_h6_g10,2026-09-11,2026-09-03,2026-09-10,"['2026-09-03', '2026-09-04', '2026-09-08', '2026-09-09', '2026-09-10']",-0.02635953465299301,False
price_volume_h6_g50,2026-09-11,2026-09-03,2026-09-10,"['2026-09-03', '2026-09-04', '2026-09-08', '2026-09-09', '2026-09-10']",-0.02693724512604867,False
