date,starting_equity,ending_equity,net_pnl,net_return,costs,gross_pnl,turnover_dollars,turnover_equity_multiple,fill_count,max_drawdown,max_gross_exposure,max_abs_net_exposure,max_symbol_exposure,min_cash,ending_cash,ending_gross_exposure,ending_net_exposure,SNDK_net_pnl,SNDK_costs,SNDK_fill_count,TSLA_net_pnl,TSLA_costs,TSLA_fill_count,MSTR_net_pnl,MSTR_costs,MSTR_fill_count,NVDA_net_pnl,NVDA_costs,NVDA_fill_count,candidate,model_train_last_date,model_train_before,training_session_count,kind
2026-09-08,100000.0,101046.27613937389,1046.276139373891,0.01046276139373891,355.90775955200195,1402.1838989258931,1779538.7977600098,17.795387977600097,147,-0.007683528118557215,0.9527028087881898,0.945954830137051,0.7002012800500287,5459.236042840574,101046.27613937389,0.0,0.0,-1043.8719993163832,112.53239970703125,52,1249.1990416259687,115.50744030761717,40,446.27844647829033,62.338435845947245,36,394.6706505859511,65.52948369140624,19,price_volume_h1_g50,2026-09-04,2026-09-08,30,policy
2026-09-09,101046.27613937389,100791.16097712418,-255.11516224971274,-0.0025247359130566127,386.9738963806145,131.85873413090178,1934869.4819030762,19.148350199806433,158,-0.011119436323250187,0.9482341877624021,0.9369378368903842,0.7007165151394048,6346.183003079352,100791.16097712418,0.0,0.0,401.73324211424915,116.68851081542972,55,-157.6288386962733,160.48009602050783,31,-496.80111901547707,77.6551076629639,39,-2.418446652219245,32.15018188171388,33,price_volume_h1_g50,2026-09-08,2026-09-09,31,policy
2026-09-10,100791.16097712418,99787.94246109332,-1003.2185160308582,-0.00995343744734274,363.1011606842044,-640.1173553466538,1815505.8034210205,18.01254976944925,126,-0.011250311552797543,0.9507540873986265,0.9500804365744774,0.6994657105113331,5023.100706878844,99787.94246109332,0.0,0.0,-715.2370612792893,55.74365307617187,27,-229.99587921139027,181.326750793457,40,42.105050671413665,63.88329161376954,37,-100.09062621153589,62.14746520080567,22,price_volume_h1_g50,2026-09-09,2026-09-10,32,policy
2026-09-11,99787.94246109332,101727.45775373248,1939.5152926391602,0.01943636921259665,390.8081936889653,2330.3234863281255,1954040.9684448242,19.581934653144014,128,-0.02644333798790066,0.948450335503676,0.946973014272125,0.7042379278572,5473.554357928671,101727.45775373248,0.0,0.0,654.4845786621245,117.50712055664063,54,-486.6864866820979,162.01485582275393,37,1771.4256872161632,111.19822940979006,35,0.29151344299316406,0.08798789978027344,2,price_volume_h1_g50,2026-09-10,2026-09-11,33,policy
