date,timestamp,phase,cash,equity,gross_dollars,net_dollars,gross_exposure,net_exposure,costs_to_date,turnover_dollars_to_date,drawdown,SNDK_shares,SNDK_price,SNDK_weight,SNDK_pnl,TSLA_shares,TSLA_price,TSLA_weight,TSLA_pnl,PLTR_shares,PLTR_price,PLTR_weight,PLTR_pnl,NVDA_shares,NVDA_price,NVDA_weight,NVDA_pnl
2026-08-31,2026-08-31T09:30:00-04:00,open_before_orders,47006.42,47006.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1486.2049560546875,0.0,0.0,0,347.1499938964844,0.0,0.0,0,184.4949951171875,0.0,0.0,0,218.86199951171875,0.0,0.0
2026-08-31,2026-08-31T09:35:00-04:00,bar_close,47006.42,47006.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1516.219970703125,0.0,0.0,0,352.55999755859375,0.0,0.0,0,186.1898956298828,0.0,0.0,0,217.1699981689453,0.0,0.0
2026-08-31,2026-08-31T09:35:00-04:00,open_before_orders,47006.42,47006.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1516.385009765625,0.0,0.0,0,352.40008544921875,0.0,0.0,0,186.0500030517578,0.0,0.0,0,217.13999938964844,0.0,0.0
2026-08-31,2026-08-31T09:35:00-04:00,after_fill,39420.70398864746,47002.629037475584,7581.925048828125,7581.925048828125,0.1613085311203123,0.1613085311203123,3.7909625244140623,7581.925048828125,-8.064776097427284e-05,5,1516.385009765625,0.1613085311203123,-3.7909625244137715,0,352.40008544921875,0.0,0.0,0,186.0500030517578,0.0,0.0,0,217.13999938964844,0.0,0.0
2026-08-31,2026-08-31T09:35:00-04:00,after_fill,42238.495071899415,47001.21943713379,10401.125732421875,4762.724365234375,0.22129480590038395,0.10133193185774104,5.200562866210937,10401.125732421875,-0.00011063516145681795,5,1516.385009765625,0.1613133688790625,-3.7909625244137715,-8,352.40008544921875,-0.05998143702132145,-1.409600341796704,0,186.0500030517578,0.0,0.0,0,217.13999938964844,0.0,0.0
2026-08-31,2026-08-31T09:35:00-04:00,after_fill,75010.24090978241,46984.825367179874,43189.26564025879,-28025.41554260254,0.9192173282063025,-0.5964780186706626,21.594632820129394,43189.26564025879,-0.00045939752102208686,5,1516.385009765625,0.16136965476781995,-3.7909625244137715,-8,352.40008544921875,-0.06000236590350371,-1.409600341796704,0,186.0500030517578,0.0,0.0,-151,217.13999938964844,-0.6978453075349789,-16.394069953916187
2026-08-31,2026-08-31T09:40:00-04:00,bar_close,75010.24090978241,46994.71129247284,43124.49934387207,-28015.52961730957,0.9176457979598086,-0.5961421795519537,21.594632820129394,43189.26564025879,-0.00024908741246743027,5,1510.89697265625,0.16075180920392745,-31.23114807128877,-8,353.67999267578125,-0.0602076247217938,-11.648858154296704,0,185.75999450683594,0.0,0.0,-151,216.8249969482422,-0.6966863640340873,31.171298698427563
2026-08-31,2026-08-31T09:40:00-04:00,open_before_orders,75010.24090978241,46994.507297721866,43130.73361206055,-28015.733612060547,0.9177824408034889,-0.5961491081196771,21.594632820129394,43189.26564025879,-0.00025342713353049273,5,1511.5,0.16081666634190592,-28.21601135253877,-8,353.82000732421875,-0.06023172113841836,-12.768975341796704,0,185.72999572753906,0.0,0.0,-151,216.83889770507812,-0.6967340533231646,29.072284416201
2026-08-31,2026-08-31T09:40:00-04:00,after_fill,76520.98515978242,46993.75154772187,41619.23361206055,-29527.233612060547,0.8856333499954024,-0.6283225458617795,22.350382820129393,44700.76564025879,-0.00026950472463393993,4,1511.5,0.12865540206681145,-28.971761352539033,-8,353.82000732421875,-0.060232689780455886,-12.768975341796704,0,185.72999572753906,0.0,0.0,-151,216.83889770507812,-0.696745258148135,29.072284416201
2026-08-31,2026-08-31T09:40:00-04:00,after_fill,74751.00057314301,46992.86699770356,39850.13357543945,-27758.133575439453,0.8480038806184531,-0.5906882331055888,23.234932838439942,46469.86567687988,-0.0002883223673795232,4,1511.5,0.12865782375643212,-28.971761352539033,-3,353.82000732421875,-0.02258768382921875,-13.653525360107324,0,185.72999572753906,0.0,0.0,-151,216.83889770507812,-0.6967583730328022,29.072284416201
