day,variant,as_of,sndk_net,sndk_gross,sndk_cost,sndk_fills,sndk_ending_shares,portfolio_net,portfolio_cost
2026-09-14,context,2026-09-14T16:00:00-04:00,107.65538000488414,215.8491210937513,108.19374108886717,42,0,-621.7754995422438,404.0659963684081
2026-09-14,levels,2026-09-14T16:00:00-04:00,-126.71973522948883,-40.037353515621675,86.68238171386716,48,0,-668.7274732970254,360.91259292602524
2026-09-14,levels_error_risk,2026-09-14T16:00:00-04:00,-95.05115246581727,-17.569091796871973,77.4820606689453,43,0,-569.2597750090208,335.9300630950926
2026-09-15,context,2026-09-15T15:50:00-04:00,-262.60816046141554,-182.63244628905227,79.97571417236328,46,-12,-1072.3173152923264,520.8098995208743
2026-09-15,levels,2026-09-15T15:50:00-04:00,-182.32547985838937,-120.80029296874093,61.52518688964843,43,-4,-1070.789821983206,526.3528865585322
2026-09-15,levels_error_risk,2026-09-15T15:50:00-04:00,-147.1863435058549,-100.29223632812051,46.89410717773438,35,-3,-988.3099659118234,443.4688099060057
