date,starting_equity,ending_equity,net_pnl,net_return,costs,gross_pnl,turnover_dollars,turnover_equity_multiple,fill_count,max_drawdown,max_gross_exposure,max_abs_net_exposure,max_symbol_exposure,min_cash,ending_cash,ending_gross_exposure,ending_net_exposure,SNDK_net_pnl,SNDK_costs,SNDK_fill_count,TSLA_net_pnl,TSLA_costs,TSLA_fill_count,PLTR_net_pnl,PLTR_costs,PLTR_fill_count,NVDA_net_pnl,NVDA_costs,NVDA_fill_count
2026-08-31,47006.42,48280.60932160187,1274.1893216018725,0.027106708436887398,44.403192436218255,1318.5925140380907,88806.38487243652,1.889239488402574,8,-0.010263648917918866,0.9329104972148983,0.9329104972148983,0.24621725016051524,3240.6518727111797,48280.60932160187,0.0,0.0,406.6928444824225,10.612087158203124,2,678.4661621093765,11.453759765625,2,104.97210388183703,11.127749633789062,2,84.05821112823469,11.209595878601075,2
2026-09-01,48280.60932160187,48048.40138503266,-232.2079365692116,-0.004809548591701728,44.372517868042,-187.8354187011696,88745.03573608398,1.8381092737447575,8,-0.021502924768057152,0.9225168900610954,0.9225168900610954,0.23765620995895897,3791.9405264206,48048.40138503266,0.0,0.0,46.405114868164674,10.714269897460937,2,-164.40508477783078,11.10985772705078,2,-118.53660523986764,11.27687013244629,2,4.328638580323968,11.271520111083984,2
2026-09-02,48048.40138503266,47861.6981952591,-186.70318977355782,-0.0038857315621684116,44.53366462707521,-142.1695251464826,89067.32925415039,1.853700158313599,8,-0.01009276448703611,0.9287606178475387,0.9287606178475387,0.24845045395214663,3421.349620689398,47861.6981952591,0.0,0.0,165.73018505859363,10.80960986328125,2,-147.20037284850878,11.110864791870117,2,-491.40685595703144,11.08752001953125,2,286.17385397338876,11.525669952392578,2
2026-09-03,47861.6981952591,49043.21650154878,1181.5183062896758,0.024686092446396104,45.26675840759276,1226.7850646972686,90533.51681518555,1.8915650766473069,8,-0.007762943773842901,0.935541078257913,0.935541078257913,0.24567191840263858,3186.00563707734,49043.21650154878,0.0,0.0,41.73753332519664,10.832535034179688,2,351.63993876647874,11.524947708129883,2,669.0070539093012,11.543025436401367,2,119.13378028869738,11.366250228881835,2
2026-09-04,49043.21650154878,49406.34999533846,363.1334937896827,0.007404357211730087,45.97182237243652,409.10531616211915,91943.64474487305,1.8747474432467022,8,-0.006765824928243291,0.9341919521090275,0.9341919521090275,0.245621609924811,3253.0631523361353,49406.34999533846,0.0,0.0,991.0444452514676,11.600452209472657,2,-229.87997412109144,11.480560058593749,2,-378.377799316404,11.33776025390625,2,-19.653178024291265,11.553049850463868,2
2026-09-08,49406.34999533846,48929.59762648776,-476.752368850699,-0.00964961728392567,45.091724319458024,-431.66064453124096,90183.44863891602,1.8253412496050592,8,-0.012667118890084206,0.9177489944418511,0.9177489944418511,0.24071521622072067,4076.141576293963,48929.59762648776,0.0,0.0,-186.02883032226418,10.528830322265625,2,337.99607421875226,11.60744140625,2,-205.2648378906233,11.500952392578125,2,-423.4547748565674,11.454500198364258,2
2026-09-09,48929.59762648776,48783.65381398777,-145.94381249999424,-0.002982730690206788,44.834315429687535,-101.1094970703067,89668.630859375,1.8326051144723372,8,-0.010082205694502466,0.9183248359148056,0.9183248359148056,0.23702759902786202,4022.2850131759988,48783.65381398777,0.0,0.0,76.63826586914183,10.541909912109375,2,-23.038192840576812,11.413192840576173,2,-111.59336531066765,11.428692459106445,2,-87.95052021789343,11.450520217895509,2
2026-09-10,48783.65381398777,48459.140743034404,-324.51307095336233,-0.006652086212950176,44.75357998657216,-279.75949096679017,89507.15997314453,1.8347776965299818,8,-0.008429247676066565,0.9208581684924256,0.9208581684924256,0.24170845835989732,3867.747352066077,48459.140743034404,0.0,0.0,-187.49848205566377,10.258980102539063,2,76.42320019531508,11.5767998046875,2,-95.6858342285177,11.505749999999999,2,-117.75195486449957,11.412050079345704,2
2026-09-11,48459.140743034404,47821.791433906605,-637.3493091277996,-0.013152303143538782,44.198765914916976,-593.1505432128827,88397.53182983398,1.824166307417252,8,-0.015203408877201285,0.9186250059428294,0.9186250059428294,0.24002541808383107,3941.551885917708,47821.791433906605,0.0,0.0,-482.30236853027236,10.041870483398437,2,36.117906723024134,11.312055435180664,2,-46.08628665161086,11.406660186767578,2,-145.0785606689442,11.438179809570313,2
2026-09-14,47821.791433906605,48275.75100026708,453.95956636047777,0.009492734436514884,44.445768112182634,498.40533447266034,88891.53622436523,1.8588081616980028,8,-0.0064586251048243115,0.9258228572394706,0.9258228572394706,0.2373628177695074,3603.1277062378467,48275.75100026708,0.0,0.0,209.63402484131075,10.760872619628906,2,-27.8903451385504,11.15008024597168,2,250.029563095095,11.330880020141603,2,22.18632356262424,11.203935226440429,2
