date,timestamp,phase,cash,equity,gross_dollars,net_dollars,gross_exposure,net_exposure,costs_to_date,turnover_dollars_to_date,drawdown,SNDK_shares,SNDK_price,SNDK_weight,SNDK_pnl,TSLA_shares,TSLA_price,TSLA_weight,TSLA_pnl,PLTR_shares,PLTR_price,PLTR_weight,PLTR_pnl,NVDA_shares,NVDA_price,NVDA_weight,NVDA_pnl
2026-08-31,2026-08-31T09:30:00-04:00,open_before_orders,47006.42,47006.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1486.2049560546875,0.0,0.0,0,347.1499938964844,0.0,0.0,0,184.4949951171875,0.0,0.0,0,218.86199951171875,0.0,0.0
2026-08-31,2026-08-31T09:35:00-04:00,bar_close,47006.42,47006.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1516.219970703125,0.0,0.0,0,352.55999755859375,0.0,0.0,0,186.1898956298828,0.0,0.0,0,217.1699981689453,0.0,0.0
2026-08-31,2026-08-31T09:35:00-04:00,open_before_orders,47006.42,47006.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1516.385009765625,0.0,0.0,0,352.40008544921875,0.0,0.0,0,186.0500030517578,0.0,0.0,0,217.13999938964844,0.0,0.0
2026-08-31,2026-08-31T09:35:00-04:00,after_fill,79763.24134280396,46990.033396026614,32773.207946777344,-32773.207946777344,0.6974501948225595,-0.6974501948225595,16.38660397338867,32773.207946777344,-0.000348603530611058,0,1516.385009765625,0.0,0.0,-93,352.40008544921875,-0.6974501948225595,-16.386603973387537,0,186.0500030517578,0.0,0.0,0,217.13999938964844,0.0,0.0
2026-08-31,2026-08-31T09:35:00-04:00,after_fill,91482.93852986145,46984.17061604309,44498.76791381836,-44498.76791381836,0.9471012753947374,-0.9471012753947374,22.249383956909178,44498.76791381836,-0.00047332649363440726,0,1516.385009765625,0.0,0.0,-93,352.40008544921875,-0.697537224070668,-16.386603973387537,0,186.0500030517578,0.0,0.0,-54,217.13999938964844,-0.2495640513240695,-5.86277998352125
2026-08-31,2026-08-31T09:40:00-04:00,bar_close,91482.93852986145,46882.149375808716,44600.789154052734,-44600.789154052734,0.9513384038033639,-0.9513384038033639,22.249383956909178,44498.76791381836,-0.0026436947164085733,0,1510.89697265625,0.0,0.0,-93,353.67999267578125,-0.7015940983247692,-135.41797604370004,0,185.75999450683594,0.0,0.0,-54,216.8249969482422,-0.24974430547859466,11.14735185241625
2026-08-31,2026-08-31T09:40:00-04:00,open_before_orders,91482.93852986145,46868.37737263489,44614.56115722656,-44614.56115722656,0.9519117933721285,-0.9519117933721285,22.249383956909178,44498.76791381836,-0.0029366760405303838,0,1511.5,0.0,0.0,-93,353.82000732421875,-0.7020780860308765,-148.43933834838754,0,185.72999572753906,0.0,0.0,-54,216.83889770507812,-0.24983370734125193,10.396710983275625
2026-08-31,2026-08-31T09:40:00-04:00,after_fill,69181.13273820496,46857.23204240418,22323.90069580078,-22323.90069580078,0.47642380317297484,-0.47642380317297484,33.39471418762207,66789.42837524414,-0.003173778339125022,0,1511.5,0.0,0.0,-30,353.82000732421875,-0.22653067108447025,-159.58466857910025,0,185.72999572753906,0.0,0.0,-54,216.83889770507812,-0.2498931320885046,10.396710983275625
2026-08-31,2026-08-31T09:40:00-04:00,after_fill,47439.858033332835,46846.366837654125,44054.31019592285,-593.4911956787109,0.9403997186930817,-0.012668884179117925,44.25991893768311,88519.83787536621,-0.003404921335125599,0,1511.5,0.0,0.0,-30,353.82000732421875,-0.2265832109566023,-159.58466857910025,117,185.72999572753906,0.4638654172569819,-10.865204750058183,-54,216.83889770507812,-0.24995109047949754,10.396710983275625
2026-08-31,2026-08-31T09:45:00-04:00,bar_close,47439.858033332835,46727.776337776195,44187.05795288086,-712.0816955566406,0.9456272353614794,-0.01523893819404737,44.25991893768311,88519.83787536621,-0.005927778848587084,0,1528.06005859375,0.0,0.0,-30,355.82000732421875,-0.22844228971145975,-219.58466857910025,117,185.79049682617188,0.46519414858371605,-3.7865762100191205,-54,218.05499267578125,-0.2519907970663037,-55.272417434693125
