session,symbol,source,feed,events,quotes,trades,quote_trade_ratio,quote_minutes,quote_minute_coverage,duplicate_events,invalid_quotes,crossed_quotes,spread_bps_median,spread_bps_p95,quote_gap_seconds_median,quote_gap_seconds_p99,trade_gap_seconds_median,trade_gap_seconds_p99,latency_ms_median,latency_ms_p95,observed_delay_samples,negative_observed_delay_events,negative_observed_delay_fraction,first_event,last_event,session_open,session_close,expected_session_minutes,sampling_window_start,sampling_window_end,sampling_window_minutes,sampling_window_is_full_session,quote_window_minute_coverage,trade_minutes,trade_minute_coverage,trade_window_minute_coverage,full_quote_minute_coverage,full_trade_minute_coverage,missing_quotes,missing_trades,invalid_trades
2026-09-14,SNDK,alpaca_stock_historical,iex,35072,35072,0,,33,0.08461538461538462,0,0,0,266.2988700864681,945.4926281684151,0.001432156,0.8730482759000188,,,,,0,0,,2026-09-14T09:30:00.024930897-04:00,2026-09-14T10:02:59.989815318-04:00,2026-09-14T09:30:00-04:00,2026-09-14T16:00:00-04:00,390,2026-09-14T09:30:00-04:00,2026-09-14T10:03:00-04:00,33,False,1.0,0,0.0,0.0,False,False,False,True,0
2026-09-14,TSLA,alpaca_stock_historical,iex,10418,10418,0,,33,0.08461538461538462,0,0,0,30.156732006253563,202.295963635868,0.000720262,2.5958148255600006,,,,,0,0,,2026-09-14T09:30:00.013792615-04:00,2026-09-14T10:02:59.876581303-04:00,2026-09-14T09:30:00-04:00,2026-09-14T16:00:00-04:00,390,2026-09-14T09:30:00-04:00,2026-09-14T10:03:00-04:00,33,False,1.0,0,0.0,0.0,False,False,False,True,0
2026-09-14,PLTR,alpaca_stock_historical,iex,59987,59987,0,,33,0.08461538461538462,0,0,0,19.60143743874625,452.08339637485994,0.000167207,0.7120565519000001,,,,,0,0,,2026-09-14T09:30:00.028478506-04:00,2026-09-14T10:02:57.460774307-04:00,2026-09-14T09:30:00-04:00,2026-09-14T16:00:00-04:00,390,2026-09-14T09:30:00-04:00,2026-09-14T10:03:00-04:00,33,False,1.0,0,0.0,0.0,False,False,False,True,0
2026-09-14,NVDA,alpaca_stock_historical,iex,222879,222879,0,,33,0.08461538461538462,0,0,0,3.813337146671076,275.08520873117544,0.00024527450000000003,0.1381102841500001,,,,,0,0,,2026-09-14T09:30:00.007748859-04:00,2026-09-14T10:02:59.906571098-04:00,2026-09-14T09:30:00-04:00,2026-09-14T16:00:00-04:00,390,2026-09-14T09:30:00-04:00,2026-09-14T10:03:00-04:00,33,False,1.0,0,0.0,0.0,False,False,False,True,0
