date,timestamp,phase,cash,equity,gross_dollars,net_dollars,gross_exposure,net_exposure,costs_to_date,turnover_dollars_to_date,drawdown,SNDK_shares,SNDK_price,SNDK_weight,SNDK_pnl,TSLA_shares,TSLA_price,TSLA_weight,TSLA_pnl,PLTR_shares,PLTR_price,PLTR_weight,PLTR_pnl,NVDA_shares,NVDA_price,NVDA_weight,NVDA_pnl
2026-09-14,2026-09-14T09:30:00-04:00,open_before_orders,47006.42,47006.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1521.5250244140625,0.0,0.0,0,359.95001220703125,0.0,0.0,0,169.6999969482422,0.0,0.0,0,211.0800018310547,0.0,0.0
2026-09-14,2026-09-14T09:35:00-04:00,bar_close,47006.42,47006.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1518.5,0.0,0.0,0,365.3699951171875,0.0,0.0,0,168.0500030517578,0.0,0.0,0,209.67999267578125,0.0,0.0
2026-09-14,2026-09-14T09:35:00-04:00,open_before_orders,47006.42,47006.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1519.0,0.0,0.0,0,365.33099365234375,0.0,0.0,0,168.1699981689453,0.0,0.0,0,209.6699981689453,0.0,0.0
2026-09-14,2026-09-14T09:35:00-04:00,after_fill,65628.9847359314,46997.10405966187,18631.88067626953,-18631.88067626953,0.39644742051801185,-0.39644742051801185,9.315940338134766,18631.88067626953,-0.00019818442540675552,0,1519.0,0.0,0.0,-51,365.33099365234375,-0.39644742051801185,-9.31594033813235,0,168.1699981689453,0.0,0.0,0,209.6699981689453,0.0,0.0
2026-09-14,2026-09-14T09:35:00-04:00,after_fill,66133.24247544099,46996.85180466462,19136.390670776367,-19136.390670776367,0.40718452270619976,-0.40718452270619976,9.568195335388184,19136.390670776367,-0.00020355081998113533,0,1519.0,0.0,0.0,-51,365.33099365234375,-0.3964495484444395,-9.31594033813235,-3,168.1699981689453,-0.01073497426176026,-0.2522549972534307,0,209.6699981689453,0.0,0.0
2026-09-14,2026-09-14T09:35:00-04:00,after_fill,91071.49689265442,46984.376439773565,44087.12045288086,-44087.12045288086,0.9383357574063684,-0.9383357574063684,22.04356022644043,44087.12045288086,-0.00046894786342877026,0,1519.0,0.0,0.0,-51,365.33099365234375,-0.39655481434669276,-9.31594033813235,-3,168.1699981689453,-0.01073782462886438,-0.2522549972534307,-119,209.6699981689453,-0.5310431184308113,-12.475364891051868
2026-09-14,2026-09-14T09:40:00-04:00,bar_close,91071.49689265442,47222.525701248174,43848.97119140625,-43848.97119140625,0.9285604812587829,-0.9285604812587829,22.04356022644043,44087.12045288086,0.0,0,1513.1400146484375,0.0,0.0,-51,361.6700134277344,-0.39060110425916744,177.39405111694577,-3,166.88999938964844,-0.010602355353384068,3.5877413406371943,-119,209.27000427246094,-0.5273570216462314,35.12390879058876
2026-09-14,2026-09-14T09:40:00-04:00,open_before_orders,91071.49689265442,47220.4857689972,43851.01112365723,-43851.01112365723,0.9286437953683184,-0.9286437953683184,22.04356022644043,44087.12045288086,-4.3198287696055715e-05,0,1513.1199951171875,0.0,0.0,-51,361.70001220703125,-0.3906503781600199,175.86411337280515,-3,167.05999755859375,-0.010613613657588271,3.077746833801257,-119,209.27000427246094,-0.5273798035507102,35.12390879058876
2026-09-14,2026-09-14T09:40:00-04:00,after_fill,90570.0663099823,47220.235179000854,43349.831130981445,-43349.831130981445,0.9180350535454215,-0.9180350535454215,22.29415022277832,44588.30044555664,-4.850486527996356e-05,0,1513.1199951171875,0.0,0.0,-51,361.70001220703125,-0.39065245127711606,175.86411337280515,0,167.05999755859375,0.0,2.8271568374634057,-119,209.27000427246094,-0.5273826022683055,35.12390879058876
2026-09-14,2026-09-14T09:40:00-04:00,after_fill,75704.4669214859,47212.80609384918,28491.66082763672,-28491.66082763672,0.6034731502931907,-0.6034731502931907,29.723235374450685,59446.47074890137,-0.00020582565745175252,0,1513.1199951171875,0.0,0.0,-51,361.70001220703125,-0.39071392168240143,175.86411337280515,0,167.05999755859375,0.0,2.8271568374634057,-48,209.27000427246094,-0.2127592286107893,27.694823638918024
2026-09-14,2026-09-14T09:40:00-04:00,after_fill,59658.68827597809,47204.787213966374,44529.42059326172,-12453.901062011719,0.9433242520810876,-0.26382707765552665,37.74211525726319,75484.23051452637,-0.00037563614013413904,0,1513.1199951171875,0.0,0.0,-51,361.70001220703125,-0.3907802939338494,175.86411337280515,96,167.05999755859375,0.3397485872127805,-5.191723045347317,-48,209.27000427246094,-0.2127953709344578,27.694823638918024
2026-09-14,2026-09-14T09:45:00-04:00,bar_close,59658.68827597809,47185.00376670075,44578.005798339844,-12473.684509277344,0.9447494381636415,-0.26435696754315474,37.74211525726319,75484.23051452637,-0.000794577036916766,0,1518.3900146484375,0.0,0.0,-51,361.81500244140625,-0.39106842537827674,169.99961141968015,96,167.2100067138672,0.3401962353102434,9.209155860902683,-48,209.86000061035156,-0.2134847774751214,-0.6250005798319762
2026-09-14,2026-09-14T09:45:00-04:00,open_before_orders,59658.68827597809,47187.41792075348,44571.75082397461,-12471.27035522461,0.9445685478876673,-0.2642922818148018,37.74211525726319,75484.23051452637,-0.000743454103171004,0,1518.7099609375,0.0,0.0,-51,361.7300109863281,-0.39095655946431906,174.33417562866452,96,167.19000244140625,0.34013813303643275,7.288745704652683,-48,209.86000061035156,-0.21347385538691552,-0.6250005798319762
2026-09-14,2026-09-14T09:45:00-04:00,after_fill,75533.79698279573,47179.476395637525,28688.700592041016,-28354.320587158203,0.6080758580587752,-0.6009884541613947,45.683640373229984,91367.28074645996,-0.0009116264954356357,0,1518.7099609375,0.0,0.0,-51,361.7300109863281,-0.3910223675565963,174.33417562866452,1,167.19000244140625,0.003543701948690248,-0.6527794113117125,-48,209.86000061035156,-0.21350978855348862,-0.6250005798319762
2026-09-14,2026-09-14T09:45:00-04:00,after_fill,57076.34230721284,47170.252280357374,10240.470031738281,-9906.090026855469,0.21709593518546041,-0.21000714535038773,54.90775565338135,109815.5113067627,-0.001106959446038669,0,1518.7099609375,0.0,0.0,0,361.7300109863281,0.0,165.1100603485138,1,167.19000244140625,0.003544394917536353,-0.6527794113117125,-48,209.86000061035156,-0.21355154026792408,-0.6250005798319762
2026-09-14,2026-09-14T09:45:00-04:00,after_fill,49478.995727623,47166.45550545503,17834.01983642578,-2312.5402221679688,0.3781081203857515,-0.049029340818296435,58.7045305557251,117409.0611114502,-0.0011873612213770812,5,1518.7099609375,0.16099470955177603,-3.7967749023437136,0,361.7300109863281,0.0,165.1100603485138,1,167.19000244140625,0.003544680231951496,-0.6527794113117125,-48,209.86000061035156,-0.21356873060202397,-0.6250005798319762
2026-09-14,2026-09-14T09:45:00-04:00,after_fill,39345.491199852004,47161.39128530122,27962.46014404297,7815.900085449219,0.5929099923046168,0.16572666480866094,63.76875070953369,127537.50141906738,-0.001294602841315995,5,1518.7099609375,0.16101199726595386,-3.7967749023437136,28,361.7300109863281,0.21476127042871856,160.0458401947053,1,167.19000244140625,0.0035450608619664345,-0.6527794113117125,-48,209.86000061035156,-0.21359166374797792,-0.6250005798319762
2026-09-14,2026-09-14T09:45:00-04:00,after_fill,51091.7751540146,47155.51520528413,39714.620178222656,-3936.2599487304688,0.842205201349859,-0.08347401001970987,69.64483072662354,139289.66145324707,-0.0014190366772837137,5,1518.7099609375,0.16103206107769522,-3.7967749023437136,28,361.7300109863281,0.21478803197302826,160.0458401947053,1,167.19000244140625,0.0035455026143510642,-0.6527794113117125,-104,209.86000061035156,-0.46283960568478444,-6.501080596921383
