bar_open_et,quote_count,raw_last_qi,stored_qi,equal_size_quote_fraction,last_quote_age_seconds,max_interquote_gap_seconds,stored_spread_bps,missing_features,last_quote_age_gt_30s,quote_state,trades__at_or_above_ask,trades__at_or_below_bid,trades__inside_spread_unclassified
2026-09-14 09:30:00-04:00,2298,0.0,0.0,0.4351610095735422,0.808008077,4.576825419,545.7463884430177,,False,equal_positive_sizes,11,6,876
2026-09-14 09:35:00-04:00,9855,0.0,0.0,0.9116184677828514,0.088401581,1.153727379,290.4719186469083,,False,equal_positive_sizes,8,3,478
2026-09-14 09:40:00-04:00,6275,0.0,0.0,0.8532270916334661,0.711967094,3.454211414,79.41672532171765,,False,equal_positive_sizes,12,5,266
2026-09-14 09:45:00-04:00,1462,0.0,0.0,0.6922024623803009,1.045710593,5.935329651,545.7463884430177,,False,equal_positive_sizes,5,1,399
2026-09-14 09:50:00-04:00,5610,0.0,0.0,0.8401069518716577,0.035807345,3.683472631,460.7505261143524,,False,equal_positive_sizes,0,7,206
2026-09-14 09:55:00-04:00,5828,0.0,0.0,0.8466026080988333,0.051503261,2.810191689,303.8801554104127,,False,equal_positive_sizes,2,3,131
2026-09-14 10:00:00-04:00,5928,0.0,0.0,0.8490215924426451,0.465285527,2.0036031,68.91406140194496,,False,equal_positive_sizes,5,1,209
2026-09-14 10:05:00-04:00,4537,0.0,0.0,0.806480052898391,0.15189422,2.548821706,420.8594163758196,,False,equal_positive_sizes,8,0,231
2026-09-14 10:10:00-04:00,4716,0.0,0.0,0.9200593723494487,0.003101468,2.837497908,264.6435797492881,l1_signed_trade_imbalance,False,equal_positive_sizes,0,0,150
2026-09-14 10:15:00-04:00,3637,0.0,0.0,0.9172394830904592,0.091576399,3.80352712,271.57576659814384,,False,equal_positive_sizes,2,0,122
2026-09-14 10:20:00-04:00,4034,0.0,0.0,0.9323252354982647,0.009488827,2.830264067,215.01622072544802,,False,equal_positive_sizes,4,5,132
2026-09-14 10:25:00-04:00,4094,0.0,0.0,0.9386907669760626,1.307683987,2.524651575,147.1182604478215,l1_signed_trade_imbalance,False,equal_positive_sizes,0,0,114
2026-09-14 10:30:00-04:00,3498,0.0,0.0,0.9391080617495712,1.119305285,2.463787671,139.2195424904253,l1_signed_trade_imbalance,False,equal_positive_sizes,0,0,128
2026-09-14 10:35:00-04:00,2509,0.0,0.0,0.9254683140693504,0.39796509,3.334421624,121.47269454408882,,False,equal_positive_sizes,2,0,129
2026-09-14 10:40:00-04:00,3163,0.0,0.0,0.9380335124881441,0.449602984,3.31395179,133.37172920556074,,False,equal_positive_sizes,3,5,148
2026-09-14 10:45:00-04:00,3229,0.0,0.0,0.9306286776091669,0.318063905,3.491850526,150.64817508809332,,False,equal_positive_sizes,3,0,131
2026-09-14 10:50:00-04:00,2189,0.0,0.0,0.8835084513476473,0.797076621,4.016198883,66.61775304682067,,False,equal_positive_sizes,3,0,129
2026-09-14 10:55:00-04:00,1900,0.0,0.0,0.9205263157894736,1.997597478,5.096005696,366.9552516232425,,False,equal_positive_sizes,6,0,89
2026-09-14 11:00:00-04:00,2381,0.0,0.0,0.8874422511549769,0.030148844,4.373673235,59.75578072226582,,False,equal_positive_sizes,0,2,110
2026-09-14 11:05:00-04:00,3881,0.0,0.0,0.8242720948209225,0.234110617,4.53344981,247.78366176480236,,False,equal_positive_sizes,1,1,114
2026-09-14 11:10:00-04:00,2057,0.3333333333333333,0.3333333333333333,0.532328633932912,0.211009879,4.321209855,418.0597738699879,,False,unequal_sizes,0,2,99
2026-09-14 11:15:00-04:00,1758,0.0,0.0,0.7195676905574516,1.716482196,6.704074108,203.61589203622492,l1_signed_trade_imbalance,False,equal_positive_sizes,0,0,92
2026-09-14 11:20:00-04:00,1612,0.0,0.0,0.6234491315136477,0.625557989,6.358841972,435.6627860194524,,False,equal_positive_sizes,3,0,110
2026-09-14 11:25:00-04:00,1875,0.0,0.0,0.6954666666666667,0.360851805,4.355871496,410.18085333690476,,False,equal_positive_sizes,8,2,134
2026-09-14 11:30:00-04:00,2881,0.3333333333333333,0.3333333333333333,0.7622353349531412,0.925469196,6.592775769,263.3252683413005,,False,unequal_sizes,3,0,138
2026-09-14 11:35:00-04:00,2861,0.0,0.0,0.41558895491087033,2.285530162,3.699302103,233.45077012486797,,False,equal_positive_sizes,1,0,172
2026-09-14 11:40:00-04:00,2173,-0.3333333333333333,-0.3333333333333333,0.7482742751955821,0.514383446,5.021597286,114.17077911403243,l1_signed_trade_imbalance,False,unequal_sizes,0,0,133
2026-09-14 11:45:00-04:00,2154,0.0,0.0,0.6754874651810585,5.991810254,7.099889294,181.77642156380253,l1_signed_trade_imbalance,False,equal_positive_sizes,0,0,65
2026-09-14 11:50:00-04:00,1660,-0.3333333333333333,-0.3333333333333333,0.7813253012048192,3.188792824,7.185503347,171.96035081446854,,False,unequal_sizes,1,0,80
2026-09-14 11:55:00-04:00,1197,-0.3333333333333333,-0.3333333333333333,0.37009189640768586,0.395975987,9.500098027,185.22052758414262,l1_signed_trade_imbalance,False,unequal_sizes,0,0,140
2026-09-14 12:00:00-04:00,1828,-0.3333333333333333,-0.3333333333333333,0.5076586433260394,0.322472312,5.495613685,188.3712664709684,,False,unequal_sizes,1,2,80
2026-09-14 12:05:00-04:00,1106,0.0,0.0,0.6455696202531646,2.015549288,8.01791379,169.57638843138554,l1_signed_trade_imbalance,False,equal_positive_sizes,0,0,91
2026-09-14 12:10:00-04:00,1577,0.3333333333333333,0.3333333333333333,0.5485098287888396,0.37931108,4.952904058,163.35672787343887,l1_signed_trade_imbalance,False,unequal_sizes,0,0,99
2026-09-14 12:15:00-04:00,2476,0.0,0.0,0.56421647819063,1.741949128,4.959521036,115.01366754345194,,False,equal_positive_sizes,6,3,178
2026-09-14 12:20:00-04:00,1474,-0.3333333333333333,-0.3333333333333333,0.7252374491180461,0.700511403,6.823168492,214.69026490695325,,False,unequal_sizes,1,0,64
2026-09-14 12:25:00-04:00,1559,0.0,0.0,0.48556767158434894,0.089808889,9.934801476,128.70428014309107,,False,equal_positive_sizes,0,1,55
2026-09-14 12:30:00-04:00,1420,0.0,0.0,0.5429577464788733,0.428439153,5.985534943,218.8372999367925,l1_signed_trade_imbalance,False,equal_positive_sizes,0,0,43
