bar_open_et,quote_count,raw_last_qi,stored_qi,equal_size_quote_fraction,last_quote_age_seconds,max_interquote_gap_seconds,stored_spread_bps,missing_features,last_quote_age_gt_30s,quote_state,trades__at_or_above_ask,trades__at_or_below_bid,trades__inside_spread_unclassified
2026-09-14 09:30:00-04:00,10690,0.0,0.0,0.7240411599625819,0.615047881,2.877643486,342.92356873002063,,False,equal_positive_sizes,21,7,249
2026-09-14 09:35:00-04:00,10744,-0.3333333333333333,-0.3333333333333333,0.6263030528667163,0.41533749,2.115200929,22.099447513812425,,False,unequal_sizes,7,14,149
2026-09-14 09:40:00-04:00,8710,0.0,0.0,0.5035591274397244,0.800500622,3.636566303,16.72240802675592,,False,equal_positive_sizes,5,2,77
2026-09-14 09:45:00-04:00,10111,0.0,0.0,0.5228958559984176,0.341571009,4.95707135,13.728474647089755,,False,equal_positive_sizes,27,3,172
2026-09-14 09:50:00-04:00,8813,0.5,0.5,0.5508907296039941,0.160627376,2.343008391,12.523481527863526,,False,unequal_sizes,10,6,213
2026-09-14 09:55:00-04:00,6618,0.3333333333333333,0.3333333333333333,0.4252039891205802,0.74477624,5.04460114,19.001811260876266,,False,unequal_sizes,1,3,107
2026-09-14 10:00:00-04:00,6495,0.0,0.0,0.5179368745188606,0.04287315,3.694165856,10.121156193255494,,False,equal_positive_sizes,6,5,90
2026-09-14 10:05:00-04:00,5132,0.0,0.0,0.5352689010132502,2.630916087,3.688800737,59.88382537876519,,False,equal_positive_sizes,2,1,46
2026-09-14 10:10:00-04:00,5252,0.0,0.0,0.5003808073115004,0.002292803,4.031501245,10.150162701136667,,False,equal_positive_sizes,2,3,61
2026-09-14 10:15:00-04:00,5542,0.3333333333333333,0.3333333333333333,0.4722121977625406,0.091055161,4.20790726,10.139265797870008,,False,unequal_sizes,5,2,70
2026-09-14 10:20:00-04:00,4484,0.0,0.0,0.49910793933987513,0.337695307,5.036687228,12.54517757400209,,False,equal_positive_sizes,5,6,109
2026-09-14 10:25:00-04:00,5329,0.0,0.0,0.5051604428598236,0.268005562,3.969059781,6.588207109275215,,False,equal_positive_sizes,7,7,132
2026-09-14 10:30:00-04:00,5938,0.0,0.0,0.6916470191983833,0.074648446,4.673966693,14.286564676469379,,False,equal_positive_sizes,7,0,229
2026-09-14 10:35:00-04:00,3381,0.0,0.0,0.6447796509908311,2.870377453,4.245134566,12.486250260128998,,False,equal_positive_sizes,0,6,186
2026-09-14 10:40:00-04:00,3732,0.0,0.0,0.4919614147909968,0.347900065,6.06873503,12.459580571315513,,False,equal_positive_sizes,9,1,137
2026-09-14 10:45:00-04:00,5692,-0.3333333333333333,-0.3333333333333333,0.5521784961349262,0.556189786,3.321928637,10.04639068640581,,False,unequal_sizes,19,0,225
2026-09-14 10:50:00-04:00,4242,0.3333333333333333,0.3333333333333333,0.5919377652050919,0.31827984,7.063136029,8.251311369129178,,False,unequal_sizes,18,3,174
2026-09-14 10:55:00-04:00,4492,0.0,0.0,0.4910952804986643,0.026424865,3.838062037,10.630758364507603,,False,equal_positive_sizes,17,2,161
2026-09-14 11:00:00-04:00,4614,0.0,0.0,0.6859557867360208,0.061766827,5.78518338,12.356211938454766,,False,equal_positive_sizes,7,2,174
2026-09-14 11:05:00-04:00,3072,0.0,0.0,0.5185546875,2.25813804,5.038014871,14.692486262525344,,False,equal_positive_sizes,19,12,204
2026-09-14 11:10:00-04:00,5584,0.0,0.0,0.6556232091690545,0.016308535,5.043484016,8.76193814071706,,False,equal_positive_sizes,28,8,282
2026-09-14 11:15:00-04:00,4938,-0.3333333333333333,-0.3333333333333333,0.607330903199676,1.473497529,4.682608629,8.169457898114393,,False,unequal_sizes,21,2,167
2026-09-14 11:20:00-04:00,3962,0.0,0.0,0.6143361938414942,0.512930401,6.187898459,7.584376185058514,,False,equal_positive_sizes,9,4,172
2026-09-14 11:25:00-04:00,4076,-0.5,-0.5,0.638125613346418,1.619376943,5.066653606,9.939486070103543,,False,unequal_sizes,14,7,132
2026-09-14 11:30:00-04:00,1975,-0.6,-0.6,0.540759493670886,0.949989659,3.962770695,9.952287562568621,,False,unequal_sizes,24,0,157
2026-09-14 11:35:00-04:00,2192,0.0,0.0,0.6925182481751825,0.384081247,6.020292395,9.894939029713191,,False,equal_positive_sizes,9,0,146
2026-09-14 11:40:00-04:00,4122,0.0,0.0,0.6050460941290635,0.453572368,8.780298409,8.741513447360195,,False,equal_positive_sizes,15,2,156
2026-09-14 11:45:00-04:00,4032,0.0,0.0,0.6875,0.704860993,5.693249292,6.999329236902115,,False,equal_positive_sizes,7,3,114
2026-09-14 11:50:00-04:00,3276,0.0,0.0,0.73992673992674,1.315883971,8.454330091,5.837030119075083,,False,equal_positive_sizes,15,3,75
