symbol,gross_pnl,assumed_cost,net_pnl,fills,turnover_dollars
NVDA,334.6184539794791,-5.928736305236811,340.5471902847159,-22,-11857.472610473633
PLTR,660.4403381347656,135.41416046142584,525.0261776733398,-4,270828.32092285156
SNDK,309.417724609375,379.21077026367186,-69.79304565429686,5,758421.5405273438
TSLA,358.16925048826585,162.81549679565424,195.35375369261158,2,325630.9935913086
