timestamp,quote_timestamp,price,size,reason
2026-09-14 09:30:00.259815480-04:00,2026-09-14 09:30:00.251137691-04:00,1521.86,19,inside_spread_unclassified
2026-09-14 09:30:00.259867738-04:00,2026-09-14 09:30:00.251137691-04:00,1521.86,63,inside_spread_unclassified
2026-09-14 09:30:00.363000952-04:00,2026-09-14 09:30:00.362572266-04:00,1522.96,3,inside_spread_unclassified
2026-09-14 09:30:00.363924675-04:00,2026-09-14 09:30:00.362572266-04:00,1522.33,120,inside_spread_unclassified
2026-09-14 09:30:00.374558806-04:00,2026-09-14 09:30:00.374278660-04:00,1522.095,40,inside_spread_unclassified
2026-09-14 09:30:00.389088112-04:00,2026-09-14 09:30:00.375627702-04:00,1522.22,40,inside_spread_unclassified
2026-09-14 09:30:00.390965747-04:00,2026-09-14 09:30:00.390732580-04:00,1522.325,1,inside_spread_unclassified
2026-09-14 09:30:00.396166013-04:00,2026-09-14 09:30:00.392532933-04:00,1522.715,1,inside_spread_unclassified
2026-09-14 09:30:00.396237876-04:00,2026-09-14 09:30:00.392532933-04:00,1522.715,1,inside_spread_unclassified
2026-09-14 09:30:00.396305765-04:00,2026-09-14 09:30:00.392532933-04:00,1522.715,17,inside_spread_unclassified
2026-09-14 09:30:00.397310750-04:00,2026-09-14 09:30:00.392532933-04:00,1522.715,1,inside_spread_unclassified
2026-09-14 09:30:00.398169351-04:00,2026-09-14 09:30:00.392532933-04:00,1522.715,1,inside_spread_unclassified
2026-09-14 09:30:00.399685826-04:00,2026-09-14 09:30:00.392532933-04:00,1522.715,40,inside_spread_unclassified
2026-09-14 09:30:00.399720410-04:00,2026-09-14 09:30:00.392532933-04:00,1522.715,1,inside_spread_unclassified
2026-09-14 09:30:00.400828160-04:00,2026-09-14 09:30:00.400253655-04:00,1522.715,66,inside_spread_unclassified
2026-09-14 09:30:00.401559349-04:00,2026-09-14 09:30:00.400253655-04:00,1522.715,1,inside_spread_unclassified
2026-09-14 09:30:00.438123899-04:00,2026-09-14 09:30:00.428353906-04:00,1522.74,120,inside_spread_unclassified
2026-09-14 09:30:00.440817817-04:00,2026-09-14 09:30:00.428353906-04:00,1523.94,40,at_or_above_ask
2026-09-14 09:30:00.440842471-04:00,2026-09-14 09:30:00.428353906-04:00,1523.94,40,at_or_above_ask
2026-09-14 09:30:00.440847170-04:00,2026-09-14 09:30:00.428353906-04:00,1523.94,50,at_or_above_ask
2026-09-14 09:30:00.453597791-04:00,2026-09-14 09:30:00.453226659-04:00,1524.45,1,inside_spread_unclassified
