timestamp,quote_timestamp,price,size,reason
2026-09-14 09:30:00.116230982-04:00,2026-09-14 09:30:00.028478506-04:00,169.68,36,inside_spread_unclassified
2026-09-14 09:30:00.202706202-04:00,2026-09-14 09:30:00.188000374-04:00,169.775,29,inside_spread_unclassified
2026-09-14 09:30:00.393168987-04:00,2026-09-14 09:30:00.207262078-04:00,169.63,26,inside_spread_unclassified
2026-09-14 09:30:00.418864405-04:00,2026-09-14 09:30:00.207262078-04:00,169.76,100,inside_spread_unclassified
2026-09-14 09:30:00.422097744-04:00,2026-09-14 09:30:00.207262078-04:00,169.76,6,inside_spread_unclassified
2026-09-14 09:30:00.493674810-04:00,2026-09-14 09:30:00.431766637-04:00,169.745,176,inside_spread_unclassified
2026-09-14 09:30:00.960663245-04:00,2026-09-14 09:30:00.431766637-04:00,169.81,1,inside_spread_unclassified
2026-09-14 09:30:00.961494603-04:00,2026-09-14 09:30:00.431766637-04:00,169.81,17,inside_spread_unclassified
2026-09-14 09:30:01.317505503-04:00,2026-09-14 09:30:01.301555432-04:00,169.71,100,at_or_below_bid
2026-09-14 09:30:01.737670225-04:00,2026-09-14 09:30:01.737291999-04:00,169.67,10,inside_spread_unclassified
2026-09-14 09:30:02.045970987-04:00,2026-09-14 09:30:02.027713297-04:00,169.47,100,inside_spread_unclassified
2026-09-14 09:30:02.046548394-04:00,2026-09-14 09:30:02.046499071-04:00,169.48,24,inside_spread_unclassified
2026-09-14 09:30:02.046602053-04:00,2026-09-14 09:30:02.046499071-04:00,169.48,5,inside_spread_unclassified
2026-09-14 09:30:02.102538493-04:00,2026-09-14 09:30:02.102230650-04:00,169.46,28,inside_spread_unclassified
2026-09-14 09:30:02.117305366-04:00,2026-09-14 09:30:02.116830654-04:00,169.55,10,at_or_above_ask
2026-09-14 09:30:02.117738745-04:00,2026-09-14 09:30:02.117405043-04:00,169.55,5,inside_spread_unclassified
2026-09-14 09:30:02.351238011-04:00,2026-09-14 09:30:02.180443826-04:00,169.47,8,inside_spread_unclassified
2026-09-14 09:30:02.352773721-04:00,2026-09-14 09:30:02.180443826-04:00,169.44,18,inside_spread_unclassified
2026-09-14 09:30:02.396114217-04:00,2026-09-14 09:30:02.396054057-04:00,169.55,63,inside_spread_unclassified
2026-09-14 09:30:02.413231135-04:00,2026-09-14 09:30:02.412439332-04:00,169.78,70,inside_spread_unclassified
2026-09-14 09:30:02.413256827-04:00,2026-09-14 09:30:02.412439332-04:00,169.8,30,inside_spread_unclassified
2026-09-14 09:30:02.580275139-04:00,2026-09-14 09:30:02.580057050-04:00,169.63,6,inside_spread_unclassified
2026-09-14 09:30:03.038634879-04:00,2026-09-14 09:30:03.038125525-04:00,169.66,100,at_or_below_bid
2026-09-14 09:30:03.079661392-04:00,2026-09-14 09:30:03.074673594-04:00,169.875,100,inside_spread_unclassified
2026-09-14 09:30:03.297297998-04:00,2026-09-14 09:30:03.297194155-04:00,170.01,85,at_or_above_ask
2026-09-14 09:30:03.297338485-04:00,2026-09-14 09:30:03.297309418-04:00,170.01,15,inside_spread_unclassified
2026-09-14 09:30:03.297362094-04:00,2026-09-14 09:30:03.297309418-04:00,170.02,85,at_or_above_ask
2026-09-14 09:30:03.297429770-04:00,2026-09-14 09:30:03.297365313-04:00,170.02,3,inside_spread_unclassified
2026-09-14 09:30:03.297449409-04:00,2026-09-14 09:30:03.297437879-04:00,170.02,7,inside_spread_unclassified
2026-09-14 09:30:03.297514220-04:00,2026-09-14 09:30:03.297451929-04:00,170.02,5,inside_spread_unclassified
2026-09-14 09:30:03.340350873-04:00,2026-09-14 09:30:03.334472518-04:00,170.17,100,at_or_above_ask
2026-09-14 09:30:03.341694952-04:00,2026-09-14 09:30:03.341670954-04:00,170.17,58,at_or_above_ask
2026-09-14 09:30:03.347030647-04:00,2026-09-14 09:30:03.342244097-04:00,170.07,1,inside_spread_unclassified
2026-09-14 09:30:03.349059057-04:00,2026-09-14 09:30:03.347731819-04:00,170.17,29,at_or_above_ask
2026-09-14 09:30:03.349734015-04:00,2026-09-14 09:30:03.349567067-04:00,170.17,1,inside_spread_unclassified
2026-09-14 09:30:03.352164995-04:00,2026-09-14 09:30:03.350810329-04:00,170.17,1,inside_spread_unclassified
2026-09-14 09:30:04.930996568-04:00,2026-09-14 09:30:04.928708571-04:00,169.2,100,inside_spread_unclassified
2026-09-14 09:30:04.940155289-04:00,2026-09-14 09:30:04.931375836-04:00,169.36,100,inside_spread_unclassified
2026-09-14 09:30:04.940188988-04:00,2026-09-14 09:30:04.931375836-04:00,169.37,70,inside_spread_unclassified
2026-09-14 09:30:04.940198836-04:00,2026-09-14 09:30:04.931375836-04:00,169.4,93,inside_spread_unclassified
2026-09-14 09:30:04.940202349-04:00,2026-09-14 09:30:04.931375836-04:00,169.4,70,inside_spread_unclassified
2026-09-14 09:30:04.941047640-04:00,2026-09-14 09:30:04.941046450-04:00,169.41,100,inside_spread_unclassified
2026-09-14 09:30:04.950624758-04:00,2026-09-14 09:30:04.950623912-04:00,169.43,100,inside_spread_unclassified
2026-09-14 09:30:04.953000419-04:00,2026-09-14 09:30:04.951029574-04:00,169.365,100,inside_spread_unclassified
2026-09-14 09:30:05.050202473-04:00,2026-09-14 09:30:05.039554171-04:00,169.29,16,at_or_below_bid
2026-09-14 09:30:05.339422306-04:00,2026-09-14 09:30:05.245068810-04:00,169.31,100,inside_spread_unclassified
2026-09-14 09:30:06.794192900-04:00,2026-09-14 09:30:06.794058808-04:00,169.06,100,at_or_below_bid
2026-09-14 09:30:06.810705579-04:00,2026-09-14 09:30:06.810658247-04:00,169.17,100,inside_spread_unclassified
2026-09-14 09:30:06.993014711-04:00,2026-09-14 09:30:06.992854289-04:00,169.26,100,at_or_above_ask
2026-09-14 09:30:06.996633035-04:00,2026-09-14 09:30:06.996630513-04:00,169.51,100,inside_spread_unclassified
2026-09-14 09:30:07.099878582-04:00,2026-09-14 09:30:07.089567298-04:00,169.51,28,inside_spread_unclassified
2026-09-14 09:30:07.120029444-04:00,2026-09-14 09:30:07.089567298-04:00,169.64,14,at_or_above_ask
2026-09-14 09:30:07.357088996-04:00,2026-09-14 09:30:07.355728987-04:00,169.56,100,inside_spread_unclassified
2026-09-14 09:30:07.388194372-04:00,2026-09-14 09:30:07.381694315-04:00,169.61,70,inside_spread_unclassified
2026-09-14 09:30:07.388218740-04:00,2026-09-14 09:30:07.381694315-04:00,169.63,30,inside_spread_unclassified
2026-09-14 09:30:07.406526918-04:00,2026-09-14 09:30:07.406396447-04:00,169.66,200,inside_spread_unclassified
2026-09-14 09:30:07.406930296-04:00,2026-09-14 09:30:07.406846955-04:00,169.51,63,inside_spread_unclassified
2026-09-14 09:30:07.449216806-04:00,2026-09-14 09:30:07.447464295-04:00,169.7,100,inside_spread_unclassified
2026-09-14 09:30:07.481664863-04:00,2026-09-14 09:30:07.481662288-04:00,169.71,100,inside_spread_unclassified
2026-09-14 09:30:07.493913395-04:00,2026-09-14 09:30:07.493912916-04:00,169.62,63,inside_spread_unclassified
2026-09-14 09:30:07.588275314-04:00,2026-09-14 09:30:07.587971348-04:00,169.82,100,inside_spread_unclassified
2026-09-14 09:30:07.599297027-04:00,2026-09-14 09:30:07.598982498-04:00,169.91,100,inside_spread_unclassified
2026-09-14 09:30:07.599321229-04:00,2026-09-14 09:30:07.598982498-04:00,169.91,200,inside_spread_unclassified
2026-09-14 09:30:07.602967246-04:00,2026-09-14 09:30:07.602821370-04:00,169.91,100,at_or_above_ask
2026-09-14 09:30:08.000969699-04:00,2026-09-14 09:30:08.000245157-04:00,169.81,100,inside_spread_unclassified
2026-09-14 09:30:08.001543283-04:00,2026-09-14 09:30:08.001186181-04:00,169.81,100,inside_spread_unclassified
2026-09-14 09:30:08.044655546-04:00,2026-09-14 09:30:08.001186181-04:00,169.805,63,inside_spread_unclassified
2026-09-14 09:30:08.045509221-04:00,2026-09-14 09:30:08.001186181-04:00,169.805,63,inside_spread_unclassified
2026-09-14 09:30:08.299853448-04:00,2026-09-14 09:30:08.296346536-04:00,169.52,70,inside_spread_unclassified
2026-09-14 09:30:08.299877754-04:00,2026-09-14 09:30:08.296346536-04:00,169.58,100,inside_spread_unclassified
2026-09-14 09:30:09.234793963-04:00,2026-09-14 09:30:09.234724482-04:00,169.29,50,inside_spread_unclassified
2026-09-14 09:30:09.800820896-04:00,2026-09-14 09:30:09.422148539-04:00,169.14,63,inside_spread_unclassified
2026-09-14 09:30:11.965048869-04:00,2026-09-14 09:30:11.965047228-04:00,169.28,100,inside_spread_unclassified
2026-09-14 09:30:13.387787596-04:00,2026-09-14 09:30:13.387551989-04:00,169.21,18,inside_spread_unclassified
2026-09-14 09:30:14.947653141-04:00,2026-09-14 09:30:14.947651216-04:00,169.31,100,inside_spread_unclassified
2026-09-14 09:30:14.965125700-04:00,2026-09-14 09:30:14.960782439-04:00,169.36,63,inside_spread_unclassified
2026-09-14 09:30:20.480732556-04:00,2026-09-14 09:30:20.433697064-04:00,169.36,37,inside_spread_unclassified
