signal_bar_open,available_at,label_end,prediction_bps,future_bps,model,period,valid,correct
2026-09-14 09:30:00-04:00,2026-09-14 09:35:00-04:00,2026-09-14 09:40:00-04:00,-11.122263320125306,-38.709709564269666,deployed_expected_5m_bps,opening,True,1.0
2026-09-14 09:35:00-04:00,2026-09-14 09:40:00-04:00,2026-09-14 09:45:00-04:00,-1.62067362794405,36.94330812064717,deployed_expected_5m_bps,opening,True,0.0
2026-09-14 09:40:00-04:00,2026-09-14 09:45:00-04:00,2026-09-14 09:50:00-04:00,-1.4973898209442982,184.30109075663557,deployed_expected_5m_bps,opening,True,0.0
2026-09-14 09:45:00-04:00,2026-09-14 09:50:00-04:00,2026-09-14 09:55:00-04:00,6.878908990676279,-141.65586604418468,deployed_expected_5m_bps,opening,True,0.0
2026-09-14 09:50:00-04:00,2026-09-14 09:55:00-04:00,2026-09-14 10:00:00-04:00,2.993059964640452,47.87496357400612,deployed_expected_5m_bps,opening,True,1.0
2026-09-14 09:55:00-04:00,2026-09-14 10:00:00-04:00,2026-09-14 10:05:00-04:00,2.3031454410988896,88.50693429409473,deployed_expected_5m_bps,opening,True,1.0
2026-09-14 10:00:00-04:00,2026-09-14 10:05:00-04:00,2026-09-14 10:10:00-04:00,-2.2112695312251844,48.87945907290137,deployed_expected_5m_bps,opening,True,0.0
2026-09-14 10:05:00-04:00,2026-09-14 10:10:00-04:00,2026-09-14 10:15:00-04:00,6.861871714956574,32.09404444690422,deployed_expected_5m_bps,opening,True,1.0
2026-09-14 10:10:00-04:00,2026-09-14 10:15:00-04:00,2026-09-14 10:20:00-04:00,6.17004724336645,46.91378374033661,deployed_expected_5m_bps,opening,True,1.0
2026-09-14 10:15:00-04:00,2026-09-14 10:20:00-04:00,2026-09-14 10:25:00-04:00,2.0870182947194773,-48.8983027587031,deployed_expected_5m_bps,opening,True,0.0
2026-09-14 10:20:00-04:00,2026-09-14 10:25:00-04:00,2026-09-14 10:30:00-04:00,3.026889322402496,-9.468051145498091,deployed_expected_5m_bps,opening,True,0.0
2026-09-14 10:25:00-04:00,2026-09-14 10:30:00-04:00,2026-09-14 10:35:00-04:00,-0.1386479359151395,-19.11483513091894,deployed_expected_5m_bps,opening,True,1.0
2026-09-14 10:30:00-04:00,2026-09-14 10:35:00-04:00,2026-09-14 10:40:00-04:00,-9.45724949457856,-28.550745547570866,deployed_expected_5m_bps,midday,True,1.0
2026-09-14 10:35:00-04:00,2026-09-14 10:40:00-04:00,2026-09-14 10:45:00-04:00,-7.43630815443894,43.28761423207928,deployed_expected_5m_bps,midday,True,0.0
2026-09-14 10:40:00-04:00,2026-09-14 10:45:00-04:00,2026-09-14 10:50:00-04:00,-6.956848937975569,-58.07749022128661,deployed_expected_5m_bps,midday,True,1.0
2026-09-14 10:45:00-04:00,2026-09-14 10:50:00-04:00,2026-09-14 10:55:00-04:00,0.3828260593971054,-39.26363343187078,deployed_expected_5m_bps,midday,True,0.0
2026-09-14 10:50:00-04:00,2026-09-14 10:55:00-04:00,2026-09-14 11:00:00-04:00,-0.8531279382245066,20.20404196526382,deployed_expected_5m_bps,midday,True,0.0
2026-09-14 10:55:00-04:00,2026-09-14 11:00:00-04:00,2026-09-14 11:05:00-04:00,-6.417262262246021,-70.51383686765833,deployed_expected_5m_bps,midday,True,1.0
2026-09-14 11:00:00-04:00,2026-09-14 11:05:00-04:00,2026-09-14 11:10:00-04:00,1.415678964553991,1.3371480678459058,deployed_expected_5m_bps,midday,True,1.0
2026-09-14 11:05:00-04:00,2026-09-14 11:10:00-04:00,2026-09-14 11:15:00-04:00,0.2989070217532242,-5.5445605734683046,deployed_expected_5m_bps,midday,True,0.0
2026-09-14 11:10:00-04:00,2026-09-14 11:15:00-04:00,2026-09-14 11:20:00-04:00,1.4836087679733176,-3.5247370170921055,deployed_expected_5m_bps,midday,True,0.0
2026-09-14 11:15:00-04:00,2026-09-14 11:20:00-04:00,2026-09-14 11:25:00-04:00,7.25692894913339,-11.622024844927248,deployed_expected_5m_bps,midday,True,0.0
2026-09-14 11:20:00-04:00,2026-09-14 11:25:00-04:00,2026-09-14 11:30:00-04:00,6.015365875014288,69.81248830520536,deployed_expected_5m_bps,midday,True,1.0
2026-09-14 11:25:00-04:00,2026-09-14 11:30:00-04:00,2026-09-14 11:35:00-04:00,5.5946757796789495,55.371822764525014,deployed_expected_5m_bps,midday,True,1.0
2026-09-14 11:30:00-04:00,2026-09-14 11:35:00-04:00,2026-09-14 11:40:00-04:00,5.727133665764845,-41.57481362376036,deployed_expected_5m_bps,midday,True,0.0
2026-09-14 11:35:00-04:00,2026-09-14 11:40:00-04:00,2026-09-14 11:45:00-04:00,6.860457742524943,3.8577508386761217,deployed_expected_5m_bps,midday,True,1.0
2026-09-14 11:40:00-04:00,2026-09-14 11:45:00-04:00,2026-09-14 11:50:00-04:00,2.972509461537246,-62.98721413422137,deployed_expected_5m_bps,midday,True,0.0
2026-09-14 11:45:00-04:00,2026-09-14 11:50:00-04:00,2026-09-14 11:55:00-04:00,0.9628304409939688,-14.900321561325258,deployed_expected_5m_bps,midday,True,0.0
2026-09-14 11:50:00-04:00,2026-09-14 11:55:00-04:00,2026-09-14 12:00:00-04:00,0.9017614657745648,26.41064519289582,deployed_expected_5m_bps,midday,True,1.0
2026-09-14 11:55:00-04:00,2026-09-14 12:00:00-04:00,2026-09-14 12:05:00-04:00,-2.316669327309017,-22.498211950728873,deployed_expected_5m_bps,midday,True,1.0
2026-09-14 12:00:00-04:00,2026-09-14 12:05:00-04:00,2026-09-14 12:10:00-04:00,4.29457439566636,-22.914730807299666,deployed_expected_5m_bps,midday,True,0.0
2026-09-14 12:05:00-04:00,2026-09-14 12:10:00-04:00,2026-09-14 12:15:00-04:00,4.640832453396817,50.64576829149736,deployed_expected_5m_bps,midday,True,1.0
2026-09-14 12:10:00-04:00,2026-09-14 12:15:00-04:00,2026-09-14 12:20:00-04:00,-1.6977261135311823,54.687658945720145,deployed_expected_5m_bps,midday,True,0.0
2026-09-14 12:15:00-04:00,2026-09-14 12:20:00-04:00,2026-09-14 12:25:00-04:00,2.825666677580444,8.158571262022463,deployed_expected_5m_bps,midday,True,1.0
2026-09-14 12:20:00-04:00,2026-09-14 12:25:00-04:00,2026-09-14 12:30:00-04:00,2.5063056505320973,-18.115554301765258,deployed_expected_5m_bps,midday,True,0.0
2026-09-14 12:25:00-04:00,2026-09-14 12:30:00-04:00,2026-09-14 12:35:00-04:00,2.167917407282174,3.305612761153043,deployed_expected_5m_bps,midday,True,1.0
2026-09-14 12:30:00-04:00,2026-09-14 12:35:00-04:00,2026-09-14 12:40:00-04:00,2.433281622984406,16.55503034930783,deployed_expected_5m_bps,midday,True,1.0
2026-09-14 12:35:00-04:00,2026-09-14 12:40:00-04:00,2026-09-14 12:45:00-04:00,-2.2112043417898746,7.729652158545708,deployed_expected_5m_bps,midday,True,0.0
2026-09-14 12:40:00-04:00,2026-09-14 12:45:00-04:00,2026-09-14 12:50:00-04:00,-1.0879635298939063,5.522326127798127,deployed_expected_5m_bps,midday,True,0.0
2026-09-14 12:45:00-04:00,2026-09-14 12:50:00-04:00,2026-09-14 12:55:00-04:00,-0.5984450274763042,16.767597144895507,deployed_expected_5m_bps,midday,True,0.0
2026-09-14 12:50:00-04:00,2026-09-14 12:55:00-04:00,2026-09-14 13:00:00-04:00,-0.9574349358342256,25.99063206738972,deployed_expected_5m_bps,midday,True,0.0
2026-09-14 12:55:00-04:00,2026-09-14 13:00:00-04:00,2026-09-14 13:05:00-04:00,-3.0370431039554657,28.303257964505946,deployed_expected_5m_bps,midday,True,0.0
2026-09-14 13:00:00-04:00,2026-09-14 13:05:00-04:00,2026-09-14 13:10:00-04:00,-0.6071606419634509,52.260031219932834,deployed_expected_5m_bps,midday,True,0.0
2026-09-14 13:05:00-04:00,2026-09-14 13:10:00-04:00,2026-09-14 13:15:00-04:00,-2.4018451482590115,-7.320414414283549,deployed_expected_5m_bps,midday,True,1.0
2026-09-14 13:10:00-04:00,2026-09-14 13:15:00-04:00,2026-09-14 13:20:00-04:00,0.7225234103380178,11.557703591009716,deployed_expected_5m_bps,midday,True,1.0
2026-09-14 13:15:00-04:00,2026-09-14 13:20:00-04:00,2026-09-14 13:25:00-04:00,-0.0003094900179065,19.985206524701926,deployed_expected_5m_bps,midday,True,0.0
2026-09-14 13:20:00-04:00,2026-09-14 13:25:00-04:00,2026-09-14 13:30:00-04:00,-3.1525527158130195,1.6333612242847018,deployed_expected_5m_bps,midday,True,0.0
2026-09-14 13:25:00-04:00,2026-09-14 13:30:00-04:00,2026-09-14 13:35:00-04:00,-6.003713755876795,-14.829150503408162,deployed_expected_5m_bps,midday,True,1.0
2026-09-14 13:30:00-04:00,2026-09-14 13:35:00-04:00,2026-09-14 13:40:00-04:00,-0.7083850047449712,12.11078304751867,deployed_expected_5m_bps,midday,True,0.0
2026-09-14 13:35:00-04:00,2026-09-14 13:40:00-04:00,2026-09-14 13:45:00-04:00,-5.53560034038059,9.93103066674994,deployed_expected_5m_bps,midday,True,0.0
2026-09-14 13:40:00-04:00,2026-09-14 13:45:00-04:00,2026-09-14 13:50:00-04:00,-3.6497823137028416,17.10954839037271,deployed_expected_5m_bps,midday,True,0.0
2026-09-14 13:45:00-04:00,2026-09-14 13:50:00-04:00,2026-09-14 13:55:00-04:00,-3.650244384630089,16.824561627861723,deployed_expected_5m_bps,midday,True,0.0
2026-09-14 13:50:00-04:00,2026-09-14 13:55:00-04:00,2026-09-14 14:00:00-04:00,-2.728968188808173,5.419260332863995,deployed_expected_5m_bps,midday,True,0.0
2026-09-14 13:55:00-04:00,2026-09-14 14:00:00-04:00,2026-09-14 14:05:00-04:00,-1.1364088972904849,-14.950572940320983,deployed_expected_5m_bps,midday,True,1.0
2026-09-14 14:00:00-04:00,2026-09-14 14:05:00-04:00,2026-09-14 14:10:00-04:00,-1.0297080800511245,14.94120482554706,deployed_expected_5m_bps,closing,True,0.0
2026-09-14 14:05:00-04:00,2026-09-14 14:10:00-04:00,2026-09-14 14:15:00-04:00,-3.794829944480312,-36.1728762818958,deployed_expected_5m_bps,closing,True,1.0
2026-09-14 14:10:00-04:00,2026-09-14 14:15:00-04:00,2026-09-14 14:20:00-04:00,1.0157517046051354,-17.86648412118175,deployed_expected_5m_bps,closing,True,0.0
2026-09-14 14:15:00-04:00,2026-09-14 14:20:00-04:00,2026-09-14 14:25:00-04:00,1.454077319495238,-31.30598128980866,deployed_expected_5m_bps,closing,True,0.0
2026-09-14 14:20:00-04:00,2026-09-14 14:25:00-04:00,2026-09-14 14:30:00-04:00,-0.0550592049284573,-2.906909631378296,deployed_expected_5m_bps,closing,True,1.0
2026-09-14 14:25:00-04:00,2026-09-14 14:30:00-04:00,2026-09-14 14:35:00-04:00,1.2996572300866502,6.327312088387771,deployed_expected_5m_bps,closing,True,1.0
2026-09-14 14:30:00-04:00,2026-09-14 14:35:00-04:00,2026-09-14 14:40:00-04:00,-2.745346789439747,-6.8340101199482195,deployed_expected_5m_bps,closing,True,1.0
2026-09-14 14:35:00-04:00,2026-09-14 14:40:00-04:00,2026-09-14 14:45:00-04:00,4.715335002581772,-3.547689071073945,deployed_expected_5m_bps,closing,True,0.0
2026-09-14 14:40:00-04:00,2026-09-14 14:45:00-04:00,2026-09-14 14:50:00-04:00,1.4119075783090618,-0.4160082146398292,deployed_expected_5m_bps,closing,True,0.0
2026-09-14 14:45:00-04:00,2026-09-14 14:50:00-04:00,2026-09-14 14:55:00-04:00,0.8925370699574805,17.232666917166295,deployed_expected_5m_bps,closing,True,1.0
2026-09-14 14:50:00-04:00,2026-09-14 14:55:00-04:00,2026-09-14 15:00:00-04:00,0.6014948883003334,-14.713500109709843,deployed_expected_5m_bps,closing,True,0.0
2026-09-14 14:55:00-04:00,2026-09-14 15:00:00-04:00,2026-09-14 15:05:00-04:00,4.008060800837168,1.5029369307262286,deployed_expected_5m_bps,closing,True,1.0
