symbol,hour,direction,gross_pnl,costs,net_pnl
NVDA,9,short,-182.9602203369071,58.25542971038818,-241.21565004729527
NVDA,10,short,-42.29542541503961,19.613067588806153,-61.90849300384576
NVDA,11,short,-24.129302978514374,26.024865203857424,-50.1541681823718
NVDA,12,short,-15.230789184570312,6.465750465393067,-21.69653964996338
NVDA,13,short,-62.678497314452784,3.7178942413330076,-66.3963915557858
NVDA,14,short,28.79042053222227,2.8670049819946284,25.92341555022764
NVDA,15,short,40.733688354496735,26.82672325897217,13.90696509552457
PLTR,9,long,13.260498046874998,17.04675,-3.786251953125001
PLTR,9,short,-65.30020141601562,13.845014656066894,-79.14521607208252
PLTR,10,short,-43.876861572265625,28.398042266845703,-72.27490383911133
PLTR,11,short,-229.4329376220703,23.845624084472654,-253.27856170654297
PLTR,12,long,13.91481018066406,5.860397529602051,8.05441265106201
PLTR,12,short,104.85659790039062,12.793968292236329,92.0626296081543
PLTR,13,short,-72.82980346679688,14.349789543151855,-87.17959300994873
PLTR,14,short,3.4815063476562518,4.2387399520874025,-0.7572336044311506
PLTR,15,short,5.9823150634765625,2.4174688339233397,3.564846229553223
SNDK,9,long,-136.388427734375,26.752019897460936,-163.14044763183594
SNDK,10,long,93.063232421875,17.754984008789062,75.30824841308593
SNDK,11,long,81.055908203125,20.773647521972656,60.282260681152344
SNDK,12,long,83.36376953125,5.400812072753906,77.96295745849609
SNDK,13,long,80.7703857421875,8.621529907226563,72.14885583496094
SNDK,14,long,-42.0001220703125,5.501700073242187,-47.50182214355469
SNDK,14,short,-5.39013671875,1.563929931640625,-6.954066650390625
SNDK,15,short,61.37451171875,21.82511767578125,39.54939404296875
TSLA,9,short,90.02456665039062,9.088262557983398,80.93630409240723
TSLA,12,short,-10.366363525390625,6.174314987182617,-16.540678512573244
TSLA,14,long,-0.7100219726563637,0.7225350036621092,-1.432556976318473
TSLA,15,long,15.2073974609375,13.32061212158203,1.886785339355469
