strategy,symbol,gross_pnl,assumed_cost,net_pnl,fills,turnover_dollars,cash_reconciliation_error
context,TSLA,94.15557861328114,29.305724670410157,64.84985394287098,16,58611.44934082031,-9.805489753489383e-13
context,PLTR,-269.94407653808594,122.79579515838623,-392.73987169647216,58,245591.59031677246,-1.5916157281026244e-11
context,NVDA,-257.77012634276525,143.7707354507446,-401.54086179350986,57,287541.47090148926,-8.981260180007666e-12
context,SNDK,215.84912109375,108.1937410888672,107.6553800048828,42,216387.48217773438,-1.2249756764504127e-11
hold,SNDK,220.3948974609375,10.760872619628906,209.6340248413086,2,21521.745239257812,-3.979039320256561e-12
hold,TSLA,-16.740264892578125,11.15008024597168,-27.890345138549804,2,22300.16049194336,2.4158453015843406e-12
hold,PLTR,257.4004364013672,11.159200019836426,246.24123638153077,2,22318.40003967285,-2.8421709430404007e-13
hold,NVDA,32.76025390625,10.99254022216797,21.767713684082032,2,21985.080444335938,-9.592326932761353e-13
l1_base,SNDK,-163.86474609375,223.7449180908203,-387.6096641845703,68,447489.8361816406,-1.9667822925839573e-11
l1_base,NVDA,-47.74201965331244,161.521389213562,-209.26340886687444,50,323042.778427124,-1.2505552149377763e-11
l1_base,TSLA,-270.9164428710915,167.95395004272464,-438.8703929138161,45,335907.9000854492,-2.9672264645341784e-11
l1_base,PLTR,153.5224151611328,202.43226165008545,-48.90984648895264,65,404864.5233001709,-3.510081114654895e-11
l1_plus,SNDK,145.552978515625,602.9556883544922,-457.40270983886717,73,1205911.3767089844,-1.2960299500264227e-11
l1_plus,PLTR,813.9627532958984,337.8464221115113,476.11633118438715,61,675692.8442230225,-6.934897101018578e-11
l1_plus,NVDA,286.87643432616665,155.5926529083252,131.28378141784145,28,311185.3058166504,-2.688693712116219e-11
l1_plus,TSLA,87.25280761717437,330.7694468383789,-243.5166392212045,47,661538.8936767578,-3.956301952712238e-11
